# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   8.60680016e+02
    27.92182   8.67378679e+02
    27.84407   8.70303851e+02
    27.76676   9.92652207e+02
    27.68987   8.93953032e+02
    27.61341   9.90724577e+02
    27.53737   8.83051182e+02
    27.46175   9.44706681e+02
    27.38654   1.07057591e+03
    27.31174   9.91417496e+02
    27.23735   1.02367846e+03
    27.16337   8.98272536e+02
    27.08978   8.99960656e+02
    27.01660   9.02748177e+02
    26.94380   9.17303319e+02
    26.87140   9.13425270e+02
    26.79939   9.14997469e+02
    26.72776   9.30488127e+02
    26.65651   9.21285486e+02
    26.58564   9.32417918e+02
    26.51515   9.26332113e+02
    26.44503   9.30448640e+02
    26.37528   1.21833004e+03
    26.30590   1.21111222e+03
    26.23688   9.38950102e+02
    26.16822   9.64436125e+02
    26.09993   9.76213775e+02
    26.03198   9.49768712e+02
    25.96439   9.51155672e+02
    25.89715   1.02304014e+03
    25.83026   1.29414226e+03
    25.76371   1.18852029e+03
    25.69750   9.77107892e+02
    25.63164   9.72745551e+02
    25.56611   9.91798797e+02
    25.50091   9.83835292e+02
    25.43605   1.03717714e+03
    25.37151   9.93595264e+02
    25.30730   9.87829487e+02
    25.24342   9.86149592e+02
    25.17986   9.91380642e+02
    25.11661   9.97992629e+02
    25.05369   1.00693035e+03
    24.99107   1.00140816e+03
    24.92877   1.00306537e+03
    24.86679   1.37142286e+03
    24.80510   1.33062531e+03
    24.74373   1.03960457e+03
    24.68265   1.02094505e+03
    24.62188   1.12347397e+03
    24.56140   1.06376505e+03
    24.50123   1.08631373e+03
    24.44134   1.03955677e+03
    24.38175   1.54078188e+03
    24.32245   1.22618031e+03
    24.26343   1.08514354e+03
    24.20470   1.60047553e+03
    24.14626   1.20201197e+03
    24.08809   1.05265888e+03
    24.03021   1.08417003e+03
    23.97260   1.07037912e+03
    23.91527   1.06121194e+03
    23.85821   1.06899065e+03
    23.80143   1.06232113e+03
    23.74491   1.06647864e+03
    23.68866   1.15052081e+03
    23.63268   1.07880581e+03
    23.57696   1.08350488e+03
    23.52151   1.08125923e+03
    23.46631   1.09871457e+03
    23.41137   1.46511441e+03
    23.35669   1.39955059e+03
    23.30226   1.10265328e+03
    23.24809   1.21792559e+03
    23.19417   1.09642128e+03
    23.14050   1.22383867e+03
    23.08707   1.76819159e+03
    23.03389   1.15289131e+03
    22.98096   1.10932153e+03
    22.92827   1.11955605e+03
    22.87582   1.60379657e+03
