# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.50684947e+03
    27.92182   2.51682789e+03
    27.84407   2.54043528e+03
    27.76676   2.55370371e+03
    27.68987   2.44234881e+03
    27.61341   2.57099116e+03
    27.53737   2.58448723e+03
    27.46175   2.56863918e+03
    27.38654   2.53864050e+03
    27.31174   2.58354755e+03
    27.23735   2.57341398e+03
    27.16337   2.63494497e+03
    27.08978   2.62850855e+03
    27.01660   2.66530301e+03
    26.94380   2.68035558e+03
    26.87140   2.68581656e+03
    26.79939   2.65681203e+03
    26.72776   2.67248187e+03
    26.65651   2.71917430e+03
    26.58564   2.73234918e+03
    26.51515   2.74847998e+03
    26.44503   2.75578762e+03
    26.37528   2.64420147e+03
    26.30590   2.73851240e+03
    26.23688   2.77395164e+03
    26.16822   2.80542943e+03
    26.09993   2.78230572e+03
    26.03198   2.82770923e+03
    25.96439   2.77986378e+03
    25.89715   2.83658940e+03
    25.83026   2.86653710e+03
    25.76371   2.87400505e+03
    25.69750   2.88982164e+03
    25.63164   2.88123600e+03
    25.56611   2.88694472e+03
    25.50091   2.88631616e+03
    25.43605   2.87799132e+03
    25.37151   2.94823355e+03
    25.30730   2.94156189e+03
    25.24342   2.95177599e+03
    25.17986   2.89272076e+03
    25.11661   2.99542957e+03
    25.05369   3.00759284e+03
    24.99107   2.98932147e+03
    24.92877   3.02960613e+03
    24.86679   3.02613734e+03
    24.80510   3.03912967e+03
    24.74373   3.04471152e+03
    24.68265   3.07496336e+03
    24.62188   3.07567721e+03
    24.56140   3.10055671e+03
    24.50123   3.06397329e+03
    24.44134   3.12546338e+03
    24.38175   3.12618564e+03
    24.32245   3.14097501e+03
    24.26343   3.15002785e+03
    24.20470   3.17239085e+03
    24.14626   3.18417795e+03
    24.08809   3.15953735e+03
    24.03021   3.20818020e+03
    23.97260   3.22032810e+03
    23.91527   3.23141328e+03
    23.85821   3.22459102e+03
    23.80143   3.23824287e+03
    23.74491   3.26376122e+03
    23.68866   3.25300933e+03
    23.63268   3.29191039e+03
    23.57696   3.28555371e+03
    23.52151   3.28589357e+03
    23.46631   3.32727011e+03
    23.41137   3.33872722e+03
    23.35669   3.33436402e+03
    23.30226   3.36269959e+03
    23.24809   3.37480184e+03
    23.19417   3.38735703e+03
    23.14050   3.37661380e+03
    23.08707   3.40145129e+03
    23.03389   3.42065370e+03
    22.98096   3.43483968e+03
    22.92827   3.43790041e+03
    22.87582   3.45781778e+03
    22.82361   3.47064079e+03
    22.77163   3.48274119e+03
    22.71990   3.48228731e+03
    22.66839   3.50536537e+03
    22.61712   3.51820750e+03
    22.56609   3.51781752e+03
    22.51528   3.54085535e+03
    22.46470   3.55431974e+03
    22.41435   3.56624944e+03
    22.36422   3.57817885e+03
    22.31431   3.59011169e+03
    22.26463   3.60122915e+03
    22.21517   3.61384584e+03
    22.16593   3.62191381e+03
    22.11690   3.63544799e+03
    22.06810   3.64877037e+03
    22.01950   3.65520622e+03
    21.97112   3.67362382e+03
    21.92296   3.68545350e+03
    21.87500   3.69738198e+03
    21.82725   3.70940925e+03
    21.77971   3.72133801e+03
    21.73238   3.73326500e+03
    21.68525   3.74443228e+03
    21.63833   3.75711672e+03
    21.59161   3.76904096e+03
    21.54509   3.78096465e+03
    21.49877   3.79288690e+03
    21.45265   3.80480778e+03
    21.40673   3.81331842e+03
    21.36100   3.82852401e+03
    21.31547   3.84016352e+03
    21.27013   3.84758107e+03
    21.22498   3.86415071e+03
    21.18003   3.87088124e+03
    21.13527   3.88768386e+03
    21.09069   3.87843874e+03
    21.04630   3.91209291e+03
    21.00210   3.92399456e+03
    20.95808   3.93538691e+03
    20.91425   3.94753050e+03
    20.87060   3.95969256e+03
    20.82713   3.97158496e+03
    20.78385   3.98347340e+03
    20.74074   3.99536008e+03
    20.69781   4.00724283e+03
    20.65506   4.01912234e+03
    20.61249   4.03058007e+03
    20.57009   4.03932034e+03
    20.52786   4.05467357e+03
    20.48581   4.06650157e+03
    20.44393   4.07300995e+03
    20.40222   4.08396486e+03
    20.36067   4.09763879e+03
    20.31930   4.10075639e+03
    20.27810   4.12517360e+03
    20.23706   4.12823273e+03
    20.19619   4.14359060e+03
    20.15549   4.16143780e+03
    20.11494   4.17327836e+03
    20.07456   4.18511607e+03
    20.03434   4.19695098e+03
    19.99429   4.20878318e+03
    19.95439   4.22061088e+03
    19.91465   4.23243871e+03
    19.87507   4.24426322e+03
    19.83565   4.25608403e+03
    19.79638   4.25932909e+03
    19.75727   4.27971801e+03
    19.71831   4.29153100e+03
    19.67951   4.30075741e+03
    19.64085   4.30942677e+03
    19.60235   4.32495307e+03
    19.56400   4.32502107e+03
    19.52580   4.34013786e+03
    19.48775   4.36202198e+03
    19.44985   4.37373224e+03
    19.41209   4.36629690e+03
    19.37448   4.39771273e+03
    19.33702   4.40949519e+03
    19.29970   4.42127520e+03
    19.26252   4.43276704e+03
    19.22549   4.44482589e+03
    19.18860   4.45659655e+03
    19.15185   4.46836417e+03
    19.11524   4.47640915e+03
    19.07877   4.48896459e+03
    19.04244   4.50337157e+03
    19.00624   4.51512626e+03
    18.97019   4.52688156e+03
    18.93427   4.52232302e+03
    18.89849   4.55018121e+03
    18.86284   4.55525911e+03
    18.82733   4.57304398e+03
    18.79195   4.57914358e+03
    18.75670   4.58455937e+03
    18.72158   4.60899992e+03
    18.68660   4.62032549e+03
    18.65175   4.58769973e+03
    18.61702   4.64430507e+03
    18.58243   4.65603892e+03
    18.54796   4.66777063e+03
    18.51362   4.67950298e+03
    18.47941   4.69123359e+03
    18.44532   4.69172613e+03
    18.41136   4.71469270e+03
    18.37753   4.72642130e+03
    18.34382   4.73815015e+03
    18.31023   4.74987858e+03
    18.27676   4.75102598e+03
    18.24342   4.77333550e+03
    18.21020   4.78506485e+03
    18.17710   4.78690036e+03
    18.14412   4.80693371e+03
    18.11125   4.80710020e+03
    18.07851   4.81775794e+03
    18.04589   4.82927604e+03
    18.01338   4.85545557e+03
    17.98099   4.86667708e+03
    17.94872   4.85507518e+03
    17.91656   4.89066897e+03
    17.88452   4.90241070e+03
    17.85259   4.91415448e+03
    17.82077   4.91884831e+03
    17.78907   4.93764932e+03
    17.75748   4.94940069e+03
    17.72601   4.96115419e+03
    17.69464   4.97291176e+03
    17.66339   4.98112665e+03
    17.63224   4.98186183e+03
    17.60121   5.00820204e+03
    17.57028   5.01997226e+03
    17.53946   5.02520851e+03
    17.50875   5.03639700e+03
    17.47815   5.04224082e+03
    17.44766   5.06549101e+03
    17.41727   5.05960289e+03
    17.38698   5.09045949e+03
    17.35681   5.10247561e+03
    17.32673   5.11427986e+03
    17.29676   5.11394948e+03
    17.26690   5.12563129e+03
    17.23713   5.13843167e+03
    17.20747   5.16154747e+03
    17.17791   5.17364212e+03
    17.14846   5.18548150e+03
    17.11910   5.19732639e+03
    17.08984   5.20917743e+03
    17.06069   5.21075829e+03
    17.03163   5.23289829e+03
    17.00267   5.24476786e+03
    16.97381   5.24842420e+03
    16.94505   5.25636976e+03
    16.91638   5.27957894e+03
    16.88782   5.28522827e+03
    16.85934   5.30421467e+03
    16.83097   5.30915467e+03
    16.80269   5.31589917e+03
    16.77450   5.33978050e+03
    16.74641   5.35189911e+03
    16.71841   5.35656267e+03
    16.69051   5.37578654e+03
    16.66270   5.34182549e+03
    16.63498   5.39970595e+03
    16.60735   5.41167766e+03
    16.57982   5.42365779e+03
    16.55238   5.43564601e+03
    16.52502   5.43196084e+03
    16.49776   5.45964729e+03
    16.47059   5.47166040e+03
    16.44350   5.48368208e+03
    16.41651   5.49034753e+03
    16.38960   5.50194275e+03
    16.36279   5.51979780e+03
    16.33606   5.53185319e+03
    16.30941   5.53282387e+03
    16.28286   5.55598436e+03
    16.25639   5.55593192e+03
    16.23000   5.56932686e+03
    16.20370   5.56993398e+03
    16.17749   5.60437118e+03
    16.15136   5.61648850e+03
    16.12532   5.62861457e+03
    16.09936   5.64064563e+03
    16.07348   5.63294835e+03
    16.04768   5.66504771e+03
    16.02197   5.66873275e+03
    15.99634   5.68937995e+03
    15.97080   5.70156059e+03
    15.94533   5.71374928e+03
