# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.51959165e+03
    27.92182   2.53100361e+03
    27.84407   2.54242997e+03
    27.76676   2.55386587e+03
    27.68987   2.56531247e+03
    27.61341   2.57676994e+03
    27.53737   2.58823792e+03
    27.46175   2.59971646e+03
    27.38654   2.61120534e+03
    27.31174   2.62270351e+03
    27.23735   2.63421382e+03
    27.16337   2.64573318e+03
    27.08978   2.65726207e+03
    27.01660   2.66880118e+03
    26.94380   2.68034958e+03
    26.87140   2.69190815e+03
    26.79939   2.70347585e+03
    26.72776   2.71504751e+03
    26.65651   2.72663857e+03
    26.58564   2.73823082e+03
    26.51515   2.74983904e+03
    26.44503   2.76140069e+03
    26.37528   2.77302493e+03
    26.30590   2.78465396e+03
    26.23688   2.79629854e+03
    26.16822   2.80794816e+03
    26.09993   2.81960586e+03
    26.03198   2.83127032e+03
    25.96439   2.84294364e+03
    25.89715   2.85462636e+03
    25.83026   2.86631582e+03
    25.76371   2.87801300e+03
    25.69750   2.88971815e+03
    25.63164   2.90142980e+03
    25.56611   2.91314938e+03
    25.50091   2.92487639e+03
    25.43605   2.93660800e+03
    25.37151   2.94834445e+03
    25.30730   2.96009846e+03
    25.24342   2.97185254e+03
    25.17986   2.98361224e+03
    25.11661   2.99537814e+03
    25.05369   3.00714936e+03
    24.99107   3.01893182e+03
    24.92877   3.03071785e+03
    24.86679   3.04251108e+03
    24.80510   3.05430840e+03
    24.74373   3.06611158e+03
    24.68265   3.07792034e+03
    24.62188   3.08973456e+03
    24.56140   3.10155447e+03
    24.50123   3.11337570e+03
    24.44134   3.12520876e+03
    24.38175   3.13704416e+03
    24.32245   3.14888517e+03
    24.26343   3.16072965e+03
    24.20470   3.17258111e+03
    24.14626   3.18443411e+03
    24.08809   3.19629254e+03
    24.03021   3.20815668e+03
    23.97260   3.22002022e+03
    23.91527   3.23188890e+03
    23.85821   3.24376276e+03
    23.80143   3.25563881e+03
    23.74491   3.26752115e+03
    23.68866   3.27934096e+03
