# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.51965541e+03
    27.92182   2.53106789e+03
    27.84407   2.54249454e+03
    27.76676   2.55393078e+03
    27.68987   2.56537769e+03
    27.61341   2.57683536e+03
    27.53737   2.58830364e+03
    27.46175   2.59978244e+03
    27.38654   2.61127164e+03
    27.31174   2.62277107e+03
    27.23735   2.63428071e+03
    27.16337   2.64580022e+03
    27.08978   2.65732952e+03
    27.01660   2.66886915e+03
    26.94380   2.68041828e+03
    26.87140   2.69197697e+03
    26.79939   2.70354471e+03
    26.72776   2.71511635e+03
    26.65651   2.72670797e+03
    26.58564   2.73830032e+03
    26.51515   2.74990928e+03
    26.44503   2.76147058e+03
    26.37528   2.77309503e+03
    26.30590   2.78472801e+03
    26.23688   2.79636930e+03
    26.16822   2.80801927e+03
    26.09993   2.81967736e+03
    26.03198   2.83134250e+03
    25.96439   2.84301759e+03
    25.89715   2.85469987e+03
    25.83026   2.86638975e+03
    25.76371   2.87808730e+03
    25.69750   2.88979228e+03
    25.63164   2.90150460e+03
    25.56611   2.91322444e+03
    25.50091   2.92495159e+03
    25.43605   2.93668562e+03
    25.37151   2.94842080e+03
    25.30730   2.96017423e+03
    25.24342   2.97192868e+03
    25.17986   2.98368896e+03
    25.11661   2.99545496e+03
    25.05369   3.00722650e+03
    24.99107   3.01901006e+03
    24.92877   3.03079694e+03
    24.86679   3.04258959e+03
    24.80510   3.05438757e+03
    24.74373   3.06619122e+03
    24.68265   3.07800061e+03
    24.62188   3.08981548e+03
    24.56140   3.10163572e+03
    24.50123   3.11346116e+03
    24.44134   3.12529195e+03
    24.38175   3.13712773e+03
    24.32245   3.14896834e+03
    24.26343   3.16081377e+03
    24.20470   3.17266390e+03
    24.14626   3.18451856e+03
    24.08809   3.19637760e+03
    24.03021   3.20824111e+03
    23.97260   3.22010866e+03
    23.91527   3.23197802e+03
    23.85821   3.24385156e+03
    23.80143   3.25573520e+03
    23.74491   3.26761864e+03
    23.68866   3.27950574e+03
    23.63268   3.29131906e+03
    23.57696   3.30321585e+03
    23.52151   3.31511032e+03
    23.46631   3.32701180e+03
    23.41137   3.33891388e+03
    23.35669   3.35081850e+03
    23.30226   3.36272559e+03
    23.24809   3.37463492e+03
    23.19417   3.38654638e+03
    23.14050   3.39845981e+03
    23.08707   3.41037504e+03
    23.03389   3.42229189e+03
    22.98096   3.43420908e+03
    22.92827   3.44612581e+03
    22.87582   3.45805069e+03
    22.82361   3.46997252e+03
    22.77163   3.48189518e+03
    22.71990   3.49381850e+03
    22.66839   3.50574237e+03
    22.61712   3.51766660e+03
    22.56609   3.52959148e+03
    22.51528   3.54151314e+03
    22.46470   3.55344185e+03
    22.41435   3.56536657e+03
    22.36422   3.57729099e+03
