# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   8.60677877e+02
    27.92182   8.67398363e+02
    27.84407   8.70492942e+02
    27.76676   1.16123227e+03
    27.68987   9.02804616e+02
    27.61341   1.07307720e+03
    27.53737   8.83162002e+02
    27.46175   1.09880982e+03
    27.38654   1.23389479e+03
    27.31174   1.14423046e+03
    27.23735   1.13968420e+03
    27.16337   8.98343388e+02
    27.08978   8.99965218e+02
    27.01660   9.02750521e+02
    26.94380   9.19397171e+02
    26.87140   9.13668136e+02
    26.79939   9.15044008e+02
    26.72776   9.30557974e+02
    26.65651   9.21299247e+02
    26.58564   9.32468137e+02
    26.51515   9.26333514e+02
    26.44503   9.30463033e+02
    26.37528   1.37242631e+03
    26.30590   1.39189481e+03
    26.23688   9.38952242e+02
    26.16822   9.65690470e+02
    26.09993   9.80697635e+02
    26.03198   9.49780589e+02
    25.96439   9.51158474e+02
    25.89715   1.07820770e+03
    25.83026   1.30291034e+03
    25.76371   1.55592256e+03
    25.69750   9.77062770e+02
    25.63164   9.73057096e+02
    25.56611   9.92689563e+02
    25.50091   9.85137231e+02
    25.43605   1.04254025e+03
    25.37151   9.93661698e+02
    25.30730   9.87975801e+02
    25.24342   9.86151856e+02
    25.17986   9.91388955e+02
    25.11661   9.98021211e+02
    25.05369   1.00698533e+03
    24.99107   1.00142322e+03
    24.92877   1.00306880e+03
    24.86679   1.96315990e+03
    24.80510   1.38944338e+03
    24.74373   1.04030070e+03
    24.68265   1.02110070e+03
    24.62188   1.13406325e+03
    24.56140   1.06881952e+03
    24.50123   1.09440454e+03
    24.44134   1.04021327e+03
    24.38175   1.61209004e+03
    24.32245   1.29657777e+03
    24.26343   1.08557524e+03
    24.20470   1.65666242e+03
    24.14626   1.23367888e+03
    24.08809   1.05278243e+03
    24.03021   1.08431090e+03
    23.97260   1.07129033e+03
    23.91527   1.06124319e+03
    23.85821   1.06904417e+03
    23.80143   1.06232843e+03
    23.74491   1.06647233e+03
    23.68866   1.15593053e+03
    23.63268   1.07884774e+03
    23.57696   1.08382681e+03
    23.52151   1.08128398e+03
    23.46631   1.10076055e+03
    23.41137   1.53707365e+03
    23.35669   1.43041371e+03
    23.30226   1.10259049e+03
    23.24809   1.23491763e+03
    23.19417   1.09641550e+03
    23.14050   1.27125819e+03
    23.08707   1.80848125e+03
    23.03389   1.15896749e+03
    22.98096   1.10933464e+03
    22.92827   1.11960352e+03
    22.87582   1.65913266e+03
    22.82361   1.29825834e+03
    22.77163   1.20338295e+03
    22.71990   1.44940423e+03
    22.66839   1.19626209e+03
    22.61712   1.12846453e+03
    22.56609   1.31820605e+03
    22.51528   1.14213344e+03
    22.46470   1.19079139e+03
    22.41435   1.14174105e+03
    22.36422   1.14777189e+03
    22.31431   1.88513201e+03
    22.26463   1.17766374e+03
    22.21517   1.15675620e+03
    22.16593   2.47618864e+03
    22.11690   1.15864196e+03
    22.06810   1.16259313e+03
    22.01950   1.39784779e+03
    21.97112   1.16807933e+03
    21.92296   1.26766211e+03
    21.87500   1.17331147e+03
    21.82725   1.17870805e+03
    21.77971   1.24970334e+03
    21.73238   1.21113559e+03
    21.68525   1.19132076e+03
    21.63833   1.22160179e+03
    21.59161   1.19657959e+03
    21.54509   1.33516525e+03
    21.49877   1.37427049e+03
    21.45265   1.39630614e+03
    21.40673   1.22521390e+03
    21.36100   1.21012693e+03
    21.31547   1.21008864e+03
    21.27013   1.21121612e+03
    21.22498   1.22388864e+03
    21.18003   1.21635715e+03
    21.13527   1.21940062e+03
    21.09069   1.25550663e+03
    21.04630   1.45016554e+03
    21.00210   1.23323626e+03
    20.95808   1.97601166e+03
    20.91425   1.61457403e+03
    20.87060   1.42785340e+03
    20.82713   1.74060612e+03
    20.78385   1.24307153e+03
    20.74074   1.87262065e+03
    20.69781   1.48768081e+03
    20.65506   1.25026974e+03
    20.61249   2.46376664e+03
    20.57009   1.26043576e+03
    20.52786   1.54677750e+03
    20.48581   1.28620276e+03
    20.44393   1.26553738e+03
    20.40222   1.88915166e+03
    20.36067   1.27205136e+03
    20.31930   1.27325888e+03
    20.27810   1.44985376e+03
    20.23706   1.27942069e+03
    20.19619   1.33760470e+03
    20.15549   1.37327549e+03
    20.11494   1.59059363e+03
    20.07456   1.69943604e+03
    20.03434   1.53198204e+03
    19.99429   1.34532006e+03
    19.95439   1.30074930e+03
    19.91465   1.30105424e+03
    19.87507   1.38408818e+03
    19.83565   1.30590597e+03
    19.79638   1.61790261e+03
    19.75727   2.79421437e+03
    19.71831   1.31313135e+03
    19.67951   1.31743269e+03
    19.64085   2.39607765e+03
    19.60235   1.32451940e+03
    19.56400   1.88706573e+03
    19.52580   1.63084372e+03
    19.48775   1.41455099e+03
    19.44985   1.33465233e+03
    19.41209   1.33681208e+03
    19.37448   1.67830744e+03
    19.33702   1.34022949e+03
    19.29970   1.34253093e+03
    19.26252   1.34582008e+03
    19.22549   1.44490578e+03
    19.18860   2.68890007e+03
    19.15185   3.22484376e+03
    19.11524   1.38616780e+03
    19.07877   2.08642270e+03
    19.04244   1.96014704e+03
    19.00624   1.36643970e+03
    18.97019   1.59097874e+03
    18.93427   1.54445430e+03
    18.89849   1.59920627e+03
    18.86284   3.46856096e+03
    18.82733   2.77040679e+03
    18.79195   1.73425293e+03
    18.75670   1.41392421e+03
    18.72158   1.38520372e+03
    18.68660   1.71369431e+03
    18.65175   1.39534250e+03
    18.61702   1.39316855e+03
    18.58243   1.40295269e+03
    18.54796   1.39806808e+03
    18.51362   1.66238611e+03
    18.47941   1.46841637e+03
    18.44532   1.97902293e+03
    18.41136   1.71308552e+03
    18.37753   1.41435539e+03
    18.34382   1.41802303e+03
    18.31023   1.41517804e+03
    18.27676   2.31502006e+03
    18.24342   1.41808744e+03
    18.21020   2.51289175e+03
    18.17710   1.42448155e+03
    18.14412   1.42737891e+03
    18.11125   1.77352586e+03
    18.07851   1.71655545e+03
    18.04589   1.43603991e+03
    18.01338   1.54296441e+03
    17.98099   3.44366735e+03
    17.94872   1.44164433e+03
    17.91656   1.49421357e+03
    17.88452   3.03409740e+03
    17.85259   1.56538372e+03
    17.82077   1.45960063e+03
    17.78907   1.85699151e+03
    17.75748   1.55295478e+03
    17.72601   1.45969009e+03
    17.69464   1.58695248e+03
    17.66339   3.06410105e+03
    17.63224   1.46531334e+03
    17.60121   2.13855708e+03
    17.57028   1.46816868e+03
    17.53946   2.56378380e+03
    17.50875   1.47248897e+03
    17.47815   2.53235941e+03
    17.44766   1.61526683e+03
    17.41727   1.48494356e+03
    17.38698   1.48974612e+03
    17.35681   1.48334590e+03
    17.32673   1.53888019e+03
    17.29676   2.00999640e+03
    17.26690   2.68072960e+03
    17.23713   1.49326422e+03
    17.20747   1.49477501e+03
    17.17791   2.57273263e+03
    17.14846   1.65102650e+03
    17.11910   1.52178598e+03
    17.08984   1.50373457e+03
    17.06069   2.80502325e+03
    17.03163   2.91487695e+03
    17.00267   2.41915667e+03
    16.97381   1.52665416e+03
    16.94505   1.83165628e+03
    16.91638   2.50572727e+03
    16.88782   1.51834701e+03
    16.85934   3.36687913e+03
    16.83097   1.93362655e+03
    16.80269   1.53675544e+03
    16.77450   2.31205355e+03
    16.74641   3.60398640e+03
    16.71841   1.55804831e+03
    16.69051   2.34782515e+03
    16.66270   1.53651471e+03
    16.63498   1.69157512e+03
    16.60735   1.61358824e+03
    16.57982   1.79561753e+03
    16.55238   1.54974005e+03
    16.52502   3.67642332e+03
    16.49776   1.71966432e+03
    16.47059   1.69667048e+03
    16.44350   1.95158708e+03
    16.41651   2.94984453e+03
    16.38960   1.60774142e+03
    16.36279   2.87106205e+03
    16.33606   1.62020261e+03
    16.30941   1.78859314e+03
    16.28286   1.57711787e+03
    16.25639   2.54746918e+03
    16.23000   1.57192299e+03
    16.20370   3.25056917e+03
    16.17749   2.19307133e+03
    16.15136   2.09468670e+03
    16.12532   1.57680306e+03
    16.09936   1.68827906e+03
    16.07348   3.65455956e+03
    16.04768   2.09977985e+03
    16.02197   1.85450665e+03
    15.99634   1.58684729e+03
    15.97080   1.59301359e+03
    15.94533   3.75281681e+03
    15.91995   4.58755606e+03
    15.89464   3.90307450e+03
    15.86942   2.95237471e+03
    15.84427   2.16819184e+03
    15.81921   3.58577505e+03
    15.79422   1.60196171e+03
    15.76932   1.79547464e+03
    15.74449   1.60433531e+03
    15.71974   1.80568481e+03
    15.69507   1.96015494e+03
    15.67047   1.67222265e+03
    15.64595   2.67369551e+03
    15.62151   1.61393068e+03
    15.59715   3.76355035e+03
    15.57286   1.63495418e+03
    15.54865   1.86801345e+03
    15.52451   1.63224350e+03
    15.50044   2.53880636e+03
    15.47645   2.12476764e+03
    15.45254   2.18909671e+03
    15.42870   1.95709901e+03
    15.40493   3.27225837e+03
    15.38123   2.74858483e+03
    15.35761   1.63839814e+03
    15.33406   1.85665497e+03
    15.31059   3.82223553e+03
    15.28718   3.49077064e+03
    15.26385   3.17242097e+03
    15.24058   4.03185292e+03
    15.21739   4.63599924e+03
    15.19427   3.62474494e+03
    15.17122   1.65162072e+03
    15.14824   2.39510058e+03
    15.12532   2.61903167e+03
    15.10248   3.27849721e+03
    15.07971   1.76371566e+03
    15.05700   2.30408530e+03
    15.03436   2.75161706e+03
    15.01179   2.16071893e+03
    14.98929   2.31841644e+03
    14.96686   2.75791428e+03
    14.94449   1.73140990e+03
    14.92219   1.67328755e+03
    14.89996   1.67000418e+03
    14.87779   2.01609336e+03
    14.85569   2.30060229e+03
    14.83365   1.93206737e+03
    14.81168   3.19972430e+03
    14.78977   2.07852201e+03
    14.76793   4.44358028e+03
    14.74616   4.78343231e+03
    14.72444   1.75141387e+03
    14.70279   4.35632164e+03
    14.68121   2.44103471e+03
    14.65969   2.49062044e+03
    14.63823   2.57794622e+03
    14.61683   4.99655058e+03
    14.59550   2.70933764e+03
    14.57422   5.50305321e+03
    14.55301   3.11610637e+03
    14.53187   1.70376984e+03
    14.51078   1.69512810e+03
    14.48975   1.70661406e+03
    14.46879   2.42462675e+03
    14.44788   4.33546352e+03
    14.42704   1.71594822e+03
    14.40626   1.71223050e+03
    14.38553   3.73317597e+03
    14.36487   1.85174068e+03
    14.34426   1.72813644e+03
    14.32372   1.71112799e+03
    14.30323   3.41732839e+03
    14.28280   5.13290788e+03
    14.26243   4.66449809e+03
    14.24212   2.63600416e+03
    14.22186   4.96985633e+03
    14.20166   1.71835959e+03
    14.18152   1.72115695e+03
    14.16144   3.04166852e+03
    14.14141   1.88589264e+03
    14.12144   2.42982523e+03
    14.10153   4.87086535e+03
    14.08167   3.03552819e+03
    14.06187   4.21732238e+03
    14.04213   4.88045244e+03
    14.02244   1.79858848e+03
    14.00280   1.74888443e+03
    13.98322   3.32103987e+03
    13.96369   3.05208870e+03
    13.94422   5.77602479e+03
    13.92481   3.82202595e+03
    13.90544   1.82695020e+03
    13.88613   4.68750561e+03
    13.86688   1.88962157e+03
    13.84768   3.21256390e+03
    13.82853   3.25475232e+03
    13.80943   4.05512475e+03
    13.79039   3.96482291e+03
    13.77139   3.39600185e+03
    13.75246   4.39972745e+03
    13.73357   3.12136672e+03
    13.71473   1.95948515e+03
    13.69595   1.81220684e+03
    13.67722   2.22832590e+03
    13.65854   2.51911856e+03
    13.63991   5.09442598e+03
    13.62133   4.36469483e+03
    13.60280   2.00590052e+03
    13.58432   4.83284536e+03
    13.56589   4.95937677e+03
    13.54751   3.45157101e+03
    13.52918   4.03087230e+03
    13.51091   1.77718261e+03
    13.49268   3.83329292e+03
    13.47449   1.79414541e+03
    13.45636   2.15090807e+03
    13.43828   1.80470284e+03
    13.42025   1.77190170e+03
    13.40226   4.68999809e+03
    13.38432   6.03534014e+03
    13.36643   2.28275539e+03
    13.34859   4.65949610e+03
    13.33079   3.89416687e+03
    13.31305   2.04345303e+03
    13.29535   1.78929355e+03
    13.27769   4.66709877e+03
    13.26009   1.86305186e+03
    13.24253   2.40041906e+03
    13.22501   1.86448380e+03
    13.20755   4.29903760e+03
    13.19013   6.30860276e+03
    13.17275   4.66522725e+03
    13.15542   3.10404473e+03
    13.13814   2.04975054e+03
    13.12090   3.89138589e+03
    13.10371   5.58735904e+03
    13.08656   5.88361945e+03
    13.06945   4.92451716e+03
    13.05240   4.76278696e+03
    13.03538   1.86193250e+03
    13.01841   5.01062426e+03
    13.00149   5.36396625e+03
    12.98460   1.95116832e+03
    12.96777   4.99949793e+03
    12.95097   3.60487763e+03
    12.93422   5.83166826e+03
    12.91751   5.16295116e+03
    12.90085   1.99084275e+03
    12.88423   6.13276633e+03
    12.86765   1.88755420e+03
    12.85111   4.62625793e+03
    12.83462   2.19376513e+03
    12.81817   4.97601250e+03
    12.80176   5.98718536e+03
    12.78539   5.14805373e+03
    12.76906   4.48685168e+03
    12.75278   1.91891950e+03
    12.73654   2.94164492e+03
    12.72033   5.97514443e+03
    12.70417   5.21554491e+03
    12.68806   3.31796122e+03
    12.67198   6.25725005e+03
    12.65594   5.19566473e+03
    12.63994   4.24230736e+03
    12.62399   3.85320530e+03
    12.60807   4.08309062e+03
    12.59219   1.85687468e+03
    12.57636   6.32467313e+03
    12.56056   1.93897018e+03
    12.54480   2.21063693e+03
    12.52909   2.04079147e+03
    12.51341   1.83062538e+03
    12.49777   5.17523860e+03
    12.48217   5.71496369e+03
    12.46661   4.68807823e+03
    12.45109   1.84404726e+03
    12.43560   5.01404847e+03
    12.42016   6.40826424e+03
    12.40475   2.07348558e+03
    12.38938   2.06164637e+03
    12.37405   1.88273799e+03
    12.35876   7.11103778e+03
    12.34350   6.68895932e+03
    12.32828   6.28070291e+03
    12.31310   6.20882157e+03
    12.29796   6.62786474e+03
    12.28286   1.92624303e+03
    12.26779   2.82652592e+03
    12.25276   2.50333896e+03
    12.23776   6.00379464e+03
    12.22280   6.59408891e+03
    12.20788   6.74697772e+03
    12.19300   5.89313886e+03
    12.17815   7.35439169e+03
    12.16334   5.71942081e+03
    12.14856   4.78681808e+03
    12.13382   6.80186595e+03
    12.11911   4.68910808e+03
    12.10444   4.89872431e+03
    12.08981   2.54082526e+03
    12.07521   2.12270049e+03
    12.06065   6.12238929e+03
    12.04612   5.61476006e+03
    12.03163   5.04950040e+03
    12.01717   6.55038013e+03
    12.00274   4.40842908e+03
    11.98835   7.22880898e+03
    11.97400   2.20791744e+03
    11.95968   5.92767088e+03
    11.94539   7.13250748e+03
