# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.51959181e+03
    27.92182   2.53100401e+03
    27.84407   2.54243038e+03
    27.76676   2.55386635e+03
    27.68987   2.56531297e+03
    27.61341   2.57677037e+03
    27.53737   2.58823837e+03
    27.46175   2.59971690e+03
    27.38654   2.61120582e+03
    27.31174   2.62270497e+03
    27.23735   2.63421433e+03
    27.16337   2.64573357e+03
    27.08978   2.65726259e+03
    27.01660   2.66880195e+03
    26.94380   2.68035080e+03
    26.87140   2.69190921e+03
    26.79939   2.70347667e+03
    26.72776   2.71504803e+03
    26.65651   2.72663937e+03
    26.58564   2.73823144e+03
    26.51515   2.74984013e+03
    26.44503   2.76140154e+03
    26.37528   2.77302571e+03
    26.30590   2.78465840e+03
    26.23688   2.79629941e+03
    26.16822   2.80794909e+03
    26.09993   2.81960691e+03
    26.03198   2.83127176e+03
    25.96439   2.84294657e+03
    25.89715   2.85462857e+03
    25.83026   2.86631817e+03
    25.76371   2.87801544e+03
    25.69750   2.88972014e+03
    25.63164   2.90143218e+03
    25.56611   2.91315174e+03
    25.50091   2.92487860e+03
    25.43605   2.93661235e+03
    25.37151   2.94834725e+03
    25.30730   2.96010040e+03
    25.24342   2.97185457e+03
    25.17986   2.98361457e+03
    25.11661   2.99538029e+03
    25.05369   3.00715155e+03
    24.99107   3.01893483e+03
    24.92877   3.03072143e+03
    24.86679   3.04251381e+03
    24.80510   3.05431151e+03
    24.74373   3.06611489e+03
    24.68265   3.07792400e+03
    24.62188   3.08973859e+03
    24.56140   3.10155854e+03
    24.50123   3.11338371e+03
    24.44134   3.12521423e+03
    24.38175   3.13704973e+03
    24.32245   3.14889006e+03
    24.26343   3.16073522e+03
    24.20470   3.17258507e+03
    24.14626   3.18443945e+03
    24.08809   3.19629822e+03
    24.03021   3.20816145e+03
    23.97260   3.22002872e+03
    23.91527   3.23189781e+03
    23.85821   3.24377107e+03
    23.80143   3.25565444e+03
    23.74491   3.26753761e+03
    23.68866   3.27935119e+03
    23.63268   3.29123750e+03
    23.57696   3.30313401e+03
    23.52151   3.31502819e+03
    23.46631   3.32692940e+03
    23.41137   3.33883118e+03
    23.35669   3.35073553e+03
    23.30226   3.36264233e+03
    23.24809   3.37455138e+03
    23.19417   3.38646256e+03
    23.14050   3.39837571e+03
    23.08707   3.41029066e+03
    23.03389   3.42220723e+03
    22.98096   3.43412414e+03
    22.92827   3.44604059e+03
    22.87582   3.45796520e+03
    22.82361   3.46988674e+03
    22.77163   3.48180912e+03
    22.71990   3.49373216e+03
    22.66839   3.50565576e+03
    22.61712   3.51757971e+03
    22.56609   3.52950432e+03
    22.51528   3.54142570e+03
    22.46470   3.55335413e+03
    22.41435   3.56527858e+03
    22.36422   3.57720272e+03
    22.31431   3.58913028e+03
    22.26463   3.60105570e+03
    22.21517   3.61298085e+03
    22.16593   3.62490643e+03
    22.11690   3.63683114e+03
    22.06810   3.64875558e+03
    22.01950   3.66068090e+03
    21.97112   3.67260470e+03
    21.92296   3.68452883e+03
    21.87500   3.69645203e+03
    21.82725   3.70837364e+03
    21.77971   3.72029686e+03
    21.73238   3.73221828e+03
    21.68525   3.74413596e+03
    21.63833   3.75605880e+03
    21.59161   3.76797741e+03
    21.54509   3.77989545e+03
    21.49877   3.79181201e+03
    21.45265   3.80372719e+03
    21.40673   3.81564089e+03
    21.36100   3.82755058e+03
    21.31547   3.83946213e+03
    21.27013   3.85137149e+03
    21.22498   3.86334482e+03
    21.18003   3.87525280e+03
    21.13527   3.88715845e+03
    21.09069   3.89906192e+03
    21.04630   3.91096284e+03
    21.00210   3.92285850e+03
    20.95808   3.93475643e+03
    20.91425   3.94664890e+03
    20.87060   3.95853837e+03
    20.82713   3.97042467e+03
    20.78385   3.98230700e+03
    20.74074   3.99418753e+03
    20.69781   4.00606411e+03
    20.65506   4.01793743e+03
    20.61249   4.02980769e+03
    20.57009   4.04167258e+03
    20.52786   4.05353860e+03
    20.48581   4.06539919e+03
    20.44393   4.07725681e+03
    20.40222   4.08911170e+03
    20.36067   4.10096208e+03
    20.31930   4.11281134e+03
    20.27810   4.12465748e+03
    20.23706   4.13649932e+03
    20.19619   4.14833973e+03
    20.15549   4.16017661e+03
    20.11494   4.17201066e+03
    20.07456   4.18384183e+03
    20.03434   4.19567018e+03
    19.99429   4.20749579e+03
    19.95439   4.21931687e+03
    19.91465   4.23113808e+03
    19.87507   4.24295593e+03
    19.83565   4.25477007e+03
    19.79638   4.26658222e+03
    19.75727   4.27839103e+03
    19.71831   4.29019686e+03
    19.67951   4.30199948e+03
    19.64085   4.31380001e+03
    19.60235   4.32559554e+03
    19.56400   4.33739130e+03
    19.52580   4.34918246e+03
    19.48775   4.36097050e+03
    19.44985   4.37275431e+03
    19.41209   4.38453662e+03
    19.37448   4.39631686e+03
    19.33702   4.40809235e+03
    19.29970   4.41986535e+03
    19.26252   4.43163484e+03
    19.22549   4.44340203e+03
    19.18860   4.45516564e+03
    19.15185   4.46692616e+03
    19.11524   4.47840634e+03
    19.07877   4.49016089e+03
    19.04244   4.50191261e+03
    19.00624   4.51366007e+03
    18.97019   4.52540823e+03
    18.93427   4.53715228e+03
    18.89849   4.54889418e+03
    18.86284   4.56063377e+03
    18.82733   4.57237135e+03
    18.79195   4.58410690e+03
    18.75670   4.59584049e+03
    18.72158   4.60757161e+03
    18.68660   4.61930294e+03
    18.65175   4.63103172e+03
    18.61702   4.64275874e+03
    18.58243   4.65448510e+03
    18.54796   4.66620952e+03
    18.51362   4.67793446e+03
    18.47941   4.68965765e+03
    18.44532   4.70137995e+03
    18.41136   4.71310189e+03
    18.37753   4.72482302e+03
    18.34382   4.73654440e+03
    18.31023   4.74826517e+03
    18.27676   4.75998639e+03
    18.24342   4.77170743e+03
    18.21020   4.78342911e+03
    18.17710   4.79514999e+03
    18.14412   4.80687308e+03
    18.11125   4.81859738e+03
    18.07851   4.83032177e+03
    18.04589   4.84203970e+03
    18.01338   4.85377455e+03
    17.98099   4.86549237e+03
    17.94872   4.87723130e+03
    17.91656   4.88896476e+03
    17.88452   4.90067442e+03
    17.85259   4.91243552e+03
    17.82077   4.92417367e+03
    17.78907   4.93588443e+03
    17.75748   4.94765890e+03
    17.72601   4.95938439e+03
    17.69464   4.97112252e+03
    17.66339   4.98289985e+03
    17.63224   4.99463815e+03
    17.60121   5.00638328e+03
    17.57028   5.01817459e+03
    17.53946   5.02992017e+03
    17.50875   5.04167398e+03
    17.47815   5.05347436e+03
    17.44766   5.06524510e+03
    17.41727   5.07699942e+03
    17.38698   5.08881769e+03
    17.35681   5.10057344e+03
    17.32673   5.11237901e+03
    17.29676   5.12421479e+03
    17.26690   5.13592085e+03
    17.23713   5.14809787e+03
    17.20747   5.15986371e+03
    17.17791   5.17165608e+03
    17.14846   5.18358289e+03
    17.11910   5.19534609e+03
    17.08984   5.20714154e+03
    17.06069   5.21912101e+03
    17.03163   5.23087848e+03
    17.00267   5.24268667e+03
    16.97381   5.25470611e+03
    16.94505   5.26645093e+03
    16.91638   5.27830629e+03
    16.88782   5.29032309e+03
    16.85934   5.30211669e+03
    16.83097   5.31396809e+03
    16.80269   5.32601340e+03
    16.77450   5.33783701e+03
