# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   1.60349208e+03
    27.92182   9.35712832e+02
    27.84407   9.76078250e+02
    27.76676   1.08447840e+03
    27.68987   9.82281611e+02
    27.61341   1.13743281e+03
    27.53737   1.08203006e+03
    27.46175   9.64851062e+02
    27.38654   1.23912460e+03
    27.31174   1.03681353e+03
    27.23735   1.16881853e+03
    27.16337   1.04529817e+03
    27.08978   9.89621345e+02
    27.01660   1.77721877e+03
    26.94380   1.02944719e+03
    26.87140   1.10785476e+03
    26.79939   1.23610323e+03
    26.72776   1.37713430e+03
    26.65651   1.01188585e+03
    26.58564   1.22061748e+03
    26.51515   1.32624451e+03
    26.44503   1.23402247e+03
    26.37528   1.45810785e+03
    26.30590   1.43438154e+03
    26.23688   1.17318827e+03
    26.16822   1.53211562e+03
    26.09993   1.35879869e+03
    26.03198   1.56657813e+03
    25.96439   1.20874814e+03
    25.89715   1.12727343e+03
    25.83026   2.30623395e+03
    25.76371   1.26155262e+03
    25.69750   2.65516755e+03
    25.63164   1.17603136e+03
    25.56611   1.41918340e+03
    25.50091   1.15188421e+03
    25.43605   1.66114024e+03
    25.37151   2.04289344e+03
    25.30730   1.26015160e+03
    25.24342   1.72844647e+03
    25.17986   1.96728195e+03
    25.11661   1.47280335e+03
    25.05369   1.80063230e+03
    24.99107   2.08768255e+03
    24.92877   1.58840768e+03
    24.86679   1.42961636e+03
    24.80510   2.01166014e+03
    24.74373   1.92594600e+03
    24.68265   1.56426853e+03
    24.62188   1.83838502e+03
    24.56140   1.47255352e+03
    24.50123   1.55508272e+03
    24.44134   1.41044011e+03
    24.38175   2.21597816e+03
    24.32245   1.57935909e+03
    24.26343   2.39013307e+03
    24.20470   2.39933167e+03
    24.14626   1.77390230e+03
    24.08809   1.73648744e+03
    24.03021   2.59668911e+03
    23.97260   1.70070813e+03
    23.91527   1.65185483e+03
    23.85821   2.27333229e+03
    23.80143   2.20329008e+03
    23.74491   3.24729377e+03
    23.68866   2.09974974e+03
    23.63268   2.09373026e+03
    23.57696   1.74056918e+03
    23.52151   2.14018946e+03
    23.46631   1.57463323e+03
    23.41137   2.27262450e+03
    23.35669   2.46526904e+03
    23.30226   3.36219453e+03
