# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   8.61257068e+02
    27.92182   8.70969604e+02
    27.84407   8.70162117e+02
    27.76676   9.62085354e+02
    27.68987   8.89805442e+02
    27.61341   9.69005739e+02
    27.53737   8.82859308e+02
    27.46175   9.23123382e+02
    27.38654   1.02772228e+03
    27.31174   9.63120393e+02
    27.23735   9.95366561e+02
    27.16337   8.98281904e+02
    27.08978   9.00816275e+02
    27.01660   9.03163613e+02
    26.94380   9.15331371e+02
    26.87140   9.13009244e+02
    26.79939   9.15320221e+02
    26.72776   9.42830248e+02
    26.65651   9.23777674e+02
    26.58564   9.41320448e+02
    26.51515   9.26708834e+02
    26.44503   9.30492194e+02
    26.37528   1.16412846e+03
    26.30590   1.15035436e+03
    26.23688   9.39203633e+02
    26.16822   9.63565702e+02
    26.09993   9.74037696e+02
    26.03198   9.51829868e+02
    25.96439   9.51650559e+02
    25.89715   1.00813710e+03
    25.83026   1.28718818e+03
    25.76371   1.11992590e+03
    25.69750   9.77211764e+02
    25.63164   9.72498866e+02
    25.56611   9.91078586e+02
    25.50091   9.82538682e+02
    25.43605   1.03495006e+03
    25.37151   1.00541269e+03
    25.30730   9.87690546e+02
    25.24342   9.86564817e+02
    25.17986   9.93514501e+02
    25.11661   1.00312111e+03
    25.05369   1.01675789e+03
    24.99107   1.00408534e+03
    24.92877   1.00382486e+03
    24.86679   1.24848781e+03
    24.80510   1.30322530e+03
    24.74373   1.03905810e+03
    24.68265   1.02080076e+03
    24.62188   1.11814141e+03
    24.56140   1.06090216e+03
    24.50123   1.08126918e+03
    24.44134   1.03888209e+03
    24.38175   1.48819079e+03
    24.32245   1.20180628e+03
    24.26343   1.08507035e+03
    24.20470   1.55575612e+03
    24.14626   1.18949151e+03
    24.08809   1.05253007e+03
    24.03021   1.08436577e+03
    23.97260   1.06957126e+03
    23.91527   1.06675200e+03
    23.85821   1.07852429e+03
    23.80143   1.06357380e+03
    23.74491   1.06687520e+03
    23.68866   1.14842508e+03
    23.63268   1.08630062e+03
    23.57696   1.08320458e+03
    23.52151   1.08551881e+03
    23.46631   1.09727391e+03
    23.41137   1.42525749e+03
    23.35669   1.38453802e+03
    23.30226   1.10279155e+03
    23.24809   1.21091912e+03
    23.19417   1.09646350e+03
    23.14050   1.20618972e+03
    23.08707   1.73464916e+03
    23.03389   1.14981829e+03
    22.98096   1.11161622e+03
    22.92827   1.12798497e+03
    22.87582   1.57243275e+03
    22.82361   1.28603519e+03
    22.77163   1.16533134e+03
    22.71990   1.44802614e+03
    22.66839   1.18414395e+03
    22.61712   1.12869733e+03
    22.56609   1.32027548e+03
    22.51528   1.14927515e+03
    22.46470   1.19131442e+03
    22.41435   1.14340388e+03
    22.36422   1.15216817e+03
    22.31431   1.33949669e+03
    22.26463   1.17802637e+03
    22.21517   1.15720338e+03
    22.16593   2.47847298e+03
    22.11690   1.15942656e+03
    22.06810   1.16446439e+03
    22.01950   1.39418492e+03
    21.97112   1.16877790e+03
    21.92296   1.25281213e+03
    21.87500   1.17339932e+03
    21.82725   1.18160929e+03
    21.77971   1.22467810e+03
    21.73238   1.20580218e+03
    21.68525   1.19763459e+03
    21.63833   1.22201930e+03
    21.59161   1.19638220e+03
    21.54509   1.33586990e+03
    21.49877   1.37630129e+03
    21.45265   1.27782628e+03
    21.40673   1.21996086e+03
    21.36100   1.21520917e+03
    21.31547   1.21271751e+03
    21.27013   1.21207710e+03
    21.22498   1.22184611e+03
    21.18003   1.21684196e+03
    21.13527   1.22010776e+03
    21.09069   1.25582801e+03
    21.04630   1.29515802e+03
    21.00210   1.23847990e+03
    20.95808   1.45959667e+03
    20.91425   1.61365380e+03
    20.87060   1.42993337e+03
    20.82713   1.38504254e+03
    20.78385   1.24458080e+03
    20.74074   1.86383421e+03
    20.69781   1.49008894e+03
    20.65506   1.25042152e+03
    20.61249   1.29308146e+03
    20.57009   1.26493047e+03
    20.52786   1.54937430e+03
    20.48581   1.28001113e+03
    20.44393   1.26602253e+03
    20.40222   1.33604780e+03
    20.36067   1.27464767e+03
    20.31930   1.27443064e+03
    20.27810   1.45154661e+03
    20.23706   1.28107232e+03
    20.19619   1.31461373e+03
    20.15549   1.37358895e+03
    20.11494   1.59168982e+03
    20.07456   1.70285297e+03
    20.03434   1.32844775e+03
    19.99429   1.34586538e+03
    19.95439   1.30445889e+03
    19.91465   1.30278803e+03
    19.87507   1.34244987e+03
    19.83565   1.30697299e+03
    19.79638   1.38453892e+03
    19.75727   2.79960594e+03
    19.71831   1.31331714e+03
    19.67951   1.31831771e+03
    19.64085   2.39440940e+03
    19.60235   1.32793329e+03
    19.56400   1.42498171e+03
    19.52580   1.63429686e+03
    19.48775   1.41472088e+03
    19.44985   1.33755650e+03
    19.41209   1.33935439e+03
    19.37448   1.68241778e+03
    19.33702   1.34144715e+03
    19.29970   1.34323607e+03
    19.26252   1.34731411e+03
    19.22549   1.38142794e+03
    19.18860   1.37801654e+03
    19.15185   3.13890187e+03
    19.11524   1.38657135e+03
    19.07877   2.08957053e+03
    19.04244   1.96390660e+03
    19.00624   1.37001772e+03
    18.97019   1.59311412e+03
    18.93427   1.44810043e+03
    18.89849   1.60192547e+03
    18.86284   3.46953213e+03
    18.82733   2.75178463e+03
    18.79195   1.40625715e+03
    18.75670   1.41428408e+03
    18.72158   1.38710392e+03
    18.68660   1.43475666e+03
    18.65175   1.39293849e+03
    18.61702   1.39416856e+03
    18.58243   1.40341161e+03
    18.54796   1.40005506e+03
