# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.50690413e+03
    27.92182   2.51693094e+03
    27.84407   2.54078939e+03
    27.76676   2.55410607e+03
    27.68987   2.44035574e+03
    27.61341   2.57132081e+03
    27.53737   2.58482500e+03
    27.46175   2.56815241e+03
    27.38654   2.53729046e+03
    27.31174   2.58283974e+03
    27.23735   2.57238063e+03
    27.16337   2.63495460e+03
    27.08978   2.62812483e+03
    27.01660   2.66563540e+03
    26.94380   2.68075293e+03
    26.87140   2.68612113e+03
    26.79939   2.65608110e+03
    26.72776   2.67182729e+03
    26.65651   2.71947650e+03
    26.58564   2.73266660e+03
    26.51515   2.74885978e+03
    26.44503   2.75612365e+03
    26.37528   2.64193710e+03
    26.30590   2.73764342e+03
    26.23688   2.77375072e+03
    26.16822   2.80583327e+03
    26.09993   2.78170414e+03
    26.03198   2.82810467e+03
    25.96439   2.77874541e+03
    25.89715   2.83652133e+03
    25.83026   2.86701449e+03
    25.76371   2.87441064e+03
    25.69750   2.89029837e+03
    25.63164   2.88110187e+03
    25.56611   2.88663092e+03
    25.50091   2.88549623e+03
    25.43605   2.87671913e+03
    25.37151   2.94870852e+03
    25.30730   2.94142301e+03
    25.24342   2.95167379e+03
    25.17986   2.89092277e+03
    25.11661   2.99588237e+03
    25.05369   3.00804167e+03
    24.99107   2.98887217e+03
    24.92877   3.03004232e+03
    24.86679   3.02607550e+03
    24.80510   3.03910007e+03
    24.74373   3.04455731e+03
    24.68265   3.07537303e+03
    24.62188   3.07564021e+03
    24.56140   3.10099870e+03
    24.50123   3.06312053e+03
    24.44134   3.12593307e+03
    24.38175   3.12626505e+03
    24.32245   3.14119153e+03
    24.26343   3.15014372e+03
    24.20470   3.17285534e+03
    24.14626   3.18464443e+03
    24.08809   3.15897492e+03
    24.03021   3.20865046e+03
    23.97260   3.22080481e+03
    23.91527   3.23187428e+03
    23.85821   3.22451700e+03
    23.80143   3.23821248e+03
    23.74491   3.26410824e+03
    23.68866   3.25277381e+03
    23.63268   3.29247277e+03
    23.57696   3.28550080e+03
    23.52151   3.28546753e+03
    23.46631   3.32782756e+03
    23.41137   3.33927550e+03
    23.35669   3.33432262e+03
    23.30226   3.36325315e+03
    23.24809   3.37536233e+03
    23.19417   3.38789379e+03
    23.14050   3.37648080e+03
    23.08707   3.40168055e+03
    23.03389   3.42117135e+03
    22.98096   3.43538257e+03
    22.92827   3.43814082e+03
    22.87582   3.45834930e+03
    22.82361   3.47118882e+03
    22.77163   3.48329484e+03
    22.71990   3.48245282e+03
    22.66839   3.50589419e+03
    22.61712   3.51874967e+03
    22.56609   3.51795775e+03
    22.51528   3.54139191e+03
    22.46470   3.55488550e+03
    22.41435   3.56681716e+03
    22.36422   3.57874853e+03
    22.31431   3.59068336e+03
    22.26463   3.60179369e+03
    22.21517   3.61441894e+03
    22.16593   3.62244731e+03
    22.11690   3.63600052e+03
    22.06810   3.64933385e+03
    22.01950   3.65572226e+03
    21.97112   3.67420900e+03
    21.92296   3.68603934e+03
    21.87500   3.69796974e+03
    21.82725   3.71000016e+03
    21.77971   3.72193083e+03
    21.73238   3.73385971e+03
    21.68525   3.74501463e+03
    21.63833   3.75771523e+03
    21.59161   3.76964135e+03
    21.54509   3.78156695e+03
    21.49877   3.79349108e+03
    21.45265   3.80537766e+03
    21.40673   3.81385153e+03
    21.36100   3.82909839e+03
    21.31547   3.84073703e+03
    21.27013   3.84810506e+03
    21.22498   3.86466869e+03
    21.18003   3.87133861e+03
    21.13527   3.88819655e+03
    21.09069   3.87871852e+03
    21.04630   3.91261156e+03
    21.00210   3.92451249e+03
    20.95808   3.93589373e+03
    20.91425   3.94804204e+03
    20.87060   3.96020840e+03
    20.82713   3.97210008e+03
    20.78385   3.98398781e+03
    20.74074   3.99587378e+03
    20.69781   4.00775582e+03
    20.65506   4.01963462e+03
    20.61249   4.03108549e+03
    20.57009   4.03978633e+03
    20.52786   4.05518142e+03
    20.48581   4.06700932e+03
    20.44393   4.07345076e+03
    20.40222   4.08439404e+03
    20.36067   4.09808776e+03
    20.31930   4.10110361e+03
    20.27810   4.12567139e+03
    20.23706   4.12862346e+03
    20.19619   4.14402334e+03
    20.15549   4.16194144e+03
    20.11494   4.17378130e+03
    20.07456   4.18561829e+03
    20.03434   4.19745248e+03
    19.99429   4.20928398e+03
    19.95439   4.22111096e+03
    19.91465   4.23293811e+03
    19.87507   4.24471800e+03
    19.83565   4.25653942e+03
    19.79638   4.25967206e+03
    19.75727   4.28017450e+03
    19.71831   4.29198802e+03
    19.67951   4.30118264e+03
    19.64085   4.30980881e+03
    19.60235   4.32537566e+03
    19.56400   4.32531512e+03
    19.52580   4.34046445e+03
    19.48775   4.36247622e+03
    19.44985   4.37418667e+03
    19.41209   4.36651517e+03
    19.37448   4.39817286e+03
    19.33702   4.40995552e+03
    19.29970   4.42173569e+03
    19.26252   4.43322297e+03
    19.22549   4.44528665e+03
    19.18860   4.45705739e+03
    19.15185   4.46882509e+03
    19.11524   4.47709426e+03
    19.07877   4.48966730e+03
    19.04244   4.50411106e+03
    19.00624   4.51586611e+03
    18.97019   4.52762183e+03
    18.93427   4.52283317e+03
    18.89849   4.55091945e+03
    18.86284   4.55590264e+03
    18.82733   4.57377075e+03
    18.79195   4.57979703e+03
    18.75670   4.58512463e+03
    18.72158   4.60974091e+03
    18.68660   4.62106211e+03
    18.65175   4.58782395e+03
    18.61702   4.64505054e+03
    18.58243   4.65678502e+03
    18.54796   4.66851737e+03
    18.51362   4.68025040e+03
    18.47941   4.69198169e+03
    18.44532   4.69225666e+03
    18.41136   4.71539555e+03
    18.37753   4.72712622e+03
    18.34382   4.73885713e+03
    18.31023   4.75058759e+03
    18.27676   4.75157905e+03
    18.24342   4.77404852e+03
    18.21020   4.78577984e+03
    18.17710   4.78747521e+03
    18.14412   4.80762415e+03
    18.11125   4.80762845e+03
    18.07851   4.81827346e+03
    18.04589   4.82979106e+03
    18.01338   4.85618204e+03
