# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.51997515e+03
    27.92182   2.53138890e+03
    27.84407   2.54281695e+03
    27.76676   2.55425457e+03
    27.68987   2.56570285e+03
    27.61341   2.57716193e+03
    27.53737   2.58863159e+03
    27.46175   2.60011179e+03
    27.38654   2.61157282e+03
    27.31174   2.62307435e+03
    27.23735   2.63458649e+03
    27.16337   2.64610830e+03
    27.08978   2.65763980e+03
    27.01660   2.66918162e+03
    26.94380   2.68073286e+03
    26.87140   2.69229376e+03
    26.79939   2.70386369e+03
    26.72776   2.71543750e+03
    26.65651   2.72703118e+03
    26.58564   2.73862564e+03
    26.51515   2.75023662e+03
    26.44503   2.76185248e+03
    26.37528   2.77347694e+03
    26.30590   2.78510904e+03
    26.23688   2.79675114e+03
    26.16822   2.80840110e+03
    26.09993   2.82005918e+03
    26.03198   2.83172420e+03
    25.96439   2.84339893e+03
    25.89715   2.85508144e+03
    25.83026   2.86677134e+03
    25.76371   2.87846891e+03
    25.69750   2.89017407e+03
    25.63164   2.90188631e+03
    25.56611   2.91360621e+03
    25.50091   2.92533344e+03
    25.43605   2.93706708e+03
    25.37151   2.94880259e+03
    25.30730   2.96055629e+03
    25.24342   2.97231078e+03
    25.17986   2.98404620e+03
    25.11661   2.99581326e+03
    25.05369   3.00758577e+03
    24.99107   3.01937016e+03
    24.92877   3.03115788e+03
    24.86679   3.04295162e+03
    24.80510   3.05475039e+03
    24.74373   3.06655488e+03
    24.68265   3.07836502e+03
    24.62188   3.09018058e+03
    24.56140   3.10200161e+03
    24.50123   3.11382688e+03
    24.44134   3.12565898e+03
    24.38175   3.13749543e+03
    24.32245   3.14933684e+03
    24.26343   3.16118278e+03
    24.20470   3.17303387e+03
    24.14626   3.18488879e+03
    24.08809   3.19674834e+03
    24.03021   3.20861259e+03
    23.97260   3.22047981e+03
    23.91527   3.23234957e+03
    23.85821   3.24422364e+03
    23.80143   3.25610574e+03
    23.74491   3.26798929e+03
    23.68866   3.27987861e+03
    23.63268   3.29176549e+03
    23.57696   3.30366293e+03
    23.52151   3.31555842e+03
    23.46631   3.32746021e+03
    23.41137   3.33936250e+03
    23.35669   3.35126791e+03
    23.30226   3.36317514e+03
    23.24809   3.37504874e+03
    23.19417   3.38696158e+03
    23.14050   3.39887544e+03
    23.08707   3.41079257e+03
    23.03389   3.42271266e+03
    22.98096   3.43462943e+03
    22.92827   3.44654662e+03
    22.87582   3.45847431e+03
    22.82361   3.47039836e+03
    22.77163   3.48232037e+03
    22.71990   3.49424564e+03
    22.66839   3.50617192e+03
    22.61712   3.51809761e+03
    22.56609   3.53002312e+03
    22.51528   3.54194934e+03
    22.46470   3.55387753e+03
    22.41435   3.56580437e+03
    22.36422   3.57773212e+03
    22.31431   3.58965946e+03
    22.26463   3.60158612e+03
    22.21517   3.61351535e+03
    22.16593   3.62544126e+03
    22.11690   3.63736633e+03
    22.06810   3.64929014e+03
    22.01950   3.66120952e+03
    21.97112   3.67314707e+03
    21.92296   3.68506554e+03
    21.87500   3.69698675e+03
    21.82725   3.70891567e+03
    21.77971   3.72083965e+03
    21.73238   3.73276006e+03
    21.68525   3.74468237e+03
    21.63833   3.75660918e+03
    21.59161   3.76852763e+03
    21.54509   3.78044973e+03
    21.49877   3.79233381e+03
    21.45265   3.80424681e+03
    21.40673   3.81616400e+03
    21.36100   3.82807964e+03
    21.31547   3.83999247e+03
    21.27013   3.85189398e+03
    21.22498   3.86374494e+03
    21.18003   3.87571942e+03
    21.13527   3.88762189e+03
    21.09069   3.89952765e+03
    21.04630   3.91142197e+03
    21.00210   3.92331572e+03
    20.95808   3.93521800e+03
    20.91425   3.94710949e+03
    20.87060   3.95899016e+03
    20.82713   3.97083771e+03
    20.78385   3.98272529e+03
    20.74074   3.99462503e+03
    20.69781   4.00648648e+03
    20.65506   4.01836029e+03
    20.61249   4.03024081e+03
    20.57009   4.04211557e+03
    20.52786   4.05396678e+03
    20.48581   4.06583276e+03
    20.44393   4.07768788e+03
    20.40222   4.08954991e+03
    20.36067   4.10138987e+03
    20.31930   4.11323300e+03
    20.27810   4.12508022e+03
    20.23706   4.13692258e+03
    20.19619   4.14875664e+03
    20.15549   4.16059539e+03
    20.11494   4.17241582e+03
    20.07456   4.18425568e+03
    20.03434   4.19607560e+03
    19.99429   4.20788583e+03
    19.95439   4.21972843e+03
    19.91465   4.23148870e+03
    19.87507   4.24329553e+03
    19.83565   4.25514082e+03
    19.79638   4.26691210e+03
    19.75727   4.27872133e+03
    19.71831   4.29050630e+03
    19.67951   4.30214879e+03
    19.64085   4.31392913e+03
    19.60235   4.32582513e+03
    19.56400   4.33759595e+03
    19.52580   4.34939949e+03
    19.48775   4.36124961e+03
    19.44985   4.37300558e+03
    19.41209   4.38477613e+03
    19.37448   4.39660239e+03
    19.33702   4.40833533e+03
    19.29970   4.42007415e+03
    19.26252   4.43191873e+03
    19.22549   4.44362052e+03
    19.18860   4.45534834e+03
    19.15185   4.46720431e+03
    19.11524   4.47883401e+03
    19.07877   4.49060550e+03
    19.04244   4.50241482e+03
    19.00624   4.51406349e+03
    18.97019   4.52579957e+03
    18.93427   4.53753659e+03
    18.89849   4.54922885e+03
    18.86284   4.56097953e+03
    18.82733   4.57275637e+03
    18.79195   4.58447419e+03
    18.75670   4.59612003e+03
    18.72158   4.60791309e+03
    18.68660   4.61962343e+03
    18.65175   4.63122085e+03
    18.61702   4.64307158e+03
    18.58243   4.65460571e+03
    18.54796   4.66641848e+03
    18.51362   4.67818622e+03
    18.47941   4.68972385e+03
    18.44532   4.70125401e+03
    18.41136   4.71273645e+03
    18.37753   4.72428230e+03
    18.34382   4.73515195e+03
    18.31023   4.74721196e+03
    18.27676   4.75922294e+03
    18.24342   4.77117430e+03
    18.21020   4.78299598e+03
    18.17710   4.79463666e+03
    18.14412   4.80650831e+03
    18.11125   4.81835878e+03
    18.07851   4.82990840e+03
    18.04589   4.84101972e+03
    18.01338   4.85350209e+03
    17.98099   4.86442382e+03
    17.94872   4.87566293e+03
    17.91656   4.88795096e+03
    17.88452   4.89956105e+03
    17.85259   4.91141558e+03
