# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.51999209e+03
    27.92182   2.53140600e+03
    27.84407   2.54283415e+03
    27.76676   2.55427189e+03
    27.68987   2.56572028e+03
    27.61341   2.57717945e+03
    27.53737   2.58864922e+03
    27.46175   2.60012952e+03
    27.38654   2.61159063e+03
    27.31174   2.62309249e+03
    27.23735   2.63460453e+03
    27.16337   2.64612642e+03
    27.08978   2.65765807e+03
    27.01660   2.66920004e+03
    26.94380   2.68075147e+03
    26.87140   2.69231245e+03
    26.79939   2.70388245e+03
    26.72776   2.71545630e+03
    26.65651   2.72705016e+03
    26.58564   2.73864469e+03
    26.51515   2.75025587e+03
    26.44503   2.76187180e+03
    26.37528   2.77349634e+03
    26.30590   2.78512941e+03
    26.23688   2.79677080e+03
    26.16822   2.80842088e+03
    26.09993   2.82007910e+03
    26.03198   2.83174435e+03
    25.96439   2.84341958e+03
    25.89715   2.85510199e+03
    25.83026   2.86679203e+03
    25.76371   2.87848972e+03
    25.69750   2.89019486e+03
    25.63164   2.90190733e+03
    25.56611   2.91362732e+03
    25.50091   2.92535464e+03
    25.43605   2.93708885e+03
    25.37151   2.94882416e+03
    25.30730   2.96057779e+03
    25.24342   2.97233242e+03
    25.17986   2.98406801e+03
    25.11661   2.99583515e+03
    25.05369   3.00760780e+03
    24.99107   3.01939247e+03
    24.92877   3.03118041e+03
    24.86679   3.04297411e+03
    24.80510   3.05477310e+03
    24.74373   3.06657773e+03
    24.68265   3.07838807e+03
    24.62188   3.09020385e+03
    24.56140   3.10202498e+03
    24.50123   3.11385129e+03
    24.44134   3.12568293e+03
    24.38175   3.13751953e+03
    24.32245   3.14936092e+03
    24.26343   3.16120712e+03
    24.20470   3.17305799e+03
    24.14626   3.18491336e+03
    24.08809   3.19677310e+03
    24.03021   3.20863727e+03
    23.97260   3.22050545e+03
    23.91527   3.23237542e+03
    23.85821   3.24424953e+03
    23.80143   3.25613377e+03
    23.74491   3.26801776e+03
    23.68866   3.27990539e+03
    23.63268   3.29179249e+03
    23.57696   3.30368988e+03
    23.52151   3.31558492e+03
    23.46631   3.32748706e+03
    23.41137   3.33938979e+03
    23.35669   3.35129510e+03
    23.30226   3.36320290e+03
    23.24809   3.37507643e+03
    23.19417   3.38698982e+03
    23.14050   3.39890517e+03
    23.08707   3.41082230e+03
    23.03389   3.42274104e+03
    22.98096   3.43466010e+03
    22.92827   3.44657868e+03
    22.87582   3.45850546e+03
    22.82361   3.47042913e+03
    22.77163   3.48235362e+03
    22.71990   3.49427877e+03
    22.66839   3.50620446e+03
    22.61712   3.51813049e+03
    22.56609   3.53005717e+03
    22.51528   3.54198058e+03
    22.46470   3.55391109e+03
    22.41435   3.56583756e+03
    22.36422   3.57776372e+03
    22.31431   3.58969332e+03
    22.26463   3.60162076e+03
    22.21517   3.61354792e+03
    22.16593   3.62547551e+03
    22.11690   3.63740221e+03
    22.06810   3.64932864e+03
    22.01950   3.66125595e+03
    21.97112   3.67318174e+03
    21.92296   3.68510786e+03
    21.87500   3.69703304e+03
    21.82725   3.70895663e+03
    21.77971   3.72088183e+03
    21.73238   3.73280523e+03
    21.68525   3.74472486e+03
    21.63833   3.75664970e+03
    21.59161   3.76857027e+03
    21.54509   3.78049030e+03
    21.49877   3.79237273e+03
    21.45265   3.80429107e+03
    21.40673   3.81620790e+03
    21.36100   3.82812066e+03
    21.31547   3.84003528e+03
    21.27013   3.85194766e+03
    21.22498   3.86385742e+03
    21.18003   3.87576481e+03
    21.13527   3.88766986e+03
    21.09069   3.89957273e+03
    21.04630   3.91147305e+03
    21.00210   3.92336809e+03
    20.95808   3.93526545e+03
    20.91425   3.94715733e+03
    20.87060   3.95904621e+03
    20.82713   3.97093191e+03
    20.78385   3.98281363e+03
    20.74074   3.99469357e+03
    20.69781   4.00656956e+03
    20.65506   4.01844227e+03
    20.61249   4.03031192e+03
    20.57009   4.04217620e+03
    20.52786   4.05404165e+03
    20.48581   4.06590163e+03
    20.44393   4.07775866e+03
    20.40222   4.08961295e+03
    20.36067   4.10146272e+03
    20.31930   4.11331139e+03
    20.27810   4.12515695e+03
    20.23706   4.13699819e+03
    20.19619   4.14883802e+03
    20.15549   4.16067431e+03
    20.11494   4.17250778e+03
    20.07456   4.18433838e+03
    20.03434   4.19616614e+03
    19.99429   4.20799118e+03
    19.95439   4.21981169e+03
