# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   8.61256571e+02
    27.92182   8.70856873e+02
    27.84407   8.70671917e+02
    27.76676   1.16342662e+03
    27.68987   9.03162821e+02
    27.61341   1.07408117e+03
    27.53737   8.83190656e+02
    27.46175   1.09933586e+03
    27.38654   1.23580036e+03
    27.31174   1.14363475e+03
    27.23735   1.14106847e+03
    27.16337   8.98509259e+02
    27.08978   9.00766040e+02
    27.01660   9.03151468e+02
    26.94380   9.19506942e+02
    26.87140   9.13712439e+02
    26.79939   9.15448830e+02
    26.72776   9.42750550e+02
    26.65651   9.23697056e+02
    26.58564   9.41236332e+02
    26.51515   9.26698577e+02
    26.44503   9.30553918e+02
    26.37528   1.37318451e+03
    26.30590   1.39364211e+03
    26.23688   9.39193606e+02
    26.16822   9.65891909e+02
    26.09993   9.81117537e+02
    26.03198   9.51803669e+02
    25.96439   9.51624451e+02
    25.89715   1.07902237e+03
    25.83026   1.30288153e+03
    25.76371   1.55810685e+03
    25.69750   9.77176884e+02
    25.63164   9.73314582e+02
    25.56611   9.92775070e+02
    25.50091   9.85256428e+02
    25.43605   1.04312889e+03
    25.37151   1.00534134e+03
    25.30730   9.88139254e+02
    25.24342   9.86550394e+02
    25.17986   9.93500009e+02
    25.11661   1.00306753e+03
    25.05369   1.01669266e+03
    24.99107   1.00406432e+03
    24.92877   1.00380883e+03
    24.86679   1.96569568e+03
    24.80510   1.38975935e+03
    24.74373   1.04039551e+03
    24.68265   1.02122443e+03
    24.62188   1.13349984e+03
    24.56140   1.06898367e+03
    24.50123   1.09385730e+03
    24.44134   1.04033480e+03
    24.38175   1.61405741e+03
    24.32245   1.29631748e+03
    24.26343   1.08587363e+03
    24.20470   1.65825349e+03
    24.14626   1.23456636e+03
    24.08809   1.05290589e+03
    24.03021   1.08470160e+03
    23.97260   1.07139009e+03
    23.91527   1.06670896e+03
    23.85821   1.07845491e+03
    23.80143   1.06356308e+03
    23.74491   1.06685914e+03
    23.68866   1.15679129e+03
    23.63268   1.08624110e+03
    23.57696   1.08405376e+03
    23.52151   1.08547314e+03
    23.46631   1.10104282e+03
    23.41137   1.53915449e+03
    23.35669   1.42986393e+03
    23.30226   1.10273129e+03
    23.24809   1.23541960e+03
    23.19417   1.09646316e+03
    23.14050   1.27226971e+03
    23.08707   1.81114191e+03
    23.03389   1.15952789e+03
    22.98096   1.11159498e+03
    22.92827   1.12792004e+03
    22.87582   1.66042979e+03
    22.82361   1.29987920e+03
    22.77163   1.20422088e+03
    22.71990   1.44935894e+03
    22.66839   1.19688814e+03
    22.61712   1.12868920e+03
    22.56609   1.31977196e+03
    22.51528   1.14921650e+03
    22.46470   1.19113315e+03
    22.41435   1.14338703e+03
    22.36422   1.15211085e+03
    22.31431   1.88851650e+03
    22.26463   1.17791457e+03
    22.21517   1.15717545e+03
    22.16593   2.47872589e+03
    22.11690   1.15941845e+03
    22.06810   1.16442156e+03
    22.01950   1.39871231e+03
    21.97112   1.16876433e+03
    21.92296   1.26850650e+03
    21.87500   1.17339450e+03
    21.82725   1.18159735e+03
    21.77971   1.25031004e+03
    21.73238   1.21130790e+03
    21.68525   1.19757798e+03
    21.63833   1.22188656e+03
    21.59161   1.19701758e+03
    21.54509   1.33550690e+03
    21.49877   1.37579028e+03
    21.45265   1.39813566e+03
    21.40673   1.22549133e+03
    21.36100   1.21516258e+03
    21.31547   1.21267112e+03
    21.27013   1.21206702e+03
    21.22498   1.22416468e+03
    21.18003   1.21683929e+03
    21.13527   1.22010483e+03
    21.09069   1.25570903e+03
    21.04630   1.45012671e+03
    21.00210   1.23842556e+03
    20.95808   1.97843537e+03
    20.91425   1.61444120e+03
    20.87060   1.42947581e+03
    20.82713   1.74353519e+03
