# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.51997518e+03
    27.92182   2.53138899e+03
    27.84407   2.54281703e+03
    27.76676   2.55425467e+03
    27.68987   2.56570295e+03
    27.61341   2.57716202e+03
    27.53737   2.58863169e+03
    27.46175   2.60011188e+03
    27.38654   2.61157291e+03
    27.31174   2.62307466e+03
    27.23735   2.63458660e+03
    27.16337   2.64610838e+03
    27.08978   2.65763992e+03
    27.01660   2.66918178e+03
    26.94380   2.68073310e+03
    26.87140   2.69229397e+03
    26.79939   2.70386386e+03
    26.72776   2.71543760e+03
    26.65651   2.72703135e+03
    26.58564   2.73862577e+03
    26.51515   2.75023684e+03
    26.44503   2.76185265e+03
    26.37528   2.77347708e+03
    26.30590   2.78511004e+03
    26.23688   2.79675132e+03
    26.16822   2.80840129e+03
    26.09993   2.82005939e+03
    26.03198   2.83172453e+03
    25.96439   2.84339964e+03
    25.89715   2.85508194e+03
    25.83026   2.86677186e+03
    25.76371   2.87846944e+03
    25.69750   2.89017446e+03
    25.63164   2.90188681e+03
    25.56611   2.91360669e+03
    25.50091   2.92533389e+03
    25.43605   2.93706798e+03
    25.37151   2.94880317e+03
    25.30730   2.96055668e+03
    25.24342   2.97231120e+03
    25.17986   2.98404670e+03
    25.11661   2.99581371e+03
    25.05369   3.00758624e+03
    24.99107   3.01937079e+03
    24.92877   3.03115861e+03
    24.86679   3.04295218e+03
    24.80510   3.05475105e+03
    24.74373   3.06655555e+03
    24.68265   3.07836577e+03
    24.62188   3.09018143e+03
    24.56140   3.10200243e+03
    24.50123   3.11382862e+03
    24.44134   3.12566013e+03
    24.38175   3.13749660e+03
    24.32245   3.14933787e+03
    24.26343   3.16118395e+03
    24.20470   3.17303469e+03
    24.14626   3.18488993e+03
    24.08809   3.19674953e+03
    24.03021   3.20861358e+03
    23.97260   3.22048163e+03
    23.91527   3.23235147e+03
    23.85821   3.24422545e+03
    23.80143   3.25610956e+03
    23.74491   3.26799342e+03
    23.68866   3.27988091e+03
    23.63268   3.29176788e+03
