# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   1.28594615e+03
    27.92182   9.07798779e+02
    27.84407   9.37668674e+02
    27.76676   1.00374413e+03
    27.68987   9.42764390e+02
    27.61341   1.03119363e+03
    27.53737   1.00500570e+03
    27.46175   9.32484324e+02
    27.38654   1.08287005e+03
    27.31174   9.80251880e+02
    27.23735   1.05197586e+03
    27.16337   9.85235332e+02
    27.08978   9.53028821e+02
    27.01660   1.41267889e+03
    26.94380   9.78380865e+02
    26.87140   1.01959392e+03
    26.79939   1.08504695e+03
    26.72776   1.19122224e+03
    26.65651   9.75811240e+02
    26.58564   1.11128169e+03
    26.51515   1.16023378e+03
    26.44503   1.11789028e+03
    26.37528   1.23254026e+03
    26.30590   1.21956766e+03
    26.23688   1.08700092e+03
    26.16822   1.26275191e+03
    26.09993   1.17987827e+03
    26.03198   1.27970611e+03
    25.96439   1.10283397e+03
    25.89715   1.06257011e+03
    25.83026   1.78508189e+03
    25.76371   1.13663229e+03
    25.69750   2.12173119e+03
    25.63164   1.08978545e+03
    25.56611   1.25305526e+03
    25.50091   1.08398921e+03
    25.43605   1.36425430e+03
    25.37151   1.57417455e+03
    25.30730   1.15097555e+03
    25.24342   1.39987950e+03
    25.17986   1.52182035e+03
    25.11661   1.27863729e+03
    25.05369   1.43942794e+03
    24.99107   1.59629975e+03
    24.92877   1.30356329e+03
    24.86679   1.25607231e+03
    24.80510   1.54990541e+03
    24.74373   1.51137257e+03
    24.68265   1.30853280e+03
    24.62188   1.46428394e+03
    24.56140   1.28960435e+03
    24.50123   1.32341617e+03
    24.44134   1.25506436e+03
    24.38175   1.70955171e+03
    24.32245   1.34122160e+03
    24.26343   1.82214177e+03
    24.20470   1.82698570e+03
    24.14626   1.44994349e+03
    24.08809   1.40197412e+03
    24.03021   1.97134636e+03
    23.97260   1.40086986e+03
    23.91527   1.36295141e+03
    23.85821   1.73277069e+03
    23.80143   1.69062036e+03
    23.74491   3.11911551e+03
    23.68866   1.63246079e+03
    23.63268   1.62715786e+03
    23.57696   1.39723509e+03
    23.52151   1.64935359e+03
    23.46631   1.33578305e+03
    23.41137   1.72512386e+03
    23.35669   1.84428220e+03
    23.30226   3.35772506e+03
    23.24809   1.58144919e+03
    23.19417   1.77273582e+03
    23.14050   1.39931783e+03
    23.08707   2.34432614e+03
    23.03389   1.47656806e+03
    22.98096   3.41695278e+03
    22.92827   2.36519695e+03
    22.87582   2.02335129e+03
    22.82361   2.08686944e+03
    22.77163   1.27444602e+03
    22.71990   2.81241880e+03
    22.66839   1.60513750e+03
    22.61712   1.70597647e+03
    22.56609   3.52244229e+03
    22.51528   1.93238267e+03
    22.46470   3.54963356e+03
    22.41435   3.56377725e+03
    22.36422   1.31538016e+03
    22.31431   1.37038792e+03
    22.26463   3.60149539e+03
    22.21517   3.61330800e+03
    22.16593   3.61696750e+03
    22.11690   3.62500930e+03
    22.06810   1.25110927e+03
    22.01950   2.69888023e+03
    21.97112   3.66717046e+03
    21.92296   1.73123579e+03
    21.87500   3.67183691e+03
    21.82725   3.70258536e+03
    21.77971   1.39156865e+03
    21.73238   1.47894563e+03
    21.68525   3.74101356e+03
    21.63833   3.74785996e+03
    21.59161   1.41317066e+03
    21.54509   3.77643819e+03
    21.49877   3.78661338e+03
    21.45265   1.36570194e+03
    21.40673   1.41335716e+03
    21.36100   3.82476601e+03
    21.31547   1.33985427e+03
    21.27013   3.84066147e+03
    21.22498   1.34289278e+03
    21.18003   3.86529421e+03
    21.13527   3.87191555e+03
    21.09069   3.89633710e+03
    21.04630   1.33739967e+03
    21.00210   3.84589391e+03
    20.95808   1.50069783e+03
    20.91425   3.64807966e+03
    20.87060   3.92984053e+03
    20.82713   1.44374636e+03
    20.78385   3.63718091e+03
    20.74074   3.20491436e+03
    20.69781   3.99892751e+03
    20.65506   4.01846106e+03
    20.61249   1.29367112e+03
    20.57009   3.68772567e+03
    20.52786   4.04421037e+03
    20.48581   1.44421184e+03
    20.44393   4.07780688e+03
    20.40222   1.34493272e+03
    20.36067   1.34274203e+03
    20.31930   3.49792611e+03
    20.27810   4.11558385e+03
    20.23706   4.11111852e+03
    20.19619   1.43642643e+03
    20.15549   4.15734603e+03
    20.11494   4.17151180e+03
    20.07456   4.17865457e+03
    20.03434   1.34267972e+03
    19.99429   3.22522220e+03
    19.95439   4.01902994e+03
    19.91465   3.47330239e+03
    19.87507   1.42579453e+03
    19.83565   3.91424097e+03
    19.79638   1.42566222e+03
    19.75727   4.27478968e+03
    19.71831   1.57875375e+03
    19.67951   3.99201089e+03
    19.64085   4.10891355e+03
    19.60235   4.30750603e+03
    19.56400   1.46210827e+03
    19.52580   4.14006311e+03
    19.48775   4.02266198e+03
    19.44985   4.36938313e+03
    19.41209   1.37162148e+03
    19.37448   4.38322174e+03
    19.33702   4.39858938e+03
    19.29970   1.43024606e+03
    19.26252   4.24387540e+03
    19.22549   1.42853096e+03
    19.18860   1.37769275e+03
    19.15185   3.86646233e+03
    19.11524   4.47648478e+03
    19.07877   4.22203529e+03
    19.04244   4.22613934e+03
    19.00624   3.51763285e+03
    18.97019   4.52465023e+03
    18.93427   1.55958505e+03
    18.89849   4.52263797e+03
    18.86284   4.55658405e+03
    18.82733   4.15829231e+03
    18.79195   1.41220818e+03
    18.75670   4.57866405e+03
    18.72158   3.82470485e+03
    18.68660   1.45605779e+03
    18.65175   1.44816073e+03
    18.61702   4.23920268e+03
    18.58243   3.82025751e+03
    18.54796   4.12305640e+03
    18.51362   4.35357120e+03
    18.47941   4.39907272e+03
    18.44532   4.10488176e+03
    18.41136   4.09130766e+03
    18.37753   4.45287676e+03
    18.34382   4.46488800e+03
    18.31023   4.38831074e+03
    18.27676   4.47881195e+03
    18.24342   3.45722007e+03
    18.21020   1.46923981e+03
    18.17710   4.13952393e+03
    18.14412   4.41233153e+03
    18.11125   1.49545693e+03
    18.07851   1.48110988e+03
    18.04589   1.44729250e+03
    18.01338   4.18959422e+03
    17.98099   3.95628481e+03
    17.94872   4.54054167e+03
    17.91656   4.05493001e+03
    17.88452   4.45298427e+03
    17.85259   3.17778869e+03
    17.82077   3.28011633e+03
    17.78907   4.33617766e+03
    17.75748   3.88665288e+03
    17.72601   4.82408803e+03
    17.69464   4.65614693e+03
    17.66339   4.02454461e+03
    17.63224   4.99546658e+03
    17.60121   4.59248296e+03
    17.57028   3.23006138e+03
    17.53946   1.57098477e+03
    17.50875   1.52399245e+03
    17.47815   3.97994736e+03
    17.44766   2.82200416e+03
    17.41727   2.66390154e+03
    17.38698   2.59600826e+03
    17.35681   3.91418919e+03
    17.32673   3.70974754e+03
    17.29676   3.99919181e+03
    17.26690   3.71903766e+03
    17.23713   2.55125986e+03
    17.20747   3.73662885e+03
    17.17791   2.07721224e+03
    17.14846   3.42396768e+03
    17.11910   4.07365348e+03
    17.08984   1.96849371e+03
    17.06069   4.06951059e+03
    17.03163   4.57610596e+03
    17.00267   4.48025024e+03
    16.97381   2.23396059e+03
    16.94505   1.52124105e+03
    16.91638   3.35150249e+03
    16.88782   4.09971783e+03
    16.85934   3.49961018e+03
    16.83097   1.79684766e+03
    16.80269   4.03113574e+03
    16.77450   1.98179227e+03
    16.74641   3.57347174e+03
    16.71841   2.66398581e+03
    16.69051   1.77732072e+03
    16.66270   3.42702558e+03
    16.63498   5.39692631e+03
    16.60735   1.65646737e+03
    16.57982   1.59557782e+03
    16.55238   3.68883762e+03
    16.52502   2.85310055e+03
    16.49776   2.92068900e+03
    16.47059   1.64595894e+03
    16.44350   1.79395064e+03
    16.41651   1.96616308e+03
    16.38960   3.55751869e+03
    16.36279   1.61986647e+03
    16.33606   2.06173460e+03
    16.30941   1.72977232e+03
    16.28286   5.54663312e+03
    16.25639   1.57704500e+03
    16.23000   3.41318837e+03
    16.20370   1.60928438e+03
    16.17749   1.59785611e+03
    16.15136   2.20703502e+03
    16.12532   1.69413981e+03
    16.09936   1.58909144e+03
    16.07348   5.64555321e+03
    16.04768   1.58650294e+03
    16.02197   1.60808018e+03
    15.99634   1.60214672e+03
    15.97080   1.60020702e+03
    15.94533   1.60731962e+03
    15.91995   1.59408367e+03
    15.89464   1.61064599e+03
    15.86942   1.59864996e+03
    15.84427   1.65235157e+03
    15.81921   1.65608519e+03
    15.79422   1.61090424e+03
    15.76932   3.24197788e+03
    15.74449   1.67083402e+03
    15.71974   1.93782683e+03
    15.69507   1.63231833e+03
    15.67047   2.27823518e+03
    15.64595   2.05777986e+03
    15.62151   2.10539430e+03
    15.59715   1.73093850e+03
    15.57286   1.67031748e+03
    15.54865   3.35704320e+03
    15.52451   2.06163203e+03
    15.50044   2.28625539e+03
    15.47645   2.47668326e+03
    15.45254   1.90475160e+03
    15.42870   1.83419970e+03
    15.40493   2.01436138e+03
    15.38123   1.95573846e+03
    15.35761   2.17734874e+03
    15.33406   3.78728869e+03
    15.31059   2.14228503e+03
    15.28718   1.94183527e+03
    15.26385   1.86711604e+03
    15.24058   2.22813119e+03
    15.21739   2.12752804e+03
    15.19427   2.59516386e+03
    15.17122   1.82975868e+03
    15.14824   2.62356115e+03
    15.12532   2.15666453e+03
    15.10248   2.78211353e+03
    15.07971   1.84136306e+03
    15.05700   2.85660205e+03
    15.03436   2.97675850e+03
    15.01179   2.35350152e+03
    14.98929   2.00973589e+03
    14.96686   3.06906777e+03
    14.94449   4.58070937e+03
    14.92219   1.72342624e+03
    14.89996   3.25117869e+03
    14.87779   2.00445112e+03
    14.85569   2.60729721e+03
    14.83365   2.55572587e+03
    14.81168   1.76591435e+03
    14.78977   2.59920073e+03
    14.76793   2.00491915e+03
    14.74616   1.99179802e+03
    14.72444   2.15029588e+03
    14.70279   2.08514201e+03
    14.68121   1.99262148e+03
    14.65969   2.38534833e+03
    14.63823   2.01035640e+03
    14.61683   2.38909575e+03
    14.59550   1.78718822e+03
    14.57422   1.82050340e+03
    14.55301   2.51204363e+03
    14.53187   2.04285029e+03
    14.51078   1.98127271e+03
    14.48975   1.84027079e+03
    14.46879   1.72961809e+03
    14.44788   1.70907151e+03
    14.42704   2.18653223e+03
    14.40626   2.20216434e+03
    14.38553   6.49928479e+03
    14.36487   1.87821036e+03
    14.34426   3.14497087e+03
    14.32372   6.44702149e+03
    14.30323   6.27359993e+03
    14.28280   1.88783582e+03
    14.26243   1.78047273e+03
    14.24212   2.02949516e+03
    14.22186   1.75554634e+03
    14.20166   1.86875581e+03
    14.18152   1.81172780e+03
    14.16144   2.33437968e+03
    14.14141   1.73400682e+03
    14.12144   2.18146224e+03
    14.10153   1.75751737e+03
    14.08167   1.74013554e+03
