# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.22092877e+03
    27.92182   2.20027728e+03
    27.84407   2.48333463e+03
    27.76676   2.54448656e+03
    27.68987   1.53786179e+03
    27.61341   2.40562562e+03
    27.53737   2.47879467e+03
    27.46175   2.08999568e+03
    27.38654   1.78855882e+03
    27.31174   2.05714538e+03
    27.23735   1.86192999e+03
    27.16337   2.42944120e+03
    27.08978   2.16012795e+03
    27.01660   2.56437931e+03
    26.94380   2.67592096e+03
    26.87140   2.51696095e+03
    26.79939   2.02362730e+03
    26.72776   2.07365435e+03
    26.65651   2.51335335e+03
    26.58564   2.56772590e+03
    26.51515   2.70783033e+03
    26.44503   2.61213777e+03
    26.37528   1.72145026e+03
    26.30590   2.13932917e+03
    26.23688   2.38533360e+03
    26.16822   2.73685318e+03
    26.09993   2.23921192e+03
    26.03198   2.72846122e+03
    25.96439   2.03600678e+03
    25.89715   2.49955130e+03
    25.83026   2.86744000e+03
    25.76371   2.75773417e+03
    25.69750   2.88688455e+03
    25.63164   2.51547944e+03
    25.56611   2.44495781e+03
    25.50091   2.37802702e+03
    25.43605   2.20567977e+03
    25.37151   2.93857101e+03
    25.30730   2.60797980e+03
    25.24342   2.57117478e+03
    25.17986   2.04759257e+03
    25.11661   2.99121558e+03
    25.05369   3.02026193e+03
    24.99107   2.52251369e+03
    24.92877   2.99217860e+03
    24.86679   2.71994553e+03
    24.80510   2.75189937e+03
    24.74373   2.65409607e+03
    24.68265   2.98661654e+03
    24.62188   2.81798685e+03
    24.56140   3.06740554e+03
    24.50123   2.41143163e+03
    24.44134   3.12704034e+03
    24.38175   2.91888505e+03
    24.32245   2.96552338e+03
    24.26343   2.93250040e+03
    24.20470   3.16150273e+03
    24.14626   3.17048949e+03
    24.08809   2.61593862e+03
    24.03021   3.20376494e+03
    23.97260   3.22382239e+03
    23.91527   3.21305668e+03
    23.85821   2.88172267e+03
    23.80143   2.92384023e+03
    23.74491   3.17557506e+03
    23.68866   2.80454650e+03
    23.63268   3.30590053e+03
    23.57696   2.97218384e+03
    23.52151   2.82903556e+03
    23.46631   3.33198448e+03
    23.41137   3.33118650e+03
    23.35669   3.03674409e+03
    23.30226   3.35949370e+03
    23.24809   3.37628922e+03
    23.19417   3.40770785e+03
    23.14050   2.97438142e+03
    23.08707   3.22906811e+03
    23.03389   3.36370272e+03
    22.98096   3.44946548e+03
    22.92827   3.27214333e+03
    22.87582   3.44834212e+03
    22.82361   3.48754152e+03
    22.77163   3.50421577e+03
    22.71990   3.25176630e+03
    22.66839   3.49359179e+03
    22.61712   3.53616568e+03
    22.56609   3.28969592e+03
    22.51528   3.51835587e+03
    22.46470   3.57673717e+03
    22.41435   3.58879207e+03
    22.36422   3.60083013e+03
    22.31431   3.61299796e+03
    22.26463   3.59825437e+03
    22.21517   3.63333182e+03
    22.16593   3.52279687e+03
    22.11690   3.58405968e+03
    22.06810   3.64342054e+03
    22.01950   3.48683958e+03
    21.97112   3.69762173e+03
    21.92296   3.70645385e+03
    21.87500   3.71853672e+03
    21.82725   3.73387265e+03
    21.77971   3.74601414e+03
    21.73238   3.75810950e+03
    21.68525   3.74736499e+03
    21.63833   3.78230194e+03
    21.59161   3.79438973e+03
    21.54509   3.80649640e+03
    21.49877   3.81859412e+03
    21.45265   3.83069031e+03
    21.40673   3.73507408e+03
    21.36100   3.85095918e+03
    21.31547   3.85486727e+03
    21.27013   3.72757242e+03
    21.22498   3.88133249e+03
    21.18003   3.73364227e+03
    21.13527   3.89601805e+03
    21.09069   3.36143329e+03
    21.04630   3.93952350e+03
    21.00210   3.95151561e+03
    20.95808   3.94862702e+03
    20.91425   3.96809196e+03
    20.87060   3.98786290e+03
    20.82713   4.00001427e+03
    20.78385   4.01206835e+03
    20.74074   4.02417554e+03
    20.69781   4.03625312e+03
    20.65506   4.04832620e+03
    20.61249   4.04710660e+03
    20.57009   3.96136207e+03
    20.52786   4.08275249e+03
    20.48581   4.09322344e+03
    20.44393   3.94123981e+03
    20.40222   3.92757905e+03
    20.36067   3.99167968e+03
    20.31930   3.76991561e+03
    20.27810   4.13311605e+03
    20.23706   3.88908628e+03
    20.19619   3.99698316e+03
    20.15549   4.19308162e+03
    20.11494   4.20513518e+03
    20.07456   4.21718518e+03
    20.03434   4.22923247e+03
    19.99429   4.24127875e+03
    19.95439   4.25325681e+03
    19.91465   4.26533881e+03
    19.87507   4.27740290e+03
    19.83565   4.28942791e+03
    19.79638   4.05044684e+03
    19.75727   4.31351508e+03
    19.71831   4.32555107e+03
    19.67951   4.25462041e+03
    19.64085   4.17793613e+03
    19.60235   4.30662844e+03
    19.56400   3.98266296e+03
    19.52580   4.08463569e+03
    19.48775   4.38770979e+03
    19.44985   4.39662661e+03
    19.41209   3.90075464e+03
    19.37448   4.43377384e+03
    19.33702   4.44576929e+03
    19.29970   4.45778833e+03
    19.26252   4.46099323e+03
    19.22549   4.48181590e+03
    19.18860   4.49382359e+03
    19.15185   4.50582739e+03
    19.11524   4.41488168e+03
    19.07877   4.44528536e+03
    19.04244   4.54182643e+03
    19.00624   4.55376178e+03
    18.97019   4.56581627e+03
    18.93427   4.13679431e+03
    18.89849   4.58338087e+03
    18.86284   4.39749888e+03
    18.82733   4.58932013e+03
    18.79195   4.43050806e+03
    18.75670   4.27794330e+03
    18.72158   4.64677534e+03
    18.68660   4.64542104e+03
    18.65175   3.69963082e+03
    18.61702   4.68538008e+03
    18.58243   4.69737243e+03
    18.54796   4.70932704e+03
    18.51362   4.72134216e+03
    18.47941   4.73332451e+03
    18.44532   4.43116909e+03
    18.41136   4.75728703e+03
    18.37753   4.76925908e+03
    18.34382   4.78125065e+03
    18.31023   4.79323153e+03
    18.27676   4.50624323e+03
    18.24342   4.81719059e+03
    18.21020   4.82918292e+03
    18.17710   4.55534946e+03
    18.14412   4.80783497e+03
    18.11125   4.50076961e+03
    18.07851   4.48650591e+03
    18.04589   4.49300653e+03
    18.01338   4.90110957e+03
    17.98099   4.89689891e+03
    17.94872   4.32015319e+03
    17.91656   4.93709476e+03
    17.88452   4.94909812e+03
    17.85259   4.96109904e+03
    17.82077   4.77028357e+03
    17.78907   4.98511080e+03
    17.75748   4.99712249e+03
    17.72601   5.00911310e+03
    17.69464   5.02114838e+03
    17.66339   4.92732608e+03
    17.63224   4.65261970e+03
    17.60121   5.05721838e+03
    17.57028   5.06924600e+03
    17.53946   4.89130826e+03
    17.50875   4.88674421e+03
    17.47815   4.74725166e+03
    17.44766   5.06941451e+03
    17.41727   4.62450703e+03
    17.38698   5.13776394e+03
    17.35681   5.15355114e+03
    17.32673   5.16562057e+03
    17.29676   4.84219935e+03
    17.26690   4.84145937e+03
    17.23713   4.88817458e+03
    17.20747   5.21391648e+03
    17.17791   5.22601135e+03
    17.14846   5.23810209e+03
    17.11910   5.25018909e+03
    17.08984   5.26228881e+03
    17.06069   4.99080752e+03
    17.03163   5.28653038e+03
    17.00267   5.29865078e+03
    16.97381   5.07072227e+03
    16.94505   5.00019803e+03
    16.91638   5.30996275e+03
    16.88782   5.14519137e+03
    16.85934   5.35963050e+03
    16.83097   5.17213765e+03
    16.80269   5.04985938e+03
    16.77450   5.39296594e+03
    16.74641   5.40831991e+03
    16.71841   5.21760451e+03
    16.69051   5.43270447e+03
    16.66270   4.46304372e+03
    16.63498   5.45711894e+03
    16.60735   5.46933348e+03
    16.57982   5.48156422e+03
    16.55238   5.49379721e+03
    16.52502   5.09910846e+03
    16.49776   5.51828669e+03
    16.47059   5.53054094e+03
    16.44350   5.54280848e+03
    16.41651   5.40216546e+03
    16.38960   5.40263522e+03
    16.36279   5.57964839e+03
    16.33606   5.59193499e+03
    16.30941   5.30319344e+03
    16.28286   5.61646349e+03
    16.25639   5.30206408e+03
    16.23000   5.34280898e+03
    16.20370   5.10747892e+03
    16.17749   5.66588115e+03
    16.15136   5.67823258e+03
    16.12532   5.69058274e+03
    16.09936   5.70133432e+03
    16.07348   5.20737390e+03
    16.04768   5.72771815e+03
    16.02197   5.51024324e+03
    15.99634   5.75248977e+03
    15.97080   5.76491383e+03
    15.94533   5.77733482e+03
    15.91995   5.78975831e+03
    15.89464   5.59506751e+03
    15.86942   5.55978260e+03
    15.84427   5.82707381e+03
    15.81921   5.83953005e+03
    15.79422   5.61971936e+03
    15.76932   5.86441485e+03
    15.74449   5.58355568e+03
    15.71974   5.88941838e+03
    15.69507   5.79912462e+03
    15.67047   5.65675751e+03
    15.64595   5.92691975e+03
    15.62151   5.93942285e+03
    15.59715   5.95195466e+03
    15.57286   5.96447678e+03
    15.54865   5.55343850e+03
    15.52451   5.82077021e+03
    15.50044   6.00210821e+03
    15.47645   6.01466304e+03
    15.45254   6.02722326e+03
    15.42870   6.03979104e+03
    15.40493   6.05236959e+03
    15.38123   6.06495158e+03
    15.35761   6.07753659e+03
    15.33406   5.90983001e+03
    15.31059   6.10273528e+03
    15.28718   6.11534254e+03
    15.26385   6.12795508e+03
    15.24058   6.14057391e+03
    15.21739   6.15319894e+03
    15.19427   6.16582924e+03
    15.17122   6.17845673e+03
    15.14824   6.19110681e+03
    15.12532   6.20375420e+03
    15.10248   6.21640660e+03
    15.07971   6.22906420e+03
    15.05700   6.24172542e+03
    15.03436   5.77342401e+03
    15.01179   6.26706582e+03
    14.98929   6.27974080e+03
    14.96686   6.29241819e+03
    14.94449   6.30510622e+03
    14.92219   6.31779201e+03
    14.89996   6.33048472e+03
    14.87779   6.34318876e+03
    14.85569   6.35589095e+03
    14.83365   6.36859592e+03
    14.81168   6.38130496e+03
    14.78977   6.39401474e+03
    14.76793   6.40673066e+03
    14.74616   6.41944787e+03
    14.72444   6.43216688e+03
    14.70279   6.44488990e+03
    14.68121   6.45761304e+03
    14.65969   6.47034063e+03
    14.63823   6.48306939e+03
    14.61683   6.49580108e+03
    14.59550   6.50853294e+03
    14.57422   6.52067667e+03
    14.55301   6.53341158e+03
    14.53187   6.54614607e+03
    14.51078   6.55887818e+03
    14.48975   6.57162123e+03
    14.46879   6.58436218e+03
    14.44788   6.59710296e+03
    14.42704   6.60983786e+03
    14.40626   6.62258042e+03
    14.38553   6.63532384e+03
    14.36487   6.64806405e+03
    14.34426   6.66080041e+03
    14.32372   6.67353975e+03
    14.30323   6.68628215e+03
    14.28280   6.69901997e+03
    14.26243   6.71175695e+03
    14.24212   6.72449084e+03
    14.22186   6.73722661e+03
    14.20166   6.74994910e+03
    14.18152   6.76268676e+03
    14.16144   6.77541835e+03
    14.14141   6.78814601e+03
    14.12144   6.80087049e+03
    14.10153   6.81359390e+03
    14.08167   6.82631337e+03
    14.06187   6.83903096e+03
    14.04213   6.85174541e+03
    14.02244   6.86445560e+03
    14.00280   6.87716207e+03
    13.98322   6.88986849e+03
    13.96369   6.90256937e+03
    13.94422   6.91526732e+03
    13.92481   6.92796020e+03
    13.90544   6.94064753e+03
    13.88613   6.95333358e+03
    13.86688   6.96601336e+03
    13.84768   6.97868962e+03
    13.82853   6.99136059e+03
    13.80943   7.00402713e+03
    13.79039   7.01668835e+03
    13.77139   7.02934385e+03
    13.75246   7.04199550e+03
    13.73357   7.05464075e+03
    13.71473   7.06728135e+03
    13.69595   7.07991432e+03
    13.67722   7.09254642e+03
    13.65854   7.10517003e+03
    13.63991   7.11778862e+03
    13.62133   7.13040101e+03
    13.60280   7.14300530e+03
    13.58432   7.15560767e+03
    13.56589   7.16820189e+03
    13.54751   7.18078905e+03
    13.52918   7.19337139e+03
    13.51091   7.20594434e+03
    13.49268   7.21851483e+03
    13.47449   7.23107258e+03
    13.45636   7.24363121e+03
    13.43828   7.25617854e+03
    13.42025   7.26871574e+03
    13.40226   7.28125503e+03
    13.38432   7.29378150e+03
    13.36643   7.30630021e+03
    13.34859   7.31881166e+03
    13.33079   7.33131490e+03
    13.31305   7.34380956e+03
    13.29535   7.35629334e+03
    13.27769   7.36877772e+03
    13.26009   7.38124834e+03
    13.24253   7.39371120e+03
    13.22501   7.40616387e+03
    13.20755   7.41861101e+03
    13.19013   7.43104763e+03
    13.17275   7.44347486e+03
    13.15542   7.45589300e+03
    13.13814   7.46830051e+03
    13.12090   7.48070192e+03
    13.10371   7.49309257e+03
    13.08656   7.50547374e+03
    13.06945   7.51784546e+03
    13.05240   7.53020800e+03
    13.03538   7.54255694e+03
    13.01841   7.55490489e+03
    13.00149   7.56723972e+03
    12.98460   7.57956415e+03
    12.96777   7.59188054e+03
    12.95097   7.60418715e+03
    12.93422   7.61648447e+03
    12.91751   7.62877212e+03
    12.90085   7.64105026e+03
    12.88423   7.65331982e+03
    12.86765   7.66557886e+03
    12.85111   7.67782982e+03
    12.83462   7.69007068e+03
    12.81817   7.70230253e+03
    12.80176   7.71452531e+03
    12.78539   7.72673820e+03
    12.76906   7.73894175e+03
    12.75278   7.75113441e+03
    12.73654   7.76331955e+03
    12.72033   7.77549478e+03
    12.70417   7.78765962e+03
    12.68806   7.79981438e+03
    12.67198   7.81196058e+03
    12.65594   7.82409601e+03
    12.63994   7.83622146e+03
    12.62399   7.84833688e+03
    12.60807   7.86044252e+03
    12.59219   7.87253507e+03
    12.57636   7.88462303e+03
    12.56056   7.89669686e+03
    12.54480   7.90876182e+03
    12.52909   7.92081595e+03
    12.51341   7.93285548e+03
    12.49777   7.94489322e+03
    12.48217   7.95691579e+03
    12.46661   7.96892775e+03
    12.45109   7.98092568e+03
    12.43560   7.99291961e+03
    12.42016   8.00489960e+03
