# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.54566522e+03
    27.92182   2.55714270e+03
    27.84407   2.56876265e+03
    27.76676   2.58033235e+03
    27.68987   2.59190612e+03
    27.61341   2.60349158e+03
    27.53737   2.61508713e+03
    27.46175   2.62669425e+03
    27.38654   2.63831199e+03
    27.31174   2.64993895e+03
    27.23735   2.66157780e+03
    27.16337   2.67322107e+03
    27.08978   2.68486760e+03
    27.01660   2.69654599e+03
    26.94380   2.70822856e+03
    26.87140   2.71991887e+03
    26.79939   2.73160465e+03
    26.72776   2.74306014e+03
    26.65651   2.75499294e+03
    26.58564   2.76657711e+03
    26.51515   2.77849361e+03
    26.44503   2.79024530e+03
    26.37528   2.80200171e+03
    26.30590   2.81376402e+03
    26.23688   2.82552838e+03
    26.16822   2.83731335e+03
    26.09993   2.84910214e+03
    26.03198   2.86085466e+03
    25.96439   2.87269422e+03
    25.89715   2.88453578e+03
    25.83026   2.89635736e+03
    25.76371   2.90818722e+03
    25.69750   2.92002086e+03
    25.63164   2.93185974e+03
    25.56611   2.94371366e+03
    25.50091   2.95557946e+03
    25.43605   2.96744638e+03
    25.37151   2.97907187e+03
    25.30730   2.99119571e+03
    25.24342   3.00308073e+03
    25.17986   3.01494087e+03
    25.11661   3.02677883e+03
    25.05369   3.03858661e+03
    24.99107   3.05065022e+03
    24.92877   3.06260376e+03
    24.86679   3.07454936e+03
    24.80510   3.08648070e+03
    24.74373   3.09841535e+03
    24.68265   3.11035976e+03
    24.62188   3.12230885e+03
    24.56140   3.13426269e+03
    24.50123   3.14621979e+03
    24.44134   3.15818860e+03
    24.38175   3.17016127e+03
    24.32245   3.18213588e+03
    24.26343   3.19411629e+03
    24.20470   3.20610227e+03
    24.14626   3.21809156e+03
    24.08809   3.23008358e+03
    24.03021   3.24208505e+03
    23.97260   3.25408519e+03
    23.91527   3.26598923e+03
    23.85821   3.27791267e+03
    23.80143   3.29010045e+03
    23.74491   3.30213169e+03
    23.68866   3.31416554e+03
    23.63268   3.32604035e+03
    23.57696   3.33821549e+03
    23.52151   3.35016693e+03
    23.46631   3.36229179e+03
    23.41137   3.37433124e+03
    23.35669   3.38637246e+03
    23.30226   3.39841723e+03
    23.24809   3.41046398e+03
    23.19417   3.42251318e+03
    23.14050   3.43456568e+03
    23.08707   3.44654740e+03
    23.03389   3.45860488e+03
    22.98096   3.47061757e+03
    22.92827   3.48255496e+03
    22.87582   3.49478749e+03
    22.82361   3.50685102e+03
    22.77163   3.51891534e+03
    22.71990   3.53098004e+03
    22.66839   3.54304566e+03
    22.61712   3.55510756e+03
    22.56609   3.56718038e+03
    22.51528   3.57910504e+03
    22.46470   3.59131461e+03
    22.41435   3.60335004e+03
    22.36422   3.61536584e+03
    22.31431   3.62752189e+03
    22.26463   3.63958920e+03
    22.21517   3.65164879e+03
    22.16593   3.66372891e+03
    22.11690   3.67578167e+03
    22.06810   3.68783186e+03
    22.01950   3.69993392e+03
    21.97112   3.71198757e+03
    21.92296   3.72407039e+03
    21.87500   3.73613542e+03
    21.82725   3.74815310e+03
    21.77971   3.76027049e+03
    21.73238   3.77233577e+03
    21.68525   3.78427635e+03
    21.63833   3.79646514e+03
    21.59161   3.80851943e+03
    21.54509   3.82059269e+03
    21.49877   3.83265548e+03
    21.45265   3.84471567e+03
    21.40673   3.85677413e+03
    21.36100   3.86873165e+03
    21.31547   3.88083624e+03
    21.27013   3.89292398e+03
    21.22498   3.90498630e+03
    21.18003   3.91703433e+03
    21.13527   3.92907859e+03
    21.09069   3.94113202e+03
    21.04630   3.95317942e+03
    21.00210   3.96511777e+03
    20.95808   3.97725976e+03
    20.91425   3.98929479e+03
    20.87060   4.00132803e+03
    20.82713   4.01335782e+03
    20.78385   4.02527163e+03
    20.74074   4.03732506e+03
    20.69781   4.04934564e+03
    20.65506   4.06136035e+03
    20.61249   4.07337795e+03
    20.57009   4.08530169e+03
    20.52786   4.09739733e+03
    20.48581   4.10939556e+03
    20.44393   4.12139457e+03
    20.40222   4.13340454e+03
    20.36067   4.14535158e+03
    20.31930   4.15737199e+03
    20.27810   4.16938505e+03
    20.23706   4.18134043e+03
    20.19619   4.19335334e+03
    20.15549   4.20533691e+03
    20.11494   4.21731886e+03
    20.07456   4.22929610e+03
    20.03434   4.24126954e+03
    19.99429   4.25324095e+03
    19.95439   4.26513815e+03
    19.91465   4.27714541e+03
    19.87507   4.28913416e+03
    19.83565   4.30107902e+03
    19.79638   4.31305693e+03
    19.75727   4.32501214e+03
    19.71831   4.33696047e+03
    19.67951   4.34889524e+03
    19.64085   4.36085978e+03
    19.60235   4.37273848e+03
    19.56400   4.38474429e+03
    19.52580   4.39668215e+03
    19.48775   4.40861265e+03
    19.44985   4.42049250e+03
    19.41209   4.43242953e+03
    19.37448   4.44440415e+03
    19.33702   4.45630648e+03
    19.29970   4.46823442e+03
    19.26252   4.48013820e+03
    19.22549   4.49207635e+03
    19.18860   4.50398962e+03
    19.15185   4.51589806e+03
    19.11524   4.52779973e+03
    19.07877   4.53970614e+03
    19.04244   4.55160623e+03
    19.00624   4.56343820e+03
    18.97019   4.57539870e+03
    18.93427   4.58728884e+03
    18.89849   4.59918258e+03
    18.86284   4.61107176e+03
    18.82733   4.62295845e+03
    18.79195   4.63484301e+03
    18.75670   4.64672123e+03
    18.72158   4.65857167e+03
    18.68660   4.67055453e+03
    18.65175   4.68243410e+03
    18.61702   4.69429810e+03
    18.58243   4.70618858e+03
    18.54796   4.71803827e+03
    18.51362   4.72995198e+03
    18.47941   4.74183015e+03
    18.44532   4.75370747e+03
    18.41136   4.76558285e+03
    18.37753   4.77744848e+03
