# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.51709812e+03
    27.92182   2.52432860e+03
    27.84407   2.53579787e+03
    27.76676   2.54610615e+03
    27.68987   2.55711028e+03
    27.61341   2.56995329e+03
    27.53737   2.58084142e+03
    27.46175   2.59262840e+03
    27.38654   2.60355242e+03
    27.31174   2.59910758e+03
    27.23735   2.62582929e+03
    27.16337   2.63948457e+03
    27.08978   2.64854381e+03
    27.01660   2.65626926e+03
    26.94380   2.66117275e+03
    26.87140   2.67509458e+03
    26.79939   2.69038227e+03
    26.72776   2.70657269e+03
    26.65651   2.71360134e+03
    26.58564   2.72807681e+03
    26.51515   2.73256277e+03
    26.44503   2.74797137e+03
    26.37528   2.76097283e+03
    26.30590   2.71656979e+03
    26.23688   2.78244715e+03
    26.16822   2.79292292e+03
    26.09993   2.80303292e+03
    26.03198   2.80735572e+03
    25.96439   2.79526817e+03
    25.89715   2.81885598e+03
    25.83026   2.82849126e+03
    25.76371   2.83931406e+03
    25.69750   2.85924303e+03
    25.63164   2.86429728e+03
    25.56611   2.87689554e+03
    25.50091   2.89067645e+03
    25.43605   2.87253841e+03
    25.37151   2.90511239e+03
    25.30730   2.93004141e+03
    25.24342   2.94001803e+03
    25.17986   2.94694705e+03
    25.11661   2.96148102e+03
    25.05369   2.97242617e+03
    24.99107   2.97271580e+03
    24.92877   2.97722912e+03
    24.86679   3.00046398e+03
    24.80510   3.00619345e+03
    24.74373   3.01620951e+03
    24.68265   3.02322809e+03
    24.62188   3.02939544e+03
    24.56140   3.04177225e+03
    24.50123   3.00168131e+03
    24.44134   3.04582100e+03
    24.38175   3.05624191e+03
    24.32245   3.07680334e+03
    24.26343   3.07985199e+03
    24.20470   3.11286492e+03
    24.14626   3.10565087e+03
    24.08809   3.11368976e+03
    24.03021   3.13743276e+03
    23.97260   3.10287079e+03
    23.91527   3.11012620e+03
    23.85821   3.12760777e+03
    23.80143   3.05792327e+03
    23.74491   3.06017820e+03
    23.68866   3.14039472e+03
    23.63268   3.14595685e+03
    23.57696   3.16667889e+03
    23.52151   3.20792075e+03
    23.46631   3.20940366e+03
    23.41137   3.20631284e+03
    23.35669   3.22873568e+03
    23.30226   3.22098487e+03
    23.24809   3.24131626e+03
    23.19417   3.23139104e+03
    23.14050   3.18961467e+03
    23.08707   3.20744843e+03
    23.03389   3.27923915e+03
    22.98096   3.20758843e+03
    22.92827   3.17841527e+03
    22.87582   3.22493809e+03
    22.82361   3.25121734e+03
    22.77163   3.19265141e+03
    22.71990   3.21300093e+03
    22.66839   3.24270441e+03
    22.61712   3.25293065e+03
    22.56609   3.23590128e+03
    22.51528   3.33585090e+03
    22.46470   3.28316812e+03
    22.41435   3.31166496e+03
    22.36422   3.37589861e+03
    22.31431   3.32383380e+03
    22.26463   3.31796755e+03
    22.21517   3.39155467e+03
    22.16593   3.36374308e+03
    22.11690   3.33190943e+03
    22.06810   3.27847526e+03
    22.01950   3.16745712e+03
    21.97112   3.41749105e+03
    21.92296   3.25005737e+03
    21.87500   3.20952020e+03
    21.82725   3.30622062e+03
    21.77971   3.29407031e+03
    21.73238   3.26464352e+03
    21.68525   3.32163544e+03
    21.63833   3.36926590e+03
    21.59161   3.34639272e+03
    21.54509   3.40305131e+03
    21.49877   3.44937780e+03
    21.45265   3.36266000e+03
    21.40673   3.38175076e+03
    21.36100   3.44702219e+03
    21.31547   3.42898915e+03
    21.27013   3.29127269e+03
    21.22498   3.01871846e+03
    21.18003   3.42715383e+03
    21.13527   3.40223056e+03
    21.09069   3.46049494e+03
    21.04630   3.38796739e+03
    21.00210   3.38673755e+03
    20.95808   3.46448492e+03
    20.91425   3.47655599e+03
    20.87060   3.38607226e+03
    20.82713   3.17226172e+03
    20.78385   3.20429197e+03
    20.74074   3.32199374e+03
    20.69781   3.24819516e+03
    20.65506   3.26921361e+03
    20.61249   3.34139188e+03
    20.57009   3.43346828e+03
    20.52786   3.34497978e+03
    20.48581   3.39723994e+03
    20.44393   3.39542398e+03
    20.40222   3.46584691e+03
    20.36067   3.40914894e+03
    20.31930   3.38715989e+03
    20.27810   3.41041314e+03
    20.23706   3.43035899e+03
