# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   8.77284239e+02
    27.92182   9.71007782e+02
    27.84407   8.78076270e+02
    27.76676   8.71878960e+02
    27.68987   8.74198266e+02
    27.61341   8.78784308e+02
    27.53737   8.80959547e+02
    27.46175   8.86677875e+02
    27.38654   8.90707116e+02
    27.31174   8.98936282e+02
    27.23735   8.95623517e+02
    27.16337   9.05549758e+02
    27.08978   9.27833927e+02
    27.01660   9.14720775e+02
    26.94380   9.13650275e+02
    26.87140   9.10671540e+02
    26.79939   9.38489627e+02
    26.72776   1.23572558e+03
    26.65651   9.95671561e+02
    26.58564   1.17753450e+03
    26.51515   9.43807329e+02
    26.44503   9.34399355e+02
    26.37528   9.50758099e+02
    26.30590   9.44435024e+02
    26.23688   9.49925906e+02
    26.16822   9.42775634e+02
    26.09993   9.44876543e+02
    26.03198   1.01924850e+03
    25.96439   9.65313889e+02
    25.89715   9.55955617e+02
    25.83026   9.71562812e+02
    25.76371   9.93251845e+02
    25.69750   9.70288838e+02
    25.63164   9.85961900e+02
    25.56611   9.85400948e+02
    25.50091   9.74638288e+02
    25.43605   9.77296219e+02
    25.37151   1.30178992e+03
    25.30730   9.92795486e+02
    25.24342   9.98328393e+02
    25.17986   1.05281942e+03
    25.11661   1.14987413e+03
    25.05369   1.27305361e+03
    24.99107   1.08390282e+03
    24.92877   1.03886732e+03
    24.86679   1.15414074e+03
    24.80510   1.02322586e+03
    24.74373   1.01746341e+03
    24.68265   1.02035188e+03
    24.62188   1.02369369e+03
    24.56140   1.02777933e+03
    24.50123   1.03833628e+03
    24.44134   1.03160577e+03
    24.38175   1.06621802e+03
    24.32245   1.04040938e+03
    24.26343   1.03811207e+03
    24.20470   1.10086243e+03
    24.14626   1.04544480e+03
    24.08809   1.05214496e+03
    24.03021   1.05013559e+03
    23.97260   1.05307390e+03
    23.91527   1.22381139e+03
    23.85821   1.34327196e+03
    23.80143   1.09806670e+03
    23.74491   1.08646125e+03
    23.68866   1.06796482e+03
    23.63268   1.30311877e+03
    23.57696   1.08973748e+03
    23.52151   1.22867650e+03
    23.46631   1.08003166e+03
    23.41137   1.08994965e+03
    23.35669   1.09687841e+03
    23.30226   1.09024377e+03
    23.24809   1.09550660e+03
    23.19417   1.09722781e+03
    23.14050   1.09995930e+03
    23.08707   1.14142984e+03
    23.03389   1.10468452e+03
    22.98096   1.19238080e+03
    22.92827   1.37941985e+03
    22.87582   1.13519144e+03
    22.82361   1.11745292e+03
    22.77163   1.11994106e+03
    22.71990   1.12947330e+03
    22.66839   1.12855214e+03
    22.61712   1.14161603e+03
    22.56609   1.13220167e+03
    22.51528   1.36832435e+03
    22.46470   1.14081389e+03
    22.41435   1.20558290e+03
    22.36422   1.29547861e+03
    22.31431   1.16696774e+03
    22.26463   1.15287044e+03
    22.21517   1.17643459e+03
    22.16593   1.40575133e+03
    22.11690   1.18825399e+03
    22.06810   1.22145963e+03
    22.01950   1.16865882e+03
    21.97112   1.19915472e+03
    21.92296   1.17233988e+03
    21.87500   1.17647678e+03
    21.82725   1.26685715e+03
    21.77971   1.18450380e+03
    21.73238   1.18672250e+03
    21.68525   1.40541599e+03
    21.63833   1.19827389e+03
    21.59161   1.21814244e+03
    21.54509   1.19760125e+03
    21.49877   1.19683049e+03
    21.45265   1.19971330e+03
    21.40673   1.20236926e+03
    21.36100   1.38711107e+03
    21.31547   1.30536135e+03
    21.27013   1.24473426e+03
    21.22498   1.23022567e+03
    21.18003   1.23359607e+03
    21.13527   1.24240044e+03
    21.09069   1.23572850e+03
    21.04630   1.23030054e+03
    21.00210   1.42398187e+03
    20.95808   1.27281461e+03
    20.91425   1.24300282e+03
    20.87060   1.23722163e+03
    20.82713   1.24511474e+03
    20.78385   1.30215523e+03
    20.74074   1.25971135e+03
    20.69781   1.24930645e+03
    20.65506   1.25553778e+03
    20.61249   1.31710337e+03
    20.57009   1.42610732e+03
    20.52786   1.26104638e+03
    20.48581   1.28081221e+03
    20.44393   1.28683003e+03
    20.40222   1.27893926e+03
    20.36067   1.37088555e+03
    20.31930   1.31808474e+03
    20.27810   1.27623090e+03
    20.23706   1.34726998e+03
    20.19619   1.29329335e+03
    20.15549   1.29297595e+03
    20.11494   1.29162495e+03
    20.07456   1.29279772e+03
    20.03434   1.29467239e+03
    19.99429   1.29490888e+03
    19.95439   1.44698905e+03
    19.91465   1.35601469e+03
    19.87507   1.31656452e+03
    19.83565   1.34749405e+03
    19.79638   1.31042555e+03
    19.75727   1.80808987e+03
    19.71831   1.31975032e+03
    19.67951   1.35751931e+03
    19.64085   1.48829450e+03
    19.60235   1.45923294e+03
    19.56400   1.32717981e+03
    19.52580   1.32687458e+03
    19.48775   1.34194585e+03
    19.44985   1.45813160e+03
    19.41209   1.44299709e+03
    19.37448   1.33793324e+03
    19.33702   1.37853571e+03
    19.29970   1.36945443e+03
    19.26252   1.39776375e+03
    19.22549   1.35410482e+03
    19.18860   1.70302669e+03
    19.15185   1.64480058e+03
    19.11524   1.36437293e+03
    19.07877   1.36251420e+03
    19.04244   1.36376754e+03
    19.00624   1.50419247e+03
    18.97019   1.36737415e+03
    18.93427   1.37918721e+03
    18.89849   1.37210724e+03
    18.86284   1.87500049e+03
    18.82733   1.52334426e+03
    18.79195   1.38112257e+03
    18.75670   1.39524695e+03
    18.72158   1.47055785e+03
    18.68660   1.38694992e+03
    18.65175   1.39444455e+03
    18.61702   1.44110083e+03
    18.58243   1.41858773e+03
    18.54796   1.49217113e+03
    18.51362   1.40958171e+03
    18.47941   1.40555470e+03
    18.44532   1.42078975e+03
    18.41136   1.41370915e+03
    18.37753   1.43722559e+03
    18.34382   1.41119314e+03
    18.31023   1.41644753e+03
    18.27676   1.45662666e+03
    18.24342   1.43094262e+03
    18.21020   1.44710147e+03
    18.17710   1.51345147e+03
    18.14412   1.50252161e+03
    18.11125   1.42816402e+03
    18.07851   1.44001804e+03
    18.04589   1.45599266e+03
    18.01338   1.43657602e+03
    17.98099   2.12789852e+03
    17.94872   1.50691679e+03
    17.91656   1.45097991e+03
    17.88452   1.58281832e+03
    17.85259   1.44782693e+03
    17.82077   1.47895755e+03
    17.78907   1.46432847e+03
    17.75748   1.45331116e+03
    17.72601   1.52174326e+03
    17.69464   1.47135588e+03
    17.66339   1.93016888e+03
    17.63224   1.46809534e+03
    17.60121   1.50024560e+03
    17.57028   1.47263354e+03
