# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.51959172e+03
    27.92182   2.53094264e+03
    27.84407   2.54243449e+03
    27.76676   2.55387652e+03
    27.68987   2.56532249e+03
    27.61341   2.57677993e+03
    27.53737   2.58824727e+03
    27.46175   2.59972595e+03
    27.38654   2.61121505e+03
    27.31174   2.62271319e+03
    27.23735   2.63422298e+03
    27.16337   2.64573705e+03
    27.08978   2.65725427e+03
    27.01660   2.66880292e+03
    26.94380   2.68035556e+03
    26.87140   2.69191581e+03
    26.79939   2.70347148e+03
    26.72776   2.71479936e+03
    26.65651   2.72659905e+03
    26.58564   2.73805392e+03
    26.51515   2.74983736e+03
    26.44503   2.76140612e+03
    26.37528   2.77303311e+03
    26.30590   2.78466582e+03
    26.23688   2.79630042e+03
    26.16822   2.80795531e+03
    26.09993   2.81961384e+03
    26.03198   2.83123639e+03
    25.96439   2.84294491e+03
    25.89715   2.85463484e+03
    25.83026   2.86632440e+03
    25.76371   2.87802209e+03
    25.69750   2.88972347e+03
    25.63164   2.90143001e+03
    25.56611   2.91315134e+03
    25.50091   2.92488433e+03
    25.43605   2.93661841e+03
    25.37151   2.94811383e+03
    25.30730   2.96010175e+03
    25.24342   2.97185360e+03
    25.17986   2.98358087e+03
    25.11661   2.99528598e+03
    25.05369   3.00696142e+03
    24.99107   3.01888959e+03
    24.92877   3.03070893e+03
    24.86679   3.04252038e+03
    24.80510   3.05431771e+03
    24.74373   3.06611828e+03
    24.68265   3.07792843e+03
    24.62188   3.08974316e+03
    24.56140   3.10156255e+03
    24.50123   3.11338513e+03
    24.44134   3.12521917e+03
    24.38175   3.13705700e+03
    24.32245   3.14889671e+03
    24.26343   3.16074208e+03
    24.20470   3.17259290e+03
    24.14626   3.18444696e+03
    24.08809   3.19630364e+03
    24.03021   3.20816959e+03
    23.97260   3.22003419e+03
    23.91527   3.23180376e+03
    23.85821   3.24359245e+03
    23.80143   3.25564223e+03
    23.74491   3.26753725e+03
    23.68866   3.27936153e+03
    23.63268   3.29110190e+03
    23.57696   3.30313873e+03
    23.52151   3.31495453e+03
    23.46631   3.32694140e+03
    23.41137   3.33884382e+03
    23.35669   3.35074787e+03
    23.30226   3.36265526e+03
    23.24809   3.37456450e+03
    23.19417   3.38647599e+03
    23.14050   3.39839062e+03
    23.08707   3.41030661e+03
    23.03389   3.42222349e+03
    22.98096   3.43409602e+03
    22.92827   3.44589408e+03
    22.87582   3.45798349e+03
    22.82361   3.46990587e+03
    22.77163   3.48182892e+03
    22.71990   3.49375223e+03
    22.66839   3.50567632e+03
    22.61712   3.51759663e+03
    22.56609   3.52952756e+03
    22.51528   3.54131211e+03
    22.46470   3.55337788e+03
    22.41435   3.56527160e+03
    22.36422   3.57714584e+03
    22.31431   3.58915846e+03
    22.26463   3.60108339e+03
    22.21517   3.61300062e+03
    22.16593   3.62493799e+03
    22.11690   3.63684831e+03
    22.06810   3.64875604e+03
    22.01950   3.66071489e+03
    21.97112   3.67262589e+03
    21.92296   3.68456561e+03
    21.87500   3.69648775e+03
    21.82725   3.70836313e+03
    21.77971   3.72033680e+03
    21.73238   3.73225902e+03
    21.68525   3.74405818e+03
    21.63833   3.75610219e+03
    21.59161   3.76801348e+03
    21.54509   3.77994337e+03
    21.49877   3.79186289e+03
    21.45265   3.80377978e+03
    21.40673   3.81569490e+03
    21.36100   3.82751037e+03
    21.31547   3.83947083e+03
    21.27013   3.85147966e+03
    21.22498   3.86340181e+03
    21.18003   3.87530972e+03
    21.13527   3.88721376e+03
    21.09069   3.89912670e+03
    21.04630   3.91103350e+03
    21.00210   3.92283265e+03
    20.95808   3.93483240e+03
    20.91425   3.94672653e+03
    20.87060   3.95861871e+03
    20.82713   3.97050732e+03
    20.78385   3.98236331e+03
    20.74074   3.99427482e+03
    20.69781   4.00615380e+03
    20.65506   4.01802690e+03
    20.61249   4.02990273e+03
    20.57009   4.04168593e+03
    20.52786   4.05363848e+03
    20.48581   4.06549494e+03
    20.44393   4.07735200e+03
    20.40222   4.08921981e+03
    20.36067   4.10102549e+03
    20.31930   4.11290344e+03
    20.27810   4.12477400e+03
    20.23706   4.13658767e+03
    20.19619   4.14845795e+03
    20.15549   4.16029924e+03
    20.11494   4.17213883e+03
    20.07456   4.18397373e+03
    20.03434   4.19580482e+03
    19.99429   4.20763383e+03
    19.95439   4.21938970e+03
    19.91465   4.23125390e+03
    19.87507   4.24309981e+03
    19.83565   4.25490237e+03
    19.79638   4.26673746e+03
    19.75727   4.27855008e+03
    19.71831   4.29035586e+03
    19.67951   4.30214821e+03
    19.64085   4.31396977e+03
    19.60235   4.32570673e+03
    19.56400   4.33756876e+03
    19.52580   4.34936379e+03
    19.48775   4.36115150e+03
    19.44985   4.37288798e+03
    19.41209   4.38468312e+03
    19.37448   4.39651392e+03
    19.33702   4.40827347e+03
    19.29970   4.42005639e+03
    19.26252   4.43181889e+03
    19.22549   4.44361337e+03
    19.18860   4.45538324e+03
    19.15185   4.46686872e+03
    19.11524   4.47862906e+03
    19.07877   4.49039144e+03
    19.04244   4.50214747e+03
    19.00624   4.51383288e+03
    18.97019   4.52565148e+03
    18.93427   4.53739730e+03
    18.89849   4.54914648e+03
    18.86284   4.56088622e+03
    18.82733   4.57263308e+03
    18.79195   4.58437286e+03
    18.75670   4.59610629e+03
    18.72158   4.60780551e+03
    18.68660   4.61958321e+03
    18.65175   4.63131405e+03
    18.61702   4.64302953e+03
    18.58243   4.65476160e+03
    18.54796   4.66647216e+03
    18.51362   4.67823632e+03
    18.47941   4.68996542e+03
    18.44532   4.70168079e+03
    18.41136   4.71341971e+03
    18.37753   4.72513640e+03
    18.34382   4.73687292e+03
    18.31023   4.74857996e+03
    18.27676   4.76032560e+03
    18.24342   4.77204537e+03
    18.21020   4.78377863e+03
    18.17710   4.79544590e+03
    18.14412   4.80720412e+03
    18.11125   4.81896245e+03
    18.07851   4.83068380e+03
    18.04589   4.84167241e+03
    18.01338   4.85415319e+03
    17.98099   4.86485306e+03
    17.94872   4.87747156e+03
    17.91656   4.88931350e+03
    17.88452   4.89869808e+03
    17.85259   4.91284136e+03
    17.82077   4.92455995e+03
    17.78907   4.93336116e+03
    17.75748   4.94808182e+03
    17.72601   4.95782313e+03
    17.69464   4.96845357e+03
    17.66339   4.98261585e+03
    17.63224   4.99268127e+03
    17.60121   5.00308477e+03
    17.57028   5.01764975e+03
    17.53946   5.02738990e+03
    17.50875   5.03786547e+03
    17.47815   5.05191957e+03
