# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   1.05553503e+03
    27.92182   8.75560701e+02
    27.84407   8.84513504e+02
    27.76676   9.02026262e+02
    27.68987   8.90498806e+02
    27.61341   9.12947855e+02
    27.53737   9.09177966e+02
    27.46175   8.95907511e+02
    27.38654   9.32778284e+02
    27.31174   9.10665588e+02
    27.23735   9.29289119e+02
    27.16337   9.16440526e+02
    27.08978   9.12879119e+02
    27.01660   1.17236412e+03
    26.94380   9.22714884e+02
    26.87140   9.32784575e+02
    26.79939   9.49613860e+02
    26.72776   9.98673300e+02
    26.65651   9.33321314e+02
    26.58564   9.71509546e+02
    26.51515   9.86970623e+02
    26.44503   9.76710287e+02
    26.37528   1.02059776e+03
    26.30590   1.01542179e+03
    26.23688   9.74156724e+02
    26.16822   1.03267710e+03
    26.09993   1.00378639e+03
    26.03198   1.04222875e+03
    25.96439   9.85418823e+02
    25.89715   9.79534561e+02
    25.83026   1.62715111e+03
    25.76371   1.00109812e+03
    25.69750   2.09461510e+03
    25.63164   9.94408616e+02
    25.56611   1.05789648e+03
    25.50091   9.98867405e+02
    25.43605   1.10741845e+03
    25.37151   1.27621324e+03
    25.30730   1.02179671e+03
    25.24342   1.12865412e+03
    25.17986   1.20670526e+03
    25.11661   1.07414545e+03
    25.05369   1.15498168e+03
    24.99107   1.27280106e+03
    24.92877   1.07228285e+03
    24.86679   1.07043843e+03
    24.80510   1.22263879e+03
    24.74373   1.20006045e+03
    24.68265   1.08669736e+03
    24.62188   1.16704688e+03
    24.56140   1.09180180e+03
    24.50123   1.10213823e+03
    24.44134   1.08243894e+03
    24.38175   1.40752125e+03
    24.32245   1.11448942e+03
    24.26343   1.54040967e+03
    24.20470   1.53871973e+03
    24.14626   1.17031678e+03
    24.08809   1.13516346e+03
    24.03021   1.71555811e+03
    23.97260   1.14273773e+03
    23.91527   1.12469991e+03
    23.85821   1.39154575e+03
    23.80143   1.34672189e+03
    23.74491   3.18226852e+03
    23.68866   1.29499566e+03
