# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.26294608e+03
    27.92182   2.24938748e+03
    27.84407   2.49166972e+03
    27.76676   2.55051071e+03
    27.68987   1.68878688e+03
    27.61341   2.43899030e+03
    27.53737   2.49590641e+03
    27.46175   2.15596371e+03
    27.38654   1.91630285e+03
    27.31174   2.13070763e+03
    27.23735   1.98275981e+03
    27.16337   2.43298484e+03
    27.08978   2.22484268e+03
    27.01660   2.58194104e+03
    26.94380   2.68153952e+03
    26.87140   2.54752680e+03
    26.79939   2.12670341e+03
    26.72776   2.16803197e+03
    26.65651   2.55307670e+03
    26.58564   2.59784079e+03
    26.51515   2.71488754e+03
    26.44503   2.62872467e+03
    26.37528   1.87433227e+03
    26.30590   2.22813124e+03
    26.23688   2.42716782e+03
    26.16822   2.74437660e+03
    26.09993   2.31553679e+03
    26.03198   2.74291313e+03
    25.96439   2.16082629e+03
    25.89715   2.53114497e+03
    25.83026   2.87359577e+03
    25.76371   2.77896957e+03
    25.69750   2.89380461e+03
    25.63164   2.55154211e+03
    25.56611   2.49755288e+03
    25.50091   2.43615458e+03
    25.43605   2.30682999e+03
    25.37151   2.94638713e+03
    25.30730   2.63324279e+03
    25.24342   2.61435227e+03
    25.17986   2.18780004e+03
    25.11661   2.99792416e+03
    25.05369   3.01966464e+03
    24.99107   2.57438757e+03
    24.92877   3.00229984e+03
    24.86679   2.73973569e+03
    24.80510   2.76774648e+03
    24.74373   2.69448723e+03
    24.68265   3.00330908e+03
    24.62188   2.82332286e+03
    24.56140   3.07603995e+03
    24.50123   2.50748650e+03
    24.44134   3.13337992e+03
    24.38175   2.91713629e+03
    24.32245   2.97163889e+03
    24.26343   2.93816445e+03
    24.20470   3.16859327e+03
    24.14626   3.17871569e+03
    24.08809   2.68277232e+03
    24.03021   3.20992639e+03
    23.97260   3.22953616e+03
    23.91527   3.21993467e+03
    23.85821   2.90373972e+03
    23.80143   2.93921959e+03
    23.74491   3.17479731e+03
    23.68866   2.85093025e+03
    23.63268   3.31114536e+03
    23.57696   2.98491167e+03
    23.52151   2.87046378e+03
    23.46631   3.33765907e+03
    23.41137   3.33730612e+03
    23.35669   3.04672126e+03
    23.30226   3.36553651e+03
    23.24809   3.38285795e+03
    23.19417   3.41279029e+03
    23.14050   3.01158196e+03
    23.08707   3.22208258e+03
    23.03389   3.38290419e+03
    22.98096   3.45540131e+03
    22.92827   3.26667464e+03
    22.87582   3.45543272e+03
    22.82361   3.49219623e+03
    22.77163   3.50920266e+03
    22.71990   3.25564200e+03
    22.66839   3.49902442e+03
    22.61712   3.53558019e+03
    22.56609   3.28882938e+03
    22.51528   3.52741420e+03
    22.46470   3.58170546e+03
    22.41435   3.59374968e+03
    22.36422   3.60577860e+03
    22.31431   3.61793285e+03
    22.26463   3.60754442e+03
    22.21517   3.63846862e+03
    22.16593   3.54918576e+03
    22.11690   3.60187114e+03
    22.06810   3.65059942e+03
    22.01950   3.52574465e+03
    21.97112   3.70246498e+03
    21.92296   3.71175735e+03
    21.87500   3.72378760e+03
    21.82725   3.73863542e+03
    21.77971   3.75075733e+03
    21.73238   3.76283774e+03
    21.68525   3.75362143e+03
    21.63833   3.78699863e+03
    21.59161   3.79906907e+03
    21.54509   3.81115977e+03
    21.49877   3.82324032e+03
    21.45265   3.83531865e+03
    21.40673   3.75662309e+03
    21.36100   3.85604581e+03
