# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.54085778e+03
    27.92182   2.55234424e+03
    27.84407   2.56395405e+03
    27.76676   2.57552535e+03
    27.68987   2.58710066e+03
    27.61341   2.59868807e+03
    27.53737   2.61028591e+03
    27.46175   2.62187677e+03
    27.38654   2.63349830e+03
    27.31174   2.64512899e+03
    27.23735   2.65677214e+03
    27.16337   2.66841995e+03
    27.08978   2.68007320e+03
    27.01660   2.69175634e+03
    26.94380   2.70344225e+03
    26.87140   2.71513823e+03
    26.79939   2.72682890e+03
    26.72776   2.73833479e+03
    26.65651   2.75023824e+03
    26.58564   2.76184825e+03
    26.51515   2.77374509e+03
    26.44503   2.78550393e+03
    26.37528   2.79726792e+03
    26.30590   2.80903812e+03
    26.23688   2.82081097e+03
    26.16822   2.83260413e+03
    26.09993   2.84440174e+03
    26.03198   2.85616816e+03
    25.96439   2.86801428e+03
    25.89715   2.87984290e+03
    25.83026   2.89167365e+03
    25.76371   2.90351309e+03
    25.69750   2.91535661e+03
    25.63164   2.92720510e+03
    25.56611   2.93906981e+03
    25.50091   2.95094752e+03
    25.43605   2.96282600e+03
    25.37151   2.97450216e+03
    25.30730   2.98659954e+03
    25.24342   2.99846486e+03
    25.17986   3.01034555e+03
    25.11661   3.02220583e+03
    25.05369   3.03404462e+03
    24.99107   3.04610046e+03
    24.92877   3.05806159e+03
    24.86679   3.07002349e+03
    24.80510   3.08197159e+03
    24.74373   3.09392329e+03
    24.68265   3.10588555e+03
    24.62188   3.11785248e+03
    24.56140   3.12982476e+03
    24.50123   3.14180041e+03
    24.44134   3.15378938e+03
    24.38175   3.16578191e+03
    24.32245   3.17777672e+03
    24.26343   3.18977807e+03
    24.20470   3.20178523e+03
    24.14626   3.21379615e+03
    24.08809   3.22581034e+03
    24.03021   3.23783455e+03
    23.97260   3.24985741e+03
    23.91527   3.26180359e+03
    23.85821   3.27376036e+03
    23.80143   3.28595047e+03
    23.74491   3.29800137e+03
    23.68866   3.31006077e+03
    23.63268   3.32198247e+03
    23.57696   3.33416291e+03
    23.52151   3.34615075e+03
    23.46631   3.35829401e+03
    23.41137   3.37036143e+03
    23.35669   3.38243107e+03
    23.30226   3.39447682e+03
    23.24809   3.40655402e+03
    23.19417   3.41863483e+03
    23.14050   3.43071870e+03
    23.08707   3.44280498e+03
    23.03389   3.45489282e+03
    22.98096   3.46694084e+03
    22.92827   3.47892680e+03
    22.87582   3.49116969e+03
    22.82361   3.50326587e+03
    22.77163   3.51536338e+03
    22.71990   3.52746174e+03
    22.66839   3.53956175e+03
    22.61712   3.55165909e+03
    22.56609   3.56376713e+03
    22.51528   3.57574611e+03
    22.46470   3.58797431e+03
    22.41435   3.60005017e+03
    22.36422   3.61211118e+03
    22.31431   3.62429569e+03
    22.26463   3.63640233e+03
    22.21517   3.64850169e+03
    22.16593   3.66062253e+03
    22.11690   3.67271824e+03
    22.06810   3.68481424e+03
    22.01950   3.69695297e+03
    21.97112   3.70905060e+03
    21.92296   3.72117649e+03
    21.87500   3.73328652e+03
    21.82725   3.74535945e+03
    21.77971   3.75751190e+03
    21.73238   3.76962396e+03
    21.68525   3.78162555e+03
    21.63833   3.79384832e+03
    21.59161   3.80595088e+03
    21.54509   3.81803123e+03
    21.49877   3.83014533e+03
    21.45265   3.84225733e+03
    21.40673   3.85436836e+03
    21.36100   3.86638985e+03
    21.31547   3.87854250e+03
    21.27013   3.89068131e+03
    21.22498   3.90279690e+03
    21.18003   3.91490262e+03
    21.13527   3.92700420e+03
    21.09069   3.93911192e+03
    21.04630   3.95121727e+03
    21.00210   3.96322392e+03
    20.95808   3.97541540e+03
    20.91425   3.98751026e+03
    20.87060   3.99960414e+03
    20.82713   4.01169511e+03
    20.78385   4.02375671e+03
    20.74074   4.03586994e+03
    20.69781   4.04795388e+03
    20.65506   4.06003342e+03
    20.61249   4.07211503e+03
    20.57009   4.08411265e+03
    20.52786   4.09626630e+03
    20.48581   4.10833123e+03
    20.44393   4.12039917e+03
    20.40222   4.13247679e+03
    20.36067   4.14449757e+03
    20.31930   4.15658613e+03
    20.27810   4.16866735e+03
    20.23706   4.18069663e+03
    20.19619   4.19277900e+03
    20.15549   4.20483550e+03
    20.11494   4.21689122e+03
    20.07456   4.22894283e+03
    20.03434   4.24099124e+03
    19.99429   4.25303860e+03
    19.95439   4.26497817e+03
    19.91465   4.27706421e+03
    19.87507   4.28912582e+03
    19.83565   4.30115302e+03
    19.79638   4.31320908e+03
    19.75727   4.32524538e+03
    19.71831   4.33727636e+03
    19.67951   4.34929353e+03
    19.64085   4.36134003e+03
    19.60235   4.37330789e+03
    19.56400   4.38539239e+03
    19.52580   4.39741512e+03
    19.48775   4.40943080e+03
    19.44985   4.42140030e+03
    19.41209   4.43342366e+03
    19.37448   4.44548240e+03
    19.33702   4.45747665e+03
    19.29970   4.46949042e+03
    19.26252   4.48148578e+03
    19.22549   4.49350897e+03
    19.18860   4.50551229e+03
    19.15185   4.51751141e+03
    19.11524   4.52950425e+03
    19.07877   4.54150222e+03
    19.04244   4.55349446e+03
