# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.51860449e+03
    27.92182   2.52723189e+03
    27.84407   2.53881910e+03
    27.76676   2.54944398e+03
    27.68987   2.56058285e+03
    27.61341   2.57305912e+03
    27.53737   2.58397694e+03
    27.46175   2.59565609e+03
    27.38654   2.60698217e+03
    27.31174   2.60765777e+03
    27.23735   2.62933536e+03
    27.16337   2.64240007e+03
    27.08978   2.65208231e+03
    27.01660   2.66120184e+03
    26.94380   2.66865411e+03
    26.87140   2.68161316e+03
    26.79939   2.69557154e+03
    26.72776   2.71027589e+03
    26.65651   2.71875524e+03
    26.58564   2.73232799e+03
    26.51515   2.73931443e+03
    26.44503   2.75332369e+03
    26.37528   2.76617164e+03
    26.30590   2.73702404e+03
    26.23688   2.78807906e+03
    26.16822   2.79887703e+03
    26.09993   2.80956874e+03
    26.03198   2.81511405e+03
    25.96439   2.80873576e+03
    25.89715   2.83014026e+03
    25.83026   2.84082632e+03
    25.76371   2.85227358e+03
    25.69750   2.87065074e+03
    25.63164   2.87724920e+03
    25.56611   2.88984501e+03
    25.50091   2.90308757e+03
    25.43605   2.89389443e+03
    25.37151   2.92017218e+03
    25.30730   2.94113403e+03
    25.24342   2.95145801e+03
    25.17986   2.95956503e+03
    25.11661   2.97341746e+03
    25.05369   2.98453215e+03
    24.99107   2.98834960e+03
    24.92877   2.99581281e+03
    24.86679   3.01522029e+03
    24.80510   3.02238779e+03
    24.74373   3.03367124e+03
    24.68265   3.04232331e+03
    24.62188   3.04940056e+03
    24.56140   3.06266029e+03
    24.50123   3.03499067e+03
    24.44134   3.07166295e+03
    24.38175   3.08255870e+03
    24.32245   3.10048296e+03
    24.26343   3.10636377e+03
    24.20470   3.13338186e+03
    24.14626   3.13113604e+03
    24.08809   3.14059865e+03
    24.03021   3.16139039e+03
    23.97260   3.13841826e+03
    23.91527   3.14712777e+03
    23.85821   3.16213432e+03
    23.80143   3.09717867e+03
    23.74491   3.09753565e+03
    23.68866   3.17831108e+03
    23.63268   3.18739636e+03
    23.57696   3.20644625e+03
    23.52151   3.24177274e+03
    23.46631   3.24457302e+03
    23.41137   3.24335412e+03
    23.35669   3.26513146e+03
    23.30226   3.25924922e+03
    23.24809   3.27782044e+03
    23.19417   3.27494887e+03
    23.14050   3.23918354e+03
    23.08707   3.25496840e+03
    23.03389   3.32264351e+03
    22.98096   3.25658401e+03
    22.92827   3.23032977e+03
    22.87582   3.27339062e+03
    22.82361   3.30494958e+03
    22.77163   3.24427059e+03
    22.71990   3.26127216e+03
    22.66839   3.29878146e+03
    22.61712   3.30040998e+03
    22.56609   3.28323491e+03
    22.51528   3.39117925e+03
    22.46470   3.32631706e+03
    22.41435   3.35209863e+03
    22.36422   3.42720761e+03
    22.31431   3.36339258e+03
    22.26463   3.35552659e+03
    22.21517   3.44493472e+03
    22.16593   3.39877494e+03
    22.11690   3.36928265e+03
    22.06810   3.32095369e+03
    22.01950   3.17732395e+03
    21.97112   3.45239805e+03
    21.92296   3.29089110e+03
    21.87500   3.22162242e+03
    21.82725   3.34190951e+03
    21.77971   3.34302730e+03
    21.73238   3.29061890e+03
    21.68525   3.35421469e+03
    21.63833   3.42328604e+03
    21.59161   3.38023196e+03
    21.54509   3.44253706e+03
    21.49877   3.50778712e+03
    21.45265   3.39675569e+03
    21.40673   3.41310179e+03
    21.36100   3.50219918e+03
    21.31547   3.46739637e+03
    21.27013   3.27372737e+03
    21.22498   2.55615495e+03
    21.18003   3.45876603e+03
    21.13527   3.42354556e+03
    21.09069   3.52348330e+03
    21.04630   3.39351125e+03
    21.00210   3.38195260e+03
    20.95808   3.49524513e+03
    20.91425   3.50446491e+03
    20.87060   3.35677187e+03
    20.82713   2.94337872e+03
    20.78385   3.00094808e+03
    20.74074   3.24552391e+03
    20.69781   3.10800312e+03
    20.65506   3.12176718e+03
    20.61249   3.24353648e+03
    20.57009   3.43479833e+03
    20.52786   3.22270102e+03
    20.48581   3.30796459e+03
    20.44393   3.30645909e+03
    20.40222   3.42412829e+03
    20.36067   3.30055134e+03
    20.31930   3.27674326e+03
