# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   8.98125125e+02
    27.92182   1.04917490e+03
    27.84407   8.83496104e+02
    27.76676   8.72868776e+02
    27.68987   8.74637549e+02
    27.61341   8.79795626e+02
    27.53737   8.82282824e+02
    27.46175   8.88104765e+02
    27.38654   8.92969188e+02
    27.31174   9.02017649e+02
    27.23735   8.96695603e+02
    27.16337   9.11077382e+02
    27.08978   9.51710671e+02
    27.01660   9.29621929e+02
    26.94380   9.16858550e+02
    26.87140   9.12146306e+02
    26.79939   9.47612456e+02
    26.72776   1.38857027e+03
    26.65651   1.05682562e+03
    26.58564   1.31288462e+03
    26.51515   9.54227585e+02
    26.44503   9.37728626e+02
    26.37528   9.57743637e+02
    26.30590   9.48737513e+02
    26.23688   9.57811516e+02
    26.16822   9.43765383e+02
    26.09993   9.45295648e+02
    26.03198   1.07122141e+03
    25.96439   9.82070807e+02
    25.89715   9.56538837e+02
    25.83026   9.76468066e+02
    25.76371   1.00478441e+03
    25.69750   9.73247405e+02
    25.63164   9.91542979e+02
    25.56611   9.89461931e+02
    25.50091   9.75765196e+02
    25.43605   9.77834744e+02
    25.37151   1.46347907e+03
    25.30730   9.97352206e+02
    25.24342   1.01355826e+03
    25.17986   1.11167625e+03
    25.11661   1.25619524e+03
    25.05369   1.42464550e+03
    24.99107   1.15176575e+03
    24.92877   1.05722316e+03
    24.86679   1.18572719e+03
    24.80510   1.02861758e+03
    24.74373   1.01957849e+03
    24.68265   1.02306750e+03
    24.62188   1.02526241e+03
    24.56140   1.02960503e+03
    24.50123   1.04090156e+03
    24.44134   1.03405344e+03
    24.38175   1.07775457e+03
    24.32245   1.04290930e+03
    24.26343   1.03923010e+03
    24.20470   1.11609380e+03
    24.14626   1.04636801e+03
    24.08809   1.05496077e+03
    24.03021   1.05085041e+03
    23.97260   1.05403346e+03
    23.91527   1.33858505e+03
    23.85821   1.49960626e+03
    23.80143   1.13823987e+03
    23.74491   1.09694513e+03
    23.68866   1.06854149e+03
    23.63268   1.44064883e+03
    23.57696   1.09534314e+03
    23.52151   1.32047559e+03
    23.46631   1.08060826e+03
    23.41137   1.09327296e+03
    23.35669   1.10069134e+03
    23.30226   1.09157062e+03
    23.24809   1.09639233e+03
    23.19417   1.10014735e+03
    23.14050   1.10075022e+03
    23.08707   1.15491820e+03
    23.03389   1.10535084e+03
    22.98096   1.24834506e+03
    22.92827   1.52873413e+03
    22.87582   1.14347175e+03
    22.82361   1.11796119e+03
    22.77163   1.12054884e+03
    22.71990   1.13187893e+03
    22.66839   1.12931147e+03
    22.61712   1.14908322e+03
    22.56609   1.13283393e+03
    22.51528   1.50589557e+03
    22.46470   1.14227876e+03
    22.41435   1.24789093e+03
    22.36422   1.39254776e+03
    22.31431   1.17605254e+03
    22.26463   1.15450896e+03
    22.21517   1.18644132e+03
    22.16593   1.45402466e+03
    22.11690   1.21077318e+03
    22.06810   1.27361592e+03
    22.01950   1.16966248e+03
    21.97112   1.21698006e+03
    21.92296   1.17296617e+03
    21.87500   1.18119301e+03
    21.82725   1.34453733e+03
    21.77971   1.18513886e+03
    21.73238   1.18946805e+03
    21.68525   1.53196061e+03
    21.63833   1.20256343e+03
    21.59161   1.22856142e+03
    21.54509   1.19897715e+03
    21.49877   1.19747747e+03
    21.45265   1.20032477e+03
    21.40673   1.20336990e+03
    21.36100   1.49624311e+03
    21.31547   1.36862992e+03
    21.27013   1.26865741e+03
    21.22498   1.23687514e+03
    21.18003   1.25070590e+03
    21.13527   1.26656017e+03
    21.09069   1.23950046e+03
    21.04630   1.23190392e+03
    21.00210   1.53328103e+03
    20.95808   1.28704252e+03
    20.91425   1.24664928e+03
    20.87060   1.23796143e+03
    20.82713   1.24779952e+03
    20.78385   1.34094954e+03
    20.74074   1.26609654e+03
    20.69781   1.25018831e+03
    20.65506   1.26252856e+03
    20.61249   1.33980758e+03
    20.57009   1.52409295e+03
    20.52786   1.26213060e+03
    20.48581   1.28644359e+03
    20.44393   1.30092153e+03
    20.40222   1.28404540e+03
    20.36067   1.43167023e+03
