# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.52001507e+03
    27.92182   2.53137375e+03
    27.84407   2.54286120e+03
    27.76676   2.55430667e+03
    27.68987   2.56575550e+03
    27.61341   2.57721598e+03
    27.53737   2.58868638e+03
    27.46175   2.60016788e+03
    27.38654   2.61163051e+03
    27.31174   2.62313240e+03
    27.23735   2.63464626e+03
    27.16337   2.64616413e+03
    27.08978   2.65768657e+03
    27.01660   2.66923926e+03
    26.94380   2.68079425e+03
    26.87140   2.69235855e+03
    26.79939   2.70391680e+03
    26.72776   2.71527822e+03
    26.65651   2.72705824e+03
    26.58564   2.73852859e+03
    26.51515   2.75029907e+03
    26.44503   2.76192342e+03
    26.37528   2.77355228e+03
    26.30590   2.78518678e+03
    26.23688   2.79682320e+03
    26.16822   2.80847983e+03
    26.09993   2.82014024e+03
    26.03198   2.83176723e+03
    25.96439   2.84347636e+03
    25.89715   2.85516666e+03
    25.83026   2.86685814e+03
    25.76371   2.87855777e+03
    25.69750   2.89026091e+03
    25.63164   2.90196851e+03
    25.56611   2.91369188e+03
    25.50091   2.92542773e+03
    25.43605   2.93716379e+03
    25.37151   2.94868617e+03
    25.30730   2.96065073e+03
    25.24342   2.97240617e+03
    25.17986   2.98411481e+03
    25.11661   2.99582736e+03
    25.05369   3.00751617e+03
    24.99107   3.01943222e+03
    24.92877   3.03124837e+03
    24.86679   3.04306337e+03
    24.80510   3.05486352e+03
    24.74373   3.06666667e+03
    24.68265   3.07847983e+03
    24.62188   3.09029715e+03
    24.56140   3.10211919e+03
    24.50123   3.11394403e+03
    24.44134   3.12578156e+03
    24.38175   3.13762217e+03
    24.32245   3.14946440e+03
    24.26343   3.16131257e+03
    24.20470   3.17316599e+03
    24.14626   3.18502254e+03
    24.08809   3.19688171e+03
    24.03021   3.20875039e+03
    23.97260   3.22061707e+03
    23.91527   3.23240174e+03
    23.85821   3.24419793e+03
    23.80143   3.25623677e+03
    23.74491   3.26812992e+03
    23.68866   3.28003028e+03
    23.63268   3.29178601e+03
    23.57696   3.30381184e+03
    23.52151   3.31563547e+03
    23.46631   3.32761999e+03
    23.41137   3.33952491e+03
    23.35669   3.35143137e+03
    23.30226   3.36334154e+03
    23.24809   3.37521649e+03
    23.19417   3.38713213e+03
    23.14050   3.39905026e+03
    23.08707   3.41097004e+03
    23.03389   3.42289067e+03
    22.98096   3.43476919e+03
    22.92827   3.44658164e+03
    22.87582   3.45866166e+03
    22.82361   3.47058775e+03
    22.77163   3.48251444e+03
    22.71990   3.49444126e+03
    22.66839   3.50636895e+03
    22.61712   3.51829310e+03
    22.56609   3.53022748e+03
    22.51528   3.54202653e+03
    22.46470   3.55408480e+03
    22.41435   3.56598355e+03
    22.36422   3.57786574e+03
    22.31431   3.58987589e+03
    22.26463   3.60180425e+03
    22.21517   3.61372445e+03
    22.16593   3.62566577e+03
    22.11690   3.63758045e+03
    22.06810   3.64949437e+03
    22.01950   3.66145261e+03
    21.97112   3.67336716e+03
    21.92296   3.68531005e+03
    21.87500   3.69723583e+03
    21.82725   3.70912163e+03
    21.77971   3.72109087e+03
    21.73238   3.73301654e+03
    21.68525   3.74482678e+03
    21.63833   3.75686604e+03
    21.59161   3.76877993e+03
    21.54509   3.78071352e+03
    21.49877   3.79260001e+03
    21.45265   3.80452118e+03
    21.40673   3.81644059e+03
    21.36100   3.82826635e+03
    21.31547   3.84022753e+03
    21.27013   3.85217349e+03
    21.22498   3.86409477e+03
    21.18003   3.87600466e+03
    21.13527   3.88790970e+03
    21.09069   3.89982076e+03
    21.04630   3.91172814e+03
    21.00210   3.92353276e+03
    20.95808   3.93552778e+03
    20.91425   3.94742213e+03
    20.87060   3.95931466e+03
    20.82713   3.97120343e+03
    20.78385   3.98306106e+03
    20.74074   3.99497129e+03
    20.69781   4.00685046e+03
    20.65506   4.01872425e+03
    20.61249   4.03059956e+03
    20.57009   4.04238723e+03
    20.52786   4.05433545e+03
    20.48581   4.06619138e+03
    20.44393   4.07804933e+03
    20.40222   4.08991668e+03
    20.36067   4.10172459e+03
    20.31930   4.11360172e+03
    20.27810   4.12547065e+03
    20.23706   4.13728526e+03
    20.19619   4.14915388e+03
    20.15549   4.16099503e+03
    20.11494   4.17283460e+03
    20.07456   4.18466927e+03
    20.03434   4.19649995e+03
    19.99429   4.20832881e+03
    19.95439   4.22008680e+03
    19.91465   4.23190829e+03
    19.87507   4.24375046e+03
    19.83565   4.25555559e+03
    19.79638   4.26739007e+03
    19.75727   4.27920342e+03
    19.71831   4.29101052e+03
    19.67951   4.30280301e+03
    19.64085   4.31462477e+03
    19.60235   4.32636495e+03
    19.56400   4.33822461e+03
    19.52580   4.35002000e+03
    19.48775   4.36180760e+03
    19.44985   4.37351022e+03
    19.41209   4.38534109e+03
    19.37448   4.39717085e+03
    19.33702   4.40893339e+03
    19.29970   4.42066240e+03
    19.26252   4.43247868e+03
    19.22549   4.44426994e+03
    19.18860   4.45603972e+03
    19.15185   4.46772660e+03
    19.11524   4.47956255e+03
    19.07877   4.49132509e+03
    19.04244   4.50308120e+03
    19.00624   4.51466113e+03
    18.97019   4.52658539e+03
    18.93427   4.53833098e+03
    18.89849   4.55008054e+03
    18.86284   4.56166224e+03
    18.82733   4.57356728e+03
    18.79195   4.58530705e+03
    18.75670   4.59704044e+03
    18.72158   4.60851310e+03
    18.68660   4.62051762e+03
    18.65175   4.63224865e+03
    18.61702   4.64396408e+03
    18.58243   4.65537052e+03
    18.54796   4.66740649e+03
    18.51362   4.67917067e+03
    18.47941   4.69089999e+03
    18.44532   4.70210560e+03
    18.41136   4.71430756e+03
    18.37753   4.72602702e+03
    18.34382   4.73776503e+03
    18.31023   4.74881391e+03
    18.27676   4.76121985e+03
    18.24342   4.77294185e+03
    18.21020   4.78467527e+03
    18.17710   4.79541205e+03
    18.14412   4.80810317e+03
    18.11125   4.81986238e+03
    18.07851   4.83151941e+03
    18.04589   4.81953069e+03
    18.01338   4.85505604e+03
    17.98099   4.83368082e+03
    17.94872   4.87454211e+03
    17.91656   4.88838036e+03
    17.88452   4.82411155e+03
    17.85259   4.91374848e+03
    17.82077   4.92527371e+03
    17.78907   4.83871055e+03
    17.75748   4.94899152e+03
    17.72601   4.88948348e+03
    17.69464   4.86047732e+03
    17.66339   4.95737005e+03
    17.63224   4.90776172e+03
    17.60121   4.86911587e+03
