# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   1.00230298e+03
    27.92182   8.66188160e+02
    27.84407   8.71414482e+02
    27.76676   8.82048921e+02
    27.68987   8.77581839e+02
    27.61341   8.90991334e+02
    27.53737   8.90110735e+02
    27.46175   8.85626427e+02
    27.38654   9.06750625e+02
    27.31174   8.95351326e+02
    27.23735   9.06965738e+02
    27.16337   9.01383855e+02
    27.08978   9.01932434e+02
    27.01660   1.07435864e+03
    26.94380   9.09533380e+02
    26.87140   9.15748920e+02
    26.79939   9.26317232e+02
    26.72776   9.62396737e+02
    26.65651   9.21846907e+02
    26.58564   9.44995337e+02
    26.51515   9.55828228e+02
    26.44503   9.50278618e+02
    26.37528   9.81196725e+02
    26.30590   9.78353328e+02
    26.23688   9.51866220e+02
    26.16822   9.90779312e+02
    26.09993   9.72850989e+02
    26.03198   9.98982561e+02
    25.96439   9.63233508e+02
    25.89715   9.61627447e+02
    25.83026   1.35011905e+03
    25.76371   9.76372795e+02
    25.69750   1.57545801e+03
    25.63164   9.75180200e+02
    25.56611   1.02034655e+03
    25.50091   9.80695499e+02
    25.43605   1.05398547e+03
    25.37151   1.15744820e+03
    25.30730   9.97475662e+02
    25.24342   1.07058511e+03
    25.17986   1.11553401e+03
    25.11661   1.03650517e+03
    25.05369   1.09087753e+03
    24.99107   1.15759505e+03
    24.92877   1.03450517e+03
    24.86679   1.03696368e+03
    24.80510   1.13146702e+03
    24.74373   1.12223460e+03
    24.68265   1.04925894e+03
    24.62188   1.10306314e+03
    24.56140   1.05623171e+03
    24.50123   1.06179262e+03
    24.44134   1.05207467e+03
    24.38175   1.25918730e+03
    24.32245   1.07455911e+03
    24.26343   1.33125561e+03
    24.20470   1.32984882e+03
    24.14626   1.11533611e+03
    24.08809   1.09014073e+03
    24.03021   1.41581429e+03
    23.97260   1.09787043e+03
    23.91527   1.08617650e+03
    23.85821   1.25448308e+03
    23.80143   1.23046154e+03
    23.74491   2.90269351e+03
    23.68866   1.20355370e+03
    23.63268   1.19755310e+03
    23.57696   1.10386623e+03
    23.52151   1.20623546e+03
    23.46631   1.10201915e+03
    23.41137   1.24026484e+03
    23.35669   1.28662217e+03
    23.30226   3.32396662e+03
    23.24809   1.17772703e+03
    23.19417   1.23988284e+03
    23.14050   1.12326195e+03
    23.08707   1.55881130e+03
    23.03389   1.14790594e+03
    22.98096   3.33035031e+03
    22.92827   1.57226899e+03
    22.87582   1.36336410e+03
    22.82361   1.40074009e+03
    22.77163   1.12840890e+03
    22.71990   2.15526257e+03
    22.66839   1.17583026e+03
    22.61712   1.20808668e+03
    22.56609   3.47431601e+03
    22.51528   1.29424713e+03
    22.46470   3.52195174e+03
    22.41435   3.55046279e+03
    22.36422   1.15324175e+03
    22.31431   1.16312106e+03
    22.26463   3.60104499e+03
    22.21517   3.61207573e+03
    22.16593   3.56346898e+03
    22.11690   3.54763760e+03
    22.06810   1.16479138e+03
    22.01950   1.84816875e+03
    21.97112   3.63364906e+03
    21.92296   1.24875887e+03
    21.87500   3.52423613e+03
    21.82725   3.66197335e+03
    21.77971   1.19232747e+03
    21.73238   1.20282875e+03
    21.68525   3.71648696e+03
    21.63833   3.69258258e+03
    21.59161   1.20367362e+03
    21.54509   3.75041238e+03
    21.49877   3.74998700e+03
    21.45265   1.20797367e+03
    21.40673   1.21544017e+03
    21.36100   3.80285576e+03
    21.31547   1.21336255e+03
    21.27013   3.76797141e+03
    21.22498   1.21940352e+03
    21.18003   3.79954585e+03
    21.13527   3.77554713e+03
    21.09069   3.87521611e+03
    21.04630   1.22954077e+03
    21.00210   3.62375995e+03
    20.95808   1.24861188e+03
    20.91425   2.91113166e+03
    20.87060   3.75855711e+03
    20.82713   1.24974077e+03
    20.78385   2.92307137e+03
    20.74074   2.35863791e+03
    20.69781   3.95027550e+03
    20.65506   4.01913082e+03
    20.61249   1.25415996e+03
    20.57009   2.82241056e+03
    20.52786   3.98238528e+03
    20.48581   1.27051910e+03
    20.44393   4.07869272e+03
    20.40222   1.26957516e+03
    20.36067   1.27219810e+03
    20.31930   2.57997428e+03
    20.27810   4.05436868e+03
    20.23706   3.95758347e+03
    20.19619   1.28740590e+03
    20.15549   4.13570659e+03
    20.11494   4.16539694e+03
    20.07456   4.14220406e+03
    20.03434   1.29304153e+03
    19.99429   2.29486189e+03
    19.95439   3.43614580e+03
    19.91465   2.39765495e+03
    19.87507   1.30726501e+03
    19.83565   3.12700221e+03
    19.79638   1.31235216e+03
    19.75727   4.25062883e+03
    19.71831   1.32640958e+03
    19.67951   3.29900942e+03
    19.64085   3.46848873e+03
    19.60235   4.19411190e+03
    19.56400   1.32913973e+03
    19.52580   3.51094035e+03
    19.48775   3.23624396e+03
    19.44985   4.34690952e+03
    19.41209   1.33522563e+03
