#wvl [um]      Flux [erg/s/cm]
28             2524.29913        
27.92181891    2365.53895        
27.84407319    2543.34435        
27.76675922    2821.8207         
27.68987342    2693.63371        
27.61341223    2729.41054        
27.53737215    2736.93982        
27.46174971    2733.87471        
27.38654147    2824.63859        
27.31174405    2721.07967        
27.23735409    2775.57115        
27.16336826    2675.16827        
27.08978328    2628.12804        
27.01659591    2753.30073        
26.94380293    2717.78189        
26.87140115    2831.71623        
26.79938744    2649.99875        
26.72775869    2437.48131        
26.65651181    2612.48033        
26.58564375    2478.76636        
26.51515152    2736.77831        
26.44503211    2832.87911        
26.37528259    2950.29346        
26.30590004    3006.90465        
26.23688156    2833.01308        
26.1682243     2958.42558        
26.09992543    3042.891          
26.03198215    2714.1825         
25.96439169    2931.75567        
25.89715131    3005.52573        
25.8302583     3014.82391        
25.76370997    3118.1597         
25.69750367    2966.59499        
25.63163676    2895.46928        
25.56610665    2925.55339        
25.50091075    3105.41734        
25.43604651    3140.02855        
25.37151142    2662.63685        
25.30730296    3017.79819        
25.24341868    3094.8378         
25.17985612    2936.14664        
25.11661285    2795.3539         
25.05368647    2737.14107        
24.99107462    2908.59615        
24.92877493    2974.62807        
24.86678508    3366.42056        
24.80510276    3248.6536         
24.7437257     3170.2861         
24.68265162    3189.73263        
24.6218783     3201.38639        
24.56140351    3198.54821        
24.50122506    3157.58511        
24.44134078    3263.50856        
24.38174852    3388.93794        
24.32244614    3318.78724        
24.26343154    3361.72818        
24.20470263    3431.26594        
24.14625733    3376.54063        
24.0880936     3320.66557        
24.03020941    3429.23372        
23.97260274    3459.15362        
23.91527161    3039.8987         
23.85821404    2971.70882        
23.80142809    3328.56787        
23.7449118     3293.48055        
23.68866328    3587.36391        
23.63268062    3045.4162         
23.57696194    3362.37143        
23.52150538    3130.04099        
23.46630908    3653.65847        
23.41137124    3665.77405        
23.35669002    3553.19893        
23.30226365    3626.84342        
23.24809034    3571.6162         
23.19416832    3665.67111        
23.14049587    3654.20387        
23.08707124    3767.7448         
23.03389273    3758.42359        
22.98095863    3332.36642        
22.92826728    3183.78876        
22.87581699    3722.02614        
22.82360613    3770.15559        
22.77163305    3810.45948        
22.71989614    3721.10219        
22.66839378    3725.67122        
22.61712439    3658.46714        
22.5660864     3903.79601        
22.51527822    3301.87218        
22.46469833    3780.13202        
22.41434518    3514.86669        
22.36421725    3403.83157        
22.31431304    3975.63744        
22.26463104    3836.49492        
22.21516979    3675.50061        
22.1659278     4195.79606        
22.11690363    3709.11905        
22.06809584    3656.92611        
22.01950299    3906.89991        
21.97112367    3720.49545        
21.92295647    3961.64339        
21.875         4014.36217        
21.82725288    3685.94427        
21.77971375    3944.89182        
21.73238125    3970.40988        
21.68525403    3523.5524         
21.63833076    3934.44536        
21.59161012    3836.54365        
21.5450908     4042.9412         
21.4987715     4277.96008        
21.45265093    4301.86486        
21.40672783    4283.63873        
21.36100092    3643.09536        
