#wvl [um]      Flux [erg/s/cm]
28             2526.6822         
27.92181891    2363.66273        
27.84407319    2543.86959        
27.76675922    2807.52204        
27.68987342    2692.83563        
27.61341223    2729.76067        
27.53737215    2736.6888         
27.46174971    2733.09564        
27.38654147    2823.79905        
27.31174405    2721.21523        
27.23735409    2776.0864         
27.16336826    2676.30266        
27.08978328    2629.44231        
27.01659591    2755.05883        
26.94380293    2718.55091        
26.87140115    2832.75123        
26.79938744    2646.361          
26.72775869    2415.66562        
26.65651181    2612.03338        
26.58564375    2460.21835        
26.51515152    2737.72903        
26.44503211    2834.11818        
26.37528259    2950.71527        
26.30590004    3006.08836        
26.23688156    2834.44111        
26.1682243     2959.759          
26.09992543    3042.53349        
26.03198215    2711.91007        
25.96439169    2933.43304        
25.89715131    3005.7281         
25.8302583     3015.62328        
25.76370997    3115.93043        
25.69750367    2967.93918        
25.63163676    2892.63469        
25.56610665    2923.48834        
25.50091075    3105.07708        
25.43604651    3140.65802        
25.37151142    2641.41887        
25.30730296    3018.59598        
25.24341868    3097.08513        
25.17985612    2938.82714        
25.11661285    2790.06161        
25.05368647    2720.85181        
24.99107462    2908.69687        
24.92877493    2972.6345         
24.86678508    3359.88477        
24.80510276    3250.12551        
24.7437257     3170.97272        
24.68265162    3191.01035        
24.6218783     3202.05384        
24.56140351    3199.00147        
24.50122506    3154.48896        
24.44134078    3264.70948        
24.38174852    3390.02195        
24.32244614    3319.28419        
24.26343154    3363.67792        
24.20470263    3433.11918        
24.14625733    3377.27948        
24.0880936     3322.03141        
24.03020941    3431.01188        
23.97260274    3460.35206        
23.91527161    3034.25641        
23.85821404    2950.75636        
23.80142809    3331.68287        
23.7449118     3293.38987        
23.68866328    3588.86353        
23.63268062    3030.94192        
23.57696194    3361.44395        
23.52150538    3114.58958        
23.46630908    3654.84117        
23.41137124    3668.36147        
23.35669002    3553.95639        
23.30226365    3629.7053         
23.24809034    3572.60899        
23.19416832    3668.72876        
23.14049587    3656.19704        
23.08707124    3771.60237        
23.03389273    3760.56808        
22.98095863    3328.63366        
22.92826728    3162.08049        
22.87581699    3723.80086        
22.82360613    3772.60932        
22.77163305    3812.11964        
22.71989614    3721.93388        
22.66839378    3726.85034        
22.61712439    3656.64358        
22.5660864     3908.41336        
22.51527822    3284.92478        
22.46469833    3781.89591        
22.41434518    3512.68006        
22.36421725    3395.01224        
22.31431304    3977.41143        
22.26463104    3838.06891        
22.21516979    3674.84129        
22.1659278     4203.50176        
22.11690363    3711.1217         
22.06809584    3660.03236        
22.01950299    3907.5633         
21.97112367    3720.53451        
21.92295647    3962.86997        
21.875         4017.51711        
21.82725288    3686.91758        
21.77971375    3943.84613        
21.73238125    3972.83146        
21.68525403    3504.22389        
21.63833076    3936.36215        
21.59161012    3834.76074        
21.5450908     4045.03608        
21.4987715     4283.97674        
21.45265093    4303.91058        
21.40672783    4286.00339        
21.36100092    3628.78089        
21.31546894    3755.46885        
21.27013066    3940.15781        
21.22498484    4013.31389        
21.18003026    4098.89103        
21.1352657     4090.64267        
21.09068997    4077.06689        
21.04630186    4209.06355        
21.00210021    3712.64419        
20.95808383    4356.16046        
20.91425157    4288.38786        
20.87060227    4423.39537        
20.82713478    4380.01144        
20.78384798    3999.47831        
20.74074074    4390.25045        
20.69781195    4432.20601        
