# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.50818238e+03
    27.92182   2.26145388e+03
    27.84407   2.46302579e+03
    27.76676   2.76314611e+03
    27.68987   2.65863516e+03
    27.61341   2.69322659e+03
    27.53737   2.69907250e+03
    27.46175   2.69772898e+03
    27.38654   2.77811709e+03
    27.31174   2.67565402e+03
    27.23735   2.74074452e+03
    27.16337   2.59770002e+03
    27.08978   2.53012219e+03
    27.01660   2.69191365e+03
    26.94380   2.64207352e+03
    26.87140   2.79052611e+03
    26.79939   2.54372417e+03
    26.72776   2.34101636e+03
    26.65651   2.49723563e+03
    26.58564   2.37570676e+03
    26.51515   2.63926079e+03
    26.44503   2.76547666e+03
    26.37528   2.91206025e+03
    26.30590   2.96187507e+03
    26.23688   2.74781943e+03
    26.16822   2.91506345e+03
    26.09993   2.99716099e+03
    26.03198   2.59338307e+03
    25.96439   2.86126533e+03
    25.89715   2.96299700e+03
    25.83026   2.97136116e+03
    25.76371   3.07128946e+03
    25.69750   2.89182890e+03
    25.63164   2.78957667e+03
    25.56611   2.82561867e+03
    25.50091   3.06055485e+03
    25.43605   3.09626240e+03
    25.37151   2.55592993e+03
    25.30730   2.92994065e+03
    25.24342   3.02631959e+03
    25.17986   2.81386999e+03
    25.11661   2.67046329e+03
    25.05369   2.62330641e+03
    24.99107   2.77827847e+03
    24.92877   2.84964480e+03
    24.86679   3.30686786e+03
    24.80510   3.20490723e+03
    24.74373   3.09406510e+03
    24.68265   3.11424219e+03
    24.62188   3.12708598e+03
    24.56140   3.11709283e+03
    24.50123   3.05367220e+03
    24.44134   3.19463574e+03
    24.38175   3.34349567e+03
    24.32245   3.26301492e+03
    24.26343   3.31054887e+03
    24.20470   3.38421750e+03
    24.14626   3.32530645e+03
    24.08809   3.24118589e+03
    24.03021   3.38058891e+03
    23.97260   3.41187003e+03
    23.91527   2.90122611e+03
    23.85821   2.84350974e+03
    23.80143   3.21803706e+03
    23.74491   3.17188886e+03
    23.68866   3.52703994e+03
    23.63268   2.91023086e+03
    23.57696   3.24877457e+03
    23.52151   2.98047883e+03
    23.46631   3.59643425e+03
    23.41137   3.60890249e+03
    23.35669   3.49385973e+03
    23.30226   3.57449072e+03
    23.24809   3.50779063e+03
    23.19417   3.60674786e+03
    23.14050   3.60374602e+03
    23.08707   3.70754727e+03
    23.03389   3.69557668e+03
    22.98096   3.17816305e+03
    22.92827   3.04209879e+03
    22.87582   3.67228609e+03
    22.82361   3.72001394e+03
    22.77163   3.75030051e+03
    22.71990   3.65886093e+03
    22.66839   3.65940333e+03
    22.61712   3.55652262e+03
    22.56609   3.83760876e+03
    22.51528   3.15122310e+03
    22.46470   3.70918311e+03
    22.41435   3.35648569e+03
    22.36422   3.24364784e+03
    22.31431   3.91372125e+03
    22.26463   3.76489527e+03
    22.21517   3.53745051e+03
    22.16593   4.09550721e+03
    22.11690   3.56973003e+03
    22.06810   3.50123348e+03
    22.01950   3.83698524e+03
    21.97112   3.57278023e+03
    21.92296   3.89848799e+03
    21.87500   3.95254338e+03
    21.82725   3.51956808e+03
    21.77971   3.85846695e+03
    21.73238   3.88554408e+03
    21.68525   3.35735617e+03
    21.63833   3.81698219e+03
    21.59161   3.68879951e+03
    21.54509   3.96557135e+03
    21.49877   4.19380405e+03
    21.45265   4.21598401e+03
    21.40673   4.20378598e+03
    21.36100   3.46861468e+03
    21.31547   3.58156854e+03
    21.27013   3.78454683e+03
    21.22498   3.87985203e+03
    21.18003   3.98669163e+03
    21.13527   3.96613138e+03
    21.09069   3.95227951e+03
    21.04630   4.13068119e+03
    21.00210   3.55208058e+03
    20.95808   4.29214716e+03
    20.91425   4.21981903e+03
    20.87060   4.34729533e+03
    20.82713   4.31910443e+03
    20.78385   3.82078512e+03
    20.74074   4.32850890e+03
    20.69781   4.36586680e+03
    20.65506   4.33233248e+03
    20.61249   4.67567552e+03
    20.57009   3.69663994e+03
    20.52786   4.42517657e+03
    20.48581   4.09108595e+03
    20.44393   4.10409655e+03
    20.40222   4.47882668e+03
    20.36067   3.85180847e+03
    20.31930   4.04032475e+03
    20.27810   4.56564207e+03
    20.23706   3.96113238e+03
    20.19619   4.25839811e+03
    20.15549   4.31817093e+03
    20.11494   4.50560621e+03
    20.07456   4.61968126e+03
    20.03434   4.54062704e+03
    19.99429   4.67654008e+03
    19.95439   3.90291998e+03
    19.91465   4.19878253e+03
    19.87507   4.35613566e+03
    19.83565   4.20978494e+03
    19.79638   4.69304439e+03
    19.75727   4.78327065e+03
    19.71831   4.65858239e+03
    19.67951   4.24108029e+03
    19.64085   4.73024521e+03
    19.60235   4.03485836e+03
    19.56400   4.88323581e+03
    19.52580   5.05584395e+03
    19.48775   4.51448466e+03
    19.44985   4.09600722e+03
    19.41209   4.14159825e+03
    19.37448   5.07456309e+03
    19.33702   4.48846026e+03
    19.29970   4.50765261e+03
    19.26252   4.41492932e+03
    19.22549   4.71948843e+03
    19.18860   4.94187551e+03
    19.15185   5.13089050e+03
    19.11524   4.72060865e+03
    19.07877   5.12037012e+03
    19.04244   5.08375069e+03
    19.00624   4.24957833e+03
    18.97019   5.01286371e+03
    18.93427   4.76821636e+03
    18.89849   5.05263630e+03
    18.86284   5.52784817e+03
    18.82733   5.17142547e+03
    18.79195   5.08816964e+03
    18.75670   4.78492956e+03
    18.72158   4.43516867e+03
