# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.50770908e+03
    27.92182   2.25650860e+03
    27.84407   2.46205880e+03
    27.76676   2.76312390e+03
    27.68987   2.65851850e+03
    27.61341   2.69315453e+03
    27.53737   2.69898325e+03
    27.46175   2.69762460e+03
    27.38654   2.77808577e+03
    27.31174   2.67537735e+03
    27.23735   2.74060913e+03
    27.16337   2.59696240e+03
    27.08978   2.52855515e+03
    27.01660   2.69152098e+03
    26.94380   2.64136347e+03
    26.87140   2.79038954e+03
    26.79939   2.54104207e+03
    26.72776   2.32438127e+03
    26.65651   2.49362955e+03
    26.58564   2.36156459e+03
    26.51515   2.63781097e+03
    26.44503   2.76497789e+03
    26.37528   2.91197821e+03
    26.30590   2.96183084e+03
    26.23688   2.74697236e+03
    26.16822   2.91492212e+03
    26.09993   2.99708273e+03
    26.03198   2.58920334e+03
    25.96439   2.86073901e+03
    25.89715   2.96282328e+03
    25.83026   2.97116980e+03
    25.76371   3.07124374e+03
    25.69750   2.89123181e+03
    25.63164   2.78749135e+03
    25.56611   2.82392018e+03
    25.50091   3.06041896e+03
    25.43605   3.09616303e+03
    25.37151   2.53875081e+03
    25.30730   2.92905029e+03
    25.24342   3.02591598e+03
    25.17986   2.81154473e+03
    25.11661   2.66256425e+03
    25.05369   2.60884360e+03
    24.99107   2.77421555e+03
    24.92877   2.84650643e+03
    24.86679   3.30682272e+03
    24.80510   3.20477133e+03
    24.74373   3.09341532e+03
    24.68265   3.11370273e+03
    24.62188   3.12649068e+03
    24.56140   3.11633054e+03
    24.50123   3.05189529e+03
    24.44134   3.19421621e+03
    24.38175   3.34340202e+03
    24.32245   3.26272465e+03
    24.26343   3.31039307e+03
    24.20470   3.38414330e+03
    24.14626   3.32508900e+03
    24.08809   3.24056888e+03
    24.03021   3.38041179e+03
    23.97260   3.41172675e+03
    23.91527   2.89295387e+03
    23.85821   2.82706419e+03
    23.80143   3.21685858e+03
    23.74491   3.16992901e+03
    23.68866   3.52698165e+03
    23.63268   2.89706217e+03
    23.57696   3.24712475e+03
    23.52151   2.96998561e+03
    23.46631   3.59635972e+03
    23.41137   3.60883990e+03
    23.35669   3.49352987e+03
    23.30226   3.57435836e+03
    23.24809   3.50741953e+03
    23.19417   3.60660993e+03
    23.14050   3.60359063e+03
    23.08707   3.70747287e+03
    23.03389   3.69549035e+03
    22.98096   3.17248826e+03
    22.92827   3.02544408e+03
    22.87582   3.67210847e+03
    22.82361   3.71988472e+03
    22.77163   3.75021869e+03
    22.71990   3.65850963e+03
    22.66839   3.65898192e+03
    22.61712   3.55517170e+03
    22.56609   3.83754829e+03
    22.51528   3.13683941e+03
    22.46470   3.70880700e+03
    22.41435   3.35193050e+03
    22.36422   3.23415800e+03
    22.31431   3.91365579e+03
    22.26463   3.76448737e+03
    22.21517   3.53515881e+03
    22.16593   4.09548170e+03
    22.11690   3.56779206e+03
    22.06810   3.49831355e+03
    22.01950   3.83650341e+03
    21.97112   3.57015616e+03
    21.92296   3.89816329e+03
    21.87500   3.95234549e+03
    21.82725   3.51549817e+03
    21.77971   3.85759271e+03
    21.73238   3.88509325e+03
    21.68525   3.34250075e+03
    21.63833   3.81593314e+03
    21.59161   3.68606520e+03
    21.54509   3.96514535e+03
    21.49877   4.19373973e+03
    21.45265   4.21592131e+03
    21.40673   4.20371009e+03
    21.36100   3.45627373e+03
    21.31547   3.57498185e+03
    21.27013   3.78224557e+03
    21.22498   3.87821952e+03
    21.18003   3.98572517e+03
    21.13527   3.96507355e+03
    21.09069   3.95069664e+03
    21.04630   4.13020439e+03
    21.00210   3.53747116e+03
    20.95808   4.29203333e+03
    20.91425   4.21953460e+03
    20.87060   4.34720673e+03
    20.82713   4.31893427e+03
    20.78385   3.81655942e+03
    20.74074   4.32831163e+03
    20.69781   4.36571915e+03
    20.65506   4.33206015e+03
    20.61249   4.67565388e+03
    20.57009   3.68420274e+03
    20.52786   4.42500944e+03
    20.48581   4.08891189e+03
    20.44393   4.10234274e+03
    20.40222   4.47863800e+03
    20.36067   3.84440572e+03
    20.31930   4.03718461e+03
    20.27810   4.56555355e+03
    20.23706   3.95574481e+03
    20.19619   4.25705809e+03
    20.15549   4.31708636e+03
    20.11494   4.50537594e+03
    20.07456   4.61955596e+03
    20.03434   4.54033865e+03
    19.99429   4.67645436e+03
    19.95439   3.89105063e+03
    19.91465   4.19614204e+03
    19.87507   4.35452403e+03
    19.83565   4.20686757e+03
    19.79638   4.69284051e+03
    19.75727   4.78316905e+03
    19.71831   4.65824407e+03
    19.67951   4.23757390e+03
    19.64085   4.72996598e+03
    19.60235   4.02409346e+03
    19.56400   4.88315051e+03
    19.52580   5.05581350e+03
    19.48775   4.51305362e+03
    19.44985   4.08520865e+03
    19.41209   4.13244921e+03
    19.37448   5.07452130e+03
    19.33702   4.48664723e+03
    19.29970   4.50584634e+03
