# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.50745056e+03
    27.92182   2.25688342e+03
    27.84407   2.46104908e+03
    27.76676   2.75490226e+03
    27.68987   2.65715607e+03
    27.61341   2.69217439e+03
    27.53737   2.69791391e+03
    27.46175   2.69646588e+03
    27.38654   2.77594401e+03
    27.31174   2.67450676e+03
    27.23735   2.73969949e+03
    27.16337   2.59618365e+03
    27.08978   2.52792154e+03
    27.01660   2.69069803e+03
    26.94380   2.64047662e+03
    26.87140   2.78932884e+03
    26.79939   2.54019203e+03
    26.72776   2.32663141e+03
    26.65651   2.49391085e+03
    26.58564   2.36293303e+03
    26.51515   2.63688911e+03
    26.44503   2.76380002e+03
    26.37528   2.91062073e+03
    26.30590   2.95970372e+03
    26.23688   2.74592586e+03
    26.16822   2.91423803e+03
    26.09993   2.99529385e+03
    26.03198   2.58903866e+03
    25.96439   2.85979604e+03
    25.89715   2.96184519e+03
    25.83026   2.97029517e+03
    25.76371   3.06860970e+03
    25.69750   2.89032573e+03
    25.63164   2.78647092e+03
    25.56611   2.82257828e+03
    25.50091   3.05937351e+03
    25.43605   3.09510709e+03
    25.37151   2.54079411e+03
    25.30730   2.92777653e+03
    25.24342   3.02551790e+03
    25.17986   2.81131735e+03
    25.11661   2.66321596e+03
    25.05369   2.61052185e+03
    24.99107   2.77458319e+03
    24.92877   2.84588083e+03
    24.86679   3.30161553e+03
    24.80510   3.20357025e+03
    24.74373   3.09203917e+03
    24.68265   3.11279306e+03
    24.62188   3.12506084e+03
    24.56140   3.11528939e+03
    24.50123   3.05030387e+03
    24.44134   3.19360191e+03
    24.38175   3.34202486e+03
    24.32245   3.26206916e+03
    24.26343   3.30921741e+03
    24.20470   3.38274103e+03
    24.14626   3.32406064e+03
    24.08809   3.23914741e+03
    24.03021   3.37917811e+03
    23.97260   3.41034312e+03
    23.91527   2.89371073e+03
    23.85821   2.82874056e+03
    23.80143   3.21629588e+03
    23.74491   3.16923503e+03
    23.68866   3.52529142e+03
    23.63268   2.89850819e+03
    23.57696   3.24631446e+03
    23.52151   2.97055259e+03
    23.46631   3.59436125e+03
    23.41137   3.60723021e+03
    23.35669   3.49287702e+03
    23.30226   3.57321086e+03
    23.24809   3.50602318e+03
    23.19417   3.60588144e+03
    23.14050   3.60257149e+03
    23.08707   3.70609843e+03
    23.03389   3.69381569e+03
    22.98096   3.17224455e+03
    22.92827   3.02662349e+03
    22.87582   3.67075572e+03
    22.82361   3.71854609e+03
    22.77163   3.74863821e+03
    22.71990   3.65783433e+03
    22.66839   3.65752116e+03
    22.61712   3.55339626e+03
    22.56609   3.83636815e+03
    22.51528   3.13824419e+03
    22.46470   3.70772457e+03
    22.41435   3.35146358e+03
    22.36422   3.23461191e+03
    22.31431   3.91155226e+03
    22.26463   3.76338055e+03
    22.21517   3.53431188e+03
    22.16593   4.09382039e+03
    22.11690   3.56733787e+03
    22.06810   3.49783995e+03
    22.01950   3.83493249e+03
    21.97112   3.56927253e+03
    21.92296   3.89700377e+03
    21.87500   3.95137245e+03
    21.82725   3.51573661e+03
    21.77971   3.85671890e+03
    21.73238   3.88439801e+03
    21.68525   3.34379042e+03
    21.63833   3.81475877e+03
    21.59161   3.68486874e+03
    21.54509   3.96358279e+03
    21.49877   4.19235477e+03
    21.45265   4.21319640e+03
    21.40673   4.20152110e+03
    21.36100   3.45721135e+03
    21.31547   3.57481162e+03
    21.27013   3.78111375e+03
