# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.50803273e+03
    27.92182   2.25821717e+03
    27.84407   2.46242188e+03
    27.76676   2.75713328e+03
    27.68987   2.65797969e+03
    27.61341   2.69283765e+03
    27.53737   2.69853480e+03
    27.46175   2.69705738e+03
    27.38654   2.77689298e+03
    27.31174   2.67542073e+03
    27.23735   2.74032605e+03
    27.16337   2.59744651e+03
    27.08978   2.52928767e+03
    27.01660   2.69153411e+03
    26.94380   2.64181343e+03
    26.87140   2.79014462e+03
    26.79939   2.54221237e+03
    26.72776   2.32694579e+03
    26.65651   2.49533207e+03
    26.58564   2.36423502e+03
    26.51515   2.63845015e+03
    26.44503   2.76498296e+03
    26.37528   2.91155520e+03
    26.30590   2.96079494e+03
    26.23688   2.74726560e+03
    26.16822   2.91491816e+03
    26.09993   2.99623677e+03
    26.03198   2.59082371e+03
    25.96439   2.86078682e+03
    25.89715   2.96246911e+03
    25.83026   2.97121461e+03
    25.76371   3.06981909e+03
    25.69750   2.89159667e+03
    25.63164   2.78821737e+03
    25.56611   2.82447899e+03
    25.50091   3.06005593e+03
    25.43605   3.09584943e+03
    25.37151   2.54133936e+03
    25.30730   2.92929635e+03
    25.24342   3.02614494e+03
    25.17986   2.81273648e+03
    25.11661   2.66486191e+03
    25.05369   2.61177524e+03
    24.99107   2.77615394e+03
    24.92877   2.84799103e+03
    24.86679   3.30354933e+03
    24.80510   3.20454578e+03
    24.74373   3.09343806e+03
    24.68265   3.11370897e+03
    24.62188   3.12647279e+03
    24.56140   3.11639778e+03
    24.50123   3.05239091e+03
    24.44134   3.19440878e+03
    24.38175   3.34297182e+03
    24.32245   3.26279189e+03
    24.26343   3.31016162e+03
    24.20470   3.38380192e+03
    24.14626   3.32509758e+03
    24.08809   3.24057520e+03
    24.03021   3.38020432e+03
    23.97260   3.41135848e+03
    23.91527   2.89544525e+03
    23.85821   2.83032118e+03
    23.80143   3.21766495e+03
    23.74491   3.17096399e+03
    23.68866   3.52636867e+03
    23.63268   2.90028748e+03
    23.57696   3.24796362e+03
    23.52151   2.97305666e+03
    23.46631   3.59564194e+03
    23.41137   3.60842540e+03
    23.35669   3.49366232e+03
    23.30226   3.57423758e+03
    23.24809   3.50725618e+03
    23.19417   3.60662056e+03
    23.14050   3.60334948e+03
    23.08707   3.70741033e+03
    23.03389   3.69493768e+03
    22.98096   3.17458064e+03
    22.92827   3.02858886e+03
    22.87582   3.67188880e+03
    22.82361   3.71974950e+03
    22.77163   3.74979798e+03
    22.71990   3.65866086e+03
    22.66839   3.65877787e+03
    22.61712   3.55537099e+03
    22.56609   3.83753289e+03
    22.51528   3.14037991e+03
    22.46470   3.70899009e+03
    22.41435   3.35375511e+03
    22.36422   3.23695203e+03
    22.31431   3.91294441e+03
    22.26463   3.76467683e+03
    22.21517   3.53632701e+03
    22.16593   4.09575907e+03
    22.11690   3.56895726e+03
    22.06810   3.49973332e+03
    22.01950   3.83629196e+03
    21.97112   3.57128623e+03
    21.92296   3.89825634e+03
    21.87500   3.95247012e+03
    21.82725   3.51755325e+03
    21.77971   3.85788821e+03
    21.73238   3.88536273e+03
    21.68525   3.34632068e+03
    21.63833   3.81616294e+03
    21.59161   3.68713204e+03
    21.54509   3.96496172e+03
    21.49877   4.19367332e+03
    21.45265   4.21478102e+03
    21.40673   4.20273259e+03
