# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   1.12671398e+03
    27.92182   1.13416003e+03
    27.84407   1.13712531e+03
    27.76676   1.36604920e+03
    27.68987   1.17957224e+03
    27.61341   1.26244296e+03
    27.53737   1.16035130e+03
    27.46175   1.25190966e+03
    27.38654   1.39811703e+03
    27.31174   1.26604898e+03
    27.23735   1.33524963e+03
    27.16337   1.17864151e+03
    27.08978   1.18277308e+03
    27.01660   1.18694530e+03
    26.94380   1.19557532e+03
    26.87140   1.20226182e+03
    26.79939   1.20202577e+03
    26.72776   1.21674718e+03
    26.65651   1.21199863e+03
    26.58564   1.22306173e+03
    26.51515   1.22001306e+03
    26.44503   1.22650375e+03
    26.37528   1.49072698e+03
    26.30590   1.55201306e+03
    26.23688   1.23853286e+03
    26.16822   1.25931984e+03
    26.09993   1.29265684e+03
    26.03198   1.25362497e+03
    25.96439   1.25660242e+03
    25.89715   1.33343378e+03
    25.83026   1.44699699e+03
    25.76371   1.62479205e+03
    25.69750   1.27995487e+03
    25.63164   1.28223861e+03
    25.56611   1.28929414e+03
    25.50091   1.30169948e+03
    25.43605   1.34510953e+03
    25.37151   1.30927034e+03
    25.30730   1.30531291e+03
    25.24342   1.30757519e+03
    25.17986   1.31353431e+03
    25.11661   1.32131309e+03
    25.05369   1.33046441e+03
    24.99107   1.32815981e+03
    24.92877   1.33159891e+03
    24.86679   1.92277922e+03
    24.80510   1.54263288e+03
    24.74373   1.35485975e+03
    24.68265   1.35495864e+03
    24.62188   1.38886564e+03
    24.56140   1.37620145e+03
    24.50123   1.37779119e+03
    24.44134   1.37416361e+03
    24.38175   1.76242583e+03
    24.32245   1.48743945e+03
    24.26343   1.40713828e+03
    24.20470   1.78617555e+03
    24.14626   1.50324003e+03
    24.08809   1.40097172e+03
    24.03021   1.43625787e+03
    23.97260   1.42514794e+03
    23.91527   1.41390306e+03
    23.85821   1.42286871e+03
    23.80143   1.41885902e+03
    23.74491   1.42400124e+03
    23.68866   1.50274734e+03
    23.63268   1.43919215e+03
    23.57696   1.43984712e+03
    23.52151   1.44553542e+03
    23.46631   1.49342433e+03
    23.41137   1.79214589e+03
    23.35669   1.62011826e+03
    23.30226   1.47502590e+03
    23.24809   1.54196136e+03
    23.19417   1.47241518e+03
    23.14050   1.58363357e+03
    23.08707   2.01448851e+03
    23.03389   1.53145635e+03
    22.98096   1.48915554e+03
    22.92827   1.49996166e+03
    22.87582   1.84205755e+03
    22.82361   1.67355453e+03
    22.77163   1.57422268e+03
    22.71990   1.68801444e+03
    22.66839   1.56582641e+03
    22.61712   1.51974273e+03
    22.56609   1.68914358e+03
    22.51528   1.53506941e+03
    22.46470   1.55876449e+03
    22.41435   1.53859977e+03
    22.36422   1.54584128e+03
    22.31431   2.04501196e+03
    22.26463   1.56844998e+03
    22.21517   1.55696428e+03
    22.16593   2.72623352e+03
    22.11690   1.56484315e+03
    22.06810   1.57005108e+03
    22.01950   1.71527906e+03
    21.97112   1.57866596e+03
    21.92296   1.65872812e+03
    21.87500   1.58866495e+03
    21.82725   1.59340895e+03
    21.77971   1.64552073e+03
    21.73238   1.61200896e+03
    21.68525   1.61126530e+03
