# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.86240908e+03
    27.92182   2.87401291e+03
    27.84407   2.89709067e+03
    27.76676   2.91209547e+03
    27.68987   2.81566273e+03
    27.61341   2.93495742e+03
    27.53737   2.94994910e+03
    27.46175   2.93976596e+03
    27.38654   2.91581485e+03
    27.31174   2.95994010e+03
    27.23735   2.95468927e+03
    27.16337   3.01157077e+03
    27.08978   3.01018576e+03
    27.01660   3.04573560e+03
    26.94380   3.06222261e+03
    26.87140   3.07122419e+03
    26.79939   3.04935174e+03
    26.72776   3.06662569e+03
    26.65651   3.11155451e+03
    26.58564   3.12655108e+03
    26.51515   3.14376314e+03
    26.44503   3.15412771e+03
    26.37528   3.05257360e+03
    26.30590   3.14509401e+03
    26.23688   3.18082388e+03
    26.16822   3.21214089e+03
    26.09993   3.19508355e+03
    26.03198   3.23919205e+03
    25.96439   3.19988564e+03
    25.89715   3.25416057e+03
    25.83026   3.28415440e+03
    25.76371   3.29477042e+03
    25.69750   3.31206224e+03
    25.63164   3.30811266e+03
    25.56611   3.31673125e+03
    25.50091   3.31892965e+03
    25.43605   3.31299410e+03
    25.37151   3.38211870e+03
    25.30730   3.37958508e+03
    25.24342   3.39271906e+03
    25.17986   3.33942688e+03
    25.11661   3.43868248e+03
    25.05369   3.45321343e+03
    24.99107   3.43978016e+03
    24.92877   3.48018889e+03
    24.86679   3.48039622e+03
    24.80510   3.49564071e+03
    24.74373   3.50446012e+03
    24.68265   3.53548472e+03
    24.62188   3.53896553e+03
    24.56140   3.56552163e+03
    24.50123   3.53498588e+03
    24.44134   3.59508943e+03
    24.38175   3.59935435e+03
    24.32245   3.61590239e+03
    24.26343   3.62787221e+03
    24.20470   3.65192904e+03
    24.14626   3.66622491e+03
    24.08809   3.64648650e+03
    24.03021   3.69512946e+03
    23.97260   3.70973128e+03
    23.91527   3.72343091e+03
    23.85821   3.72033908e+03
    23.80143   3.73631826e+03
    23.74491   3.76351519e+03
    23.68866   3.75696352e+03
    23.63268   3.79648043e+03
    23.57696   3.79355732e+03
    23.52151   3.79694627e+03
    23.46631   3.83956190e+03
    23.41137   3.85365089e+03
    23.35669   3.85252154e+03
    23.30226   3.88277365e+03
    23.24809   3.89746031e+03
    23.19417   3.91252485e+03
    23.14050   3.90459500e+03
    23.08707   3.93357507e+03
    23.03389   3.95419140e+03
    22.98096   3.97055078e+03
    22.92827   3.97656294e+03
    22.87582   3.99891051e+03
    22.82361   4.01431149e+03
    22.77163   4.02905168e+03
    22.71990   4.03184116e+03
    22.66839   4.05717758e+03
    22.61712   4.07271436e+03
    22.56609   4.07509925e+03
    22.51528   4.10086949e+03
    22.46470   4.11684508e+03
    22.41435   4.13150665e+03
    22.36422   4.14617631e+03
    22.31431   4.16085736e+03
    22.26463   4.17487933e+03
    22.21517   4.19012803e+03
    22.16593   4.20166931e+03
    22.11690   4.21767147e+03
    22.06810   4.23350558e+03
    22.01950   4.24373797e+03
    21.97112   4.26383353e+03
    21.92296   4.27849174e+03
    21.87500   4.29321025e+03
    21.82725   4.30805182e+03
    21.77971   4.32281838e+03
    21.73238   4.33759096e+03
    21.68525   4.35169552e+03
    21.63833   4.36715644e+03
    21.59161   4.38194897e+03
    21.54509   4.39674879e+03
    21.49877   4.41155494e+03
    21.45265   4.42636761e+03
    21.40673   4.43830773e+03
    21.36100   4.45590823e+03
    21.31547   4.47048415e+03
    21.27013   4.48151599e+03
    21.22498   4.50025775e+03
    21.18003   4.51072727e+03
    21.13527   4.52972990e+03
    21.09069   4.52656274e+03
    21.04630   4.55997020e+03
    21.00210   4.57484365e+03
    20.95808   4.58926224e+03
    20.91425   4.60434543e+03
    20.87060   4.61951032e+03
    20.82713   4.63441027e+03
    20.78385   4.64931536e+03
    20.74074   4.66422774e+03
    20.69781   4.67914514e+03
    20.65506   4.69406819e+03
    20.61249   4.70862521e+03
    20.57009   4.72082811e+03
    20.52786   4.73879656e+03
    20.48581   4.75372145e+03
    20.44393   4.76397929e+03
    20.40222   4.77814534e+03
    20.36067   4.79464790e+03
    20.31930   4.80195285e+03
    20.27810   4.82796956e+03
    20.23706   4.83522736e+03
    20.19619   4.85329191e+03
    20.15549   4.87356812e+03
    20.11494   4.88856015e+03
    20.07456   4.90355705e+03
    20.03434   4.91855879e+03
    19.99429   4.93356541e+03
    19.95439   4.94857493e+03
    19.91465   4.96359240e+03
    19.87507   4.97861367e+03
    19.83565   4.99363889e+03
    19.79638   5.00090312e+03
    19.75727   5.02370416e+03
    19.71831   5.03874369e+03
    19.67951   5.05136705e+03
    19.64085   5.06355258e+03
    19.60235   5.08215213e+03
    19.56400   5.08603041e+03
    19.52580   5.10435784e+03
    19.48775   5.12859616e+03
    19.44985   5.14360384e+03
    19.41209   5.14109507e+03
    19.37448   5.17412553e+03
    19.33702   5.18920744e+03
    19.29970   5.20429394e+03
    19.26252   5.21911396e+03
    19.22549   5.23447918e+03
    19.18860   5.24957780e+03
    19.15185   5.26468036e+03
    19.11524   5.27665177e+03
    19.07877   5.29232653e+03
    19.04244   5.31001199e+03
    19.00624   5.32512886e+03
    18.97019   5.34025300e+03
    18.93427   5.34000481e+03
    18.89849   5.37032094e+03
    18.86284   5.37916969e+03
    18.82733   5.40005565e+03
    18.79195   5.40976852e+03
    18.75670   5.41895717e+03
    18.72158   5.44611939e+03
    18.68660   5.46089833e+03
    18.65175   5.43374445e+03
    18.61702   5.49169711e+03
    18.58243   5.50686393e+03
    18.54796   5.52203363e+03
    18.51362   5.53720928e+03
    18.47941   5.55238800e+03
    18.44532   5.55664829e+03
    18.41136   5.58275782e+03
    18.37753   5.59794883e+03
    18.34382   5.61314482e+03
    18.31023   5.62834487e+03
    18.27676   5.63322474e+03
    18.24342   5.65875839e+03
    18.21020   5.67397244e+03
    18.17710   5.67938961e+03
    18.14412   5.70298485e+03
    18.11125   5.70674762e+03
    18.07851   5.72091474e+03
    18.04589   5.73593019e+03
    18.01338   5.76535727e+03
    17.98099   5.78010092e+03
    17.94872   5.77234320e+03
    17.91656   5.81111884e+03
    17.88452   5.82638364e+03
    17.85259   5.84165382e+03
    17.82077   5.84983311e+03
    17.78907   5.87221107e+03
    17.75748   5.88749827e+03
    17.72601   5.90279031e+03
    17.69464   5.91808948e+03
    17.66339   5.92981822e+03
    17.63224   5.93411544e+03
    17.60121   5.96418504e+03
    17.57028   5.97951092e+03
    17.53946   5.98822785e+03
    17.50875   6.00294948e+03
    17.47815   6.01225732e+03
    17.44766   6.03927768e+03
    17.41727   6.03649040e+03
    17.38698   6.07145620e+03
    17.35681   6.08695661e+03
    17.32673   6.10233002e+03
    17.29676   6.10540915e+03
    17.26690   6.12023209e+03
    17.23713   6.13645076e+03
    17.20747   6.16388479e+03
    17.17791   6.17928915e+03
    17.14846   6.19469948e+03
    17.11910   6.21011567e+03
    17.08984   6.22553856e+03
    17.06069   6.23021550e+03
