# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.87183772e+03
    27.92182   2.88533659e+03
    27.84407   2.89885676e+03
    27.76676   2.91239348e+03
    27.68987   2.92594775e+03
    27.61341   2.93944765e+03
    27.53737   2.95303832e+03
    27.46175   2.96664633e+03
    27.38654   2.98027121e+03
    27.31174   2.99390906e+03
    27.23735   3.00757258e+03
    27.16337   3.02124896e+03
    27.08978   3.03494095e+03
    27.01660   3.04864945e+03
    26.94380   3.06237316e+03
    26.87140   3.07611628e+03
    26.79939   3.08987571e+03
    26.72776   3.10364760e+03
    26.65651   3.11744120e+03
    26.58564   3.13124623e+03
    26.51515   3.14507028e+03
    26.44503   3.15891030e+03
    26.37528   3.17276502e+03
    26.30590   3.18661905e+03
    26.23688   3.20051997e+03
    26.16822   3.21442057e+03
    26.09993   3.22833604e+03
    26.03198   3.24226465e+03
    25.96439   3.25620507e+03
    25.89715   3.27016919e+03
    25.83026   3.28414424e+03
    25.76371   3.29813409e+03
    25.69750   3.31214046e+03
    25.63164   3.32615793e+03
    25.56611   3.34019163e+03
    25.50091   3.35424019e+03
    25.43605   3.36829173e+03
    25.37151   3.38237047e+03
    25.30730   3.39646875e+03
    25.24342   3.41057178e+03
    25.17986   3.42468675e+03
    25.11661   3.43881669e+03
    25.05369   3.45295812e+03
    24.99107   3.46711395e+03
    24.92877   3.48128135e+03
    24.86679   3.49546940e+03
    24.80510   3.50966376e+03
    24.74373   3.52387108e+03
    24.68265   3.53809115e+03
    24.62188   3.55230432e+03
    24.56140   3.56655114e+03
    24.50123   3.58079320e+03
    24.44134   3.59507722e+03
    24.38175   3.60936135e+03
    24.32245   3.62366126e+03
    24.26343   3.63796672e+03
    24.20470   3.65229534e+03
    24.14626   3.66662144e+03
    24.08809   3.68096338e+03
    24.03021   3.69532366e+03
    23.97260   3.70967296e+03
    23.91527   3.72404736e+03
    23.85821   3.73843920e+03
    23.80143   3.75281164e+03
    23.74491   3.76722144e+03
    23.68866   3.78167153e+03
    23.63268   3.79609873e+03
    23.57696   3.81055088e+03
    23.52151   3.82501659e+03
    23.46631   3.83948309e+03
    23.41137   3.85395547e+03
    23.35669   3.86844689e+03
    23.30226   3.88293866e+03
    23.24809   3.89745064e+03
    23.19417   3.91195769e+03
    23.14050   3.92645921e+03
    23.08707   3.94100185e+03
    23.03389   3.95557558e+03
    22.98096   3.97009476e+03
    22.92827   3.98463650e+03
    22.87582   3.99924034e+03
    22.82361   4.01383123e+03
    22.77163   4.02838616e+03
    22.71990   4.04300012e+03
    22.66839   4.05762206e+03
    22.61712   4.07224924e+03
    22.56609   4.08686084e+03
    22.51528   4.10154540e+03
    22.46470   4.11617318e+03
    22.41435   4.13084432e+03
    22.36422   4.14553124e+03
    22.31431   4.16018157e+03
    22.26463   4.17485540e+03
    22.21517   4.18957357e+03
    22.16593   4.20426098e+03
    22.11690   4.21893403e+03
    22.06810   4.23360237e+03
    22.01950   4.24817627e+03
    21.97112   4.26313709e+03
    21.92296   4.27768364e+03
    21.87500   4.29236977e+03
    21.82725   4.30722368e+03
    21.77971   4.32194761e+03
    21.73238   4.33667278e+03
    21.68525   4.35150421e+03
    21.63833   4.36631399e+03
    21.59161   4.38108096e+03
    21.54509   4.39591957e+03
    21.49877   4.41073645e+03
    21.45265   4.42544768e+03
    21.40673   4.44028487e+03
    21.36100   4.45514857e+03
    21.31547   4.46996095e+03
    21.27013   4.48461183e+03
    21.22498   4.49881802e+03
    21.18003   4.51443687e+03
    21.13527   4.52924184e+03
    21.09069   4.54410810e+03
    21.04630   4.55891720e+03
    21.00210   4.57376763e+03
    20.95808   4.58873071e+03
    20.91425   4.60360473e+03
    20.87060   4.61836837e+03
    20.82713   4.63262395e+03
    20.78385   4.64763226e+03
    20.74074   4.66281939e+03
    20.69781   4.67748693e+03
    20.65506   4.69242416e+03
    20.61249   4.70754685e+03
    20.57009   4.72259526e+03
    20.52786   4.73733908e+03
    20.48581   4.75238212e+03
    20.44393   4.76727800e+03
    20.40222   4.78237340e+03
    20.36067   4.79715092e+03
    20.31930   4.81197271e+03
    20.27810   4.82692899e+03
    20.23706   4.84200274e+03
    20.19619   4.85683142e+03
    20.15549   4.87187865e+03
    20.11494   4.88663983e+03
    20.07456   4.90167286e+03
    20.03434   4.91660845e+03
    19.99429   4.93137758e+03
    19.95439   4.94664543e+03
    19.91465   4.96143006e+03
    19.87507   4.97627358e+03
    19.83565   4.99170894e+03
    19.79638   5.00607057e+03
    19.75727   5.02112665e+03
    19.71831   5.03530800e+03
    19.67951   5.04898220e+03
    19.64085   5.06345022e+03
    19.60235   5.07939554e+03
    19.56400   5.09403977e+03
    19.52580   5.10935099e+03
    19.48775   5.12502773e+03
    19.44985   5.14001018e+03
    19.41209   5.15481220e+03
    19.37448   5.17015522e+03
    19.33702   5.18505750e+03
    19.29970   5.19947186e+03
    19.26252   5.21530195e+03
    19.22549   5.22982605e+03
    19.18860   5.24425412e+03
    19.15185   5.26035421e+03
    19.11524   5.27378600e+03
    19.07877   5.28920970e+03
    19.04244   5.30456502e+03
    19.00624   5.31881703e+03
    18.97019   5.33334854e+03
    18.93427   5.34743741e+03
    18.89849   5.36244245e+03
    18.86284   5.37768303e+03
    18.82733   5.39287303e+03
    18.79195   5.40867531e+03
    18.75670   5.42202549e+03
    18.72158   5.43758016e+03
    18.68660   5.45272982e+03
    18.65175   5.46597059e+03
    18.61702   5.48238746e+03
    18.58243   5.49400908e+03
    18.54796   5.51058599e+03
    18.51362   5.52726528e+03
    18.47941   5.54024515e+03
    18.44532   5.55283395e+03
    18.41136   5.56287802e+03
    18.37753   5.58051660e+03
    18.34382   5.58810243e+03
    18.31023   5.60372731e+03
    18.27676   5.61873695e+03
    18.24342   5.63634739e+03
    18.21020   5.65448519e+03
    18.17710   5.66886582e+03
    18.14412   5.68536889e+03
    18.11125   5.70276783e+03
    18.07851   5.71485467e+03
    18.04589   5.72157942e+03
    18.01338   5.74621865e+03
    17.98099   5.75005687e+03
    17.94872   5.75310600e+03
    17.91656   5.78299345e+03
    17.88452   5.79928002e+03
    17.85259   5.81296639e+03
    17.82077   5.83144263e+03
    17.78907   5.84462399e+03
    17.75748   5.85129892e+03
    17.72601   5.87399394e+03
    17.69464   5.87814423e+03
    17.66339   5.89508965e+03
    17.63224   5.90844428e+03
    17.60121   5.87610133e+03
    17.57028   5.92335515e+03
    17.53946   5.96134022e+03
    17.50875   5.96006627e+03
    17.47815   5.99512517e+03
    17.44766   5.99673783e+03
    17.41727   6.00817656e+03
    17.38698   6.03144105e+03
    17.35681   6.03685236e+03
    17.32673   6.05938772e+03
    17.29676   6.03013636e+03
    17.26690   6.07527797e+03
    17.23713   6.05564006e+03
    17.20747   5.96501721e+03
    17.17791   6.09730474e+03
    17.14846   6.14385720e+03
    17.11910   6.14304966e+03
    17.08984   6.18145625e+03
    17.06069   6.17025100e+03
    17.03163   6.17673366e+03
    17.00267   6.21643955e+03
    16.97381   6.20680753e+03
    16.94505   6.21229621e+03
    16.91638   6.25922440e+03
    16.88782   6.21418736e+03
    16.85934   6.25643192e+03
    16.83097   6.22753046e+03
    16.80269   6.22159839e+03
    16.77450   6.20865092e+03
    16.74641   6.01312387e+03
    16.71841   6.32004233e+03
    16.69051   6.37947308e+03
    16.66270   6.36070294e+03
    16.63498   6.36054679e+03
    16.60735   6.42003833e+03
    16.57982   6.38118071e+03
    16.55238   6.43105225e+03
    16.52502   6.41681363e+03
    16.49776   6.39802893e+03
    16.47059   6.46869544e+03
    16.44350   6.44580633e+03
    16.41651   6.42733202e+03
    16.38960   6.46343585e+03
    16.36279   6.45308889e+03
    16.33606   6.46095407e+03
    16.30941   6.47609215e+03
    16.28286   6.44221708e+03
    16.25639   6.26345428e+03
    16.23000   6.25077855e+03
    16.20370   6.15505518e+03
    16.17749   6.26998435e+03
    16.15136   6.54575111e+03
    16.12532   6.64653679e+03
    16.09936   6.55965884e+03
    16.07348   6.54335834e+03
    16.04768   6.62716852e+03
    16.02197   6.59668668e+03
    15.99634   6.54653986e+03
    15.97080   6.62219292e+03
    15.94533   6.65146613e+03
    15.91995   6.57395237e+03
    15.89464   6.63162439e+03
    15.86942   6.65996585e+03
    15.84427   6.60129921e+03
    15.81921   6.62347165e+03
    15.79422   6.60862412e+03
    15.76932   6.58529162e+03
    15.74449   6.54801187e+03
    15.71974   6.71086791e+03
    15.69507   6.61552002e+03
    15.67047   6.62850316e+03
    15.64595   6.79851986e+03
    15.62151   6.60764246e+03
    15.59715   6.59209557e+03
    15.57286   6.84474541e+03
    15.54865   6.67916777e+03
    15.52451   6.68452635e+03
    15.50044   6.88353291e+03
    15.47645   6.70625088e+03
    15.45254   6.48869040e+03
    15.42870   6.58760979e+03
    15.40493   6.46443115e+03
    15.38123   6.60796007e+03
    15.35761   6.84825257e+03
    15.33406   6.67430768e+03
    15.31059   6.49885098e+03
    15.28718   6.86692270e+03
    15.26385   6.73670679e+03
    15.24058   6.57017764e+03
    15.21739   6.86009588e+03
    15.19427   6.78820447e+03
    15.17122   6.86593741e+03
    15.14824   7.06743089e+03
    15.12532   7.02918386e+03
    15.10248   7.12195884e+03
    15.07971   7.11752242e+03
    15.05700   7.18084518e+03
    15.03436   7.18839498e+03
    15.01179   7.31256249e+03
    14.98929   6.46395643e+03
    14.96686   5.41944362e+03
    14.94449   5.76053016e+03
    14.92219   6.15564814e+03
    14.89996   6.43604761e+03
    14.87779   6.81257650e+03
    14.85569   6.93414378e+03
    14.83365   7.07184587e+03
    14.81168   7.19779204e+03
    14.78977   7.13847924e+03
    14.76793   7.17789661e+03
    14.74616   7.30656543e+03
    14.72444   7.11164987e+03
    14.70279   7.26982847e+03
    14.68121   7.11776265e+03
    14.65969   7.05375235e+03
    14.63823   7.28764246e+03
    14.61683   6.84883913e+03
    14.59550   7.15625132e+03
    14.57422   7.33238010e+03
    14.55301   7.18920963e+03
    14.53187   7.51036452e+03
    14.51078   6.89149252e+03
    14.48975   7.03832665e+03
    14.46879   7.28613787e+03
    14.44788   7.19519433e+03
    14.42704   7.31468122e+03
    14.40626   7.43707081e+03
    14.38553   7.30822638e+03
    14.36487   7.56394541e+03
    14.34426   7.35145262e+03
    14.32372   7.50736444e+03
    14.30323   7.54320816e+03
    14.28280   7.45917700e+03
    14.26243   7.71639858e+03
    14.24212   7.46351601e+03
    14.22186   7.61992155e+03
    14.20166   7.60364914e+03
    14.18152   7.53536072e+03
    14.16144   7.63126948e+03
    14.14141   7.69551021e+03
    14.12144   7.71728197e+03
    14.10153   7.81696864e+03
    14.08167   7.70117553e+03
    14.06187   7.75742409e+03
    14.04213   7.93658207e+03
    14.02244   7.78090626e+03
    14.00280   7.97127302e+03
    13.98322   7.79745912e+03
    13.96369   7.84229148e+03
    13.94422   7.83654568e+03
    13.92481   7.65525578e+03
    13.90544   7.60517274e+03
    13.88613   7.36640629e+03
    13.86688   7.94560876e+03
    13.84768   8.09309585e+03
    13.82853   8.07787924e+03
    13.80943   8.14230179e+03
    13.79039   8.16779139e+03
    13.77139   8.23263548e+03
    13.75246   8.21854401e+03
    13.73357   8.27453972e+03
    13.71473   8.30863126e+03
    13.69595   8.25146945e+03
    13.67722   8.32857774e+03
    13.65854   8.36532400e+03
    13.63991   8.33707238e+03
    13.62133   8.39515401e+03
    13.60280   8.36064154e+03
    13.58432   8.37803410e+03
    13.56589   8.41190759e+03
    13.54751   8.33510099e+03
    13.52918   8.41092101e+03
    13.51091   8.32760501e+03
    13.49268   8.12148313e+03
    13.47449   8.48171802e+03
    13.45636   8.62252549e+03
    13.43828   8.60237182e+03
    13.42025   8.57098035e+03
    13.40226   8.69079028e+03
    13.38432   8.65187981e+03
    13.36643   8.67186896e+03
    13.34859   8.72865204e+03
    13.33079   8.70442015e+03
    13.31305   8.71276532e+03
    13.29535   8.75568860e+03
    13.27769   8.69918520e+03
    13.26009   8.68841078e+03
    13.24253   8.76588194e+03
    13.22501   8.72813441e+03
    13.20755   8.68927450e+03
    13.19013   8.90389172e+03
    13.17275   8.87336308e+03
    13.15542   8.87832805e+03
    13.13814   8.96157488e+03
    13.12090   8.92884539e+03
    13.10371   8.93987155e+03
    13.08656   9.01458944e+03
    13.06945   8.95822741e+03
    13.05240   8.96851088e+03
    13.03538   9.01817632e+03
    13.01841   9.02099627e+03
    13.00149   9.02453656e+03
    12.98460   9.03449130e+03
    12.96777   9.11369939e+03
    12.95097   9.11938144e+03
    12.93422   9.13410854e+03
    12.91751   9.16887720e+03
    12.90085   9.17080457e+03
    12.88423   9.18268112e+03
    12.86765   9.20610456e+03
    12.85111   9.20551230e+03
    12.83462   9.24419871e+03
    12.81817   9.25548883e+03
    12.80176   9.25348167e+03
    12.78539   9.29915631e+03
    12.76906   9.31790671e+03
    12.75278   9.33497063e+03
    12.73654   9.35375661e+03
    12.72033   9.36858867e+03
    12.70417   9.37730072e+03
    12.68806   9.40219192e+03
    12.67198   9.42353761e+03
    12.65594   9.42838945e+03
    12.63994   9.40885512e+03
    12.62399   9.42624180e+03
    12.60807   9.47118257e+03
    12.59219   9.49519436e+03
    12.57636   9.51583292e+03
    12.56056   9.53641331e+03
    12.54480   9.55008370e+03
    12.52909   9.56356666e+03
    12.51341   9.58660808e+03
    12.49777   9.60446982e+03
    12.48217   9.61769020e+03
    12.46661   9.63941330e+03
    12.45109   9.65276600e+03
    12.43560   9.66960238e+03
    12.42016   9.68294520e+03
    12.40475   9.70369743e+03
    12.38938   9.71705369e+03
    12.37405   9.73221355e+03
    12.35876   9.74896387e+03
    12.34350   9.76720868e+03
    12.32828   9.78179753e+03
    12.31310   9.79527100e+03
    12.29796   9.81528208e+03
    12.28286   9.82634034e+03
    12.26779   9.84501012e+03
    12.25276   9.86336848e+03
    12.23776   9.87595066e+03
    12.22280   9.89383187e+03
    12.20788   9.90845419e+03
    12.19300   9.92386533e+03
    12.17815   9.94190492e+03
    12.16334   9.95506065e+03
    12.14856   9.97058243e+03
    12.13382   9.98788371e+03
    12.11911   1.00007298e+04
    12.10444   1.00152569e+04
    12.08981   1.00334895e+04
    12.07521   1.00341122e+04
    12.06065   1.00597782e+04
    12.04612   1.00759586e+04
    12.03163   1.00923031e+04
    12.01717   1.01108107e+04
    12.00274   1.01247808e+04
    11.98835   1.01409997e+04
    11.97400   1.01570411e+04
    11.95968   1.01720286e+04
    11.94539   1.01876725e+04
    11.93114   1.02029306e+04
    11.91692   1.02178877e+04
    11.90274   1.02335941e+04
    11.88859   1.02484952e+04
    11.87447   1.02633449e+04
    11.86039   1.02801717e+04
    11.84634   1.02932423e+04
    11.83232   1.03099896e+04
    11.81834   1.03245510e+04
    11.80438   1.03392163e+04
    11.79047   1.03545112e+04
    11.77658   1.03691808e+04
    11.76273   1.03854658e+04
    11.74891   1.03991463e+04
    11.73512   1.04152624e+04
    11.72137   1.04294282e+04
    11.70764   1.04437302e+04
    11.69395   1.04586010e+04
    11.68029   1.04758791e+04
    11.66667   1.04850852e+04
    11.65307   1.05020178e+04
    11.63951   1.05176202e+04
    11.62598   1.05347260e+04
    11.61248   1.05485264e+04
    11.59901   1.05626214e+04
    11.58557   1.05766816e+04
    11.57216   1.05914397e+04
    11.55878   1.06073543e+04
    11.54544   1.06244349e+04
    11.53213   1.06367037e+04
    11.51884   1.06539511e+04
    11.50559   1.06661702e+04
    11.49237   1.06829142e+04
    11.47917   1.06954274e+04
    11.46601   1.07125715e+04
    11.45288   1.07256816e+04
    11.43978   1.07403039e+04
    11.42671   1.07571894e+04
    11.41366   1.07679358e+04
    11.40065   1.07862369e+04
    11.38767   1.07986599e+04
    11.37472   1.08136004e+04
    11.36179   1.08268004e+04
    11.34890   1.08420736e+04
    11.33603   1.08538097e+04
    11.32320   1.08704113e+04
    11.31039   1.08838611e+04
    11.29761   1.09009259e+04
    11.28486   1.09131331e+04
    11.27214   1.09286179e+04
    11.25945   1.09442317e+04
    11.24679   1.09562006e+04
    11.23415   1.09732818e+04
    11.22155   1.09853066e+04
    11.20897   1.10023704e+04
    11.19642   1.10144900e+04
    11.18390   1.10298791e+04
    11.17140   1.10435723e+04
    11.15894   1.10585744e+04
    11.14650   1.10724311e+04
    11.13409   1.10860877e+04
    11.12170   1.11011824e+04
    11.10935   1.11172025e+04
    11.09702   1.11278359e+04
    11.08472   1.11449341e+04
    11.07245   1.11565904e+04
    11.06020   1.11733528e+04
    11.04798   1.11847533e+04
    11.03579   1.12012618e+04
