# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.87212480e+03
    27.92182   2.88562638e+03
    27.84407   2.89914826e+03
    27.76676   2.91268683e+03
    27.68987   2.92624282e+03
    27.61341   2.93974305e+03
    27.53737   2.95333532e+03
    27.46175   2.96694488e+03
    27.38654   2.98057162e+03
    27.31174   2.99421537e+03
    27.23735   3.00787615e+03
    27.16337   3.02155362e+03
    27.08978   3.03524775e+03
    27.01660   3.04895899e+03
    26.94380   3.06268653e+03
    26.87140   3.07643056e+03
    26.79939   3.09019047e+03
    26.72776   3.10396253e+03
    26.65651   3.11775908e+03
    26.58564   3.13156490e+03
    26.51515   3.14539290e+03
    26.44503   3.15923341e+03
    26.37528   3.17308951e+03
    26.30590   3.18696111e+03
    26.23688   3.20084802e+03
    26.16822   3.21475058e+03
    26.09993   3.22866826e+03
    26.03198   3.24260012e+03
    25.96439   3.25654870e+03
    25.89715   3.27051149e+03
    25.83026   3.28448893e+03
    25.76371   3.29848103e+03
    25.69750   3.31248755e+03
    25.63164   3.32650839e+03
    25.56611   3.34054377e+03
    25.50091   3.35459349e+03
    25.43605   3.36865706e+03
    25.37151   3.38272984e+03
    25.30730   3.39682576e+03
    25.24342   3.41093083e+03
    25.17986   3.42504887e+03
    25.11661   3.43917962e+03
    25.05369   3.45332320e+03
    24.99107   3.46748477e+03
    24.92877   3.48165707e+03
    24.86679   3.49584244e+03
    24.80510   3.51004020e+03
    24.74373   3.52425071e+03
    24.68265   3.53847410e+03
    24.62188   3.55271008e+03
    24.56140   3.56693969e+03
    24.50123   3.58120146e+03
    24.44134   3.59547579e+03
    24.38175   3.60976224e+03
    24.32245   3.62406072e+03
    24.26343   3.63837126e+03
    24.20470   3.65269373e+03
    24.14626   3.66702800e+03
    24.08809   3.68137395e+03
    24.03021   3.69573170e+03
    23.97260   3.71010085e+03
    23.91527   3.72447955e+03
    23.85821   3.73886964e+03
    23.80143   3.75327657e+03
    23.74491   3.76769106e+03
    23.68866   3.78211690e+03
    23.63268   3.79655028e+03
    23.57696   3.81100058e+03
    23.52151   3.82545695e+03
    23.46631   3.83992781e+03
    23.41137   3.85440725e+03
    23.35669   3.86889713e+03
    23.30226   3.88339745e+03
    23.24809   3.89790802e+03
    23.19417   3.91242882e+03
    23.14050   3.92695969e+03
    23.08707   3.94150056e+03
    23.03389   3.95605129e+03
    22.98096   3.97061072e+03
    22.92827   3.98517833e+03
    22.87582   3.99976179e+03
    22.82361   4.01435106e+03
    22.77163   4.02894970e+03
    22.71990   4.04355758e+03
    22.66839   4.05817464e+03
    22.61712   4.07280065e+03
    22.56609   4.08743583e+03
    22.51528   4.10207655e+03
    22.46470   4.11673212e+03
    22.41435   4.13139238e+03
    22.36422   4.14606073e+03
    22.31431   4.16074047e+03
    22.26463   4.17542639e+03
    22.21517   4.19012014e+03
    22.16593   4.20482245e+03
    22.11690   4.21953189e+03
    22.06810   4.23424909e+03
    22.01950   4.24897484e+03
    21.97112   4.26370705e+03
    21.92296   4.27844739e+03
    21.87500   4.29316489e+03
    21.82725   4.30792125e+03
    21.77971   4.32268636e+03
    21.73238   4.33745748e+03
    21.68525   4.35223249e+03
    21.63833   4.36701998e+03
    21.59161   4.38181101e+03
    21.54509   4.39660930e+03
    21.49877   4.41141393e+03
    21.45265   4.42622506e+03
    21.40673   4.44104271e+03
    21.36100   4.45586450e+03
    21.31547   4.47069618e+03
    21.27013   4.48553393e+03
    21.22498   4.50037741e+03
    21.18003   4.51522704e+03
    21.13527   4.53008280e+03
    21.09069   4.54494488e+03
    21.04630   4.55981319e+03
    21.00210   4.57468497e+03
    20.95808   4.58956786e+03
    20.91425   4.60445420e+03
    20.87060   4.61934654e+03
    20.82713   4.63424476e+03
    20.78385   4.64914811e+03
    20.74074   4.66405874e+03
    20.69781   4.67897436e+03
    20.65506   4.69389563e+03
    20.61249   4.70882260e+03
    20.57009   4.72375290e+03
    20.52786   4.73869304e+03
    20.48581   4.75363621e+03
    20.44393   4.76858499e+03
    20.40222   4.78353940e+03
    20.36067   4.79849757e+03
    20.31930   4.81346292e+03
    20.27810   4.82843326e+03
    20.23706   4.84340734e+03
    20.19619   4.85838803e+03
    20.15549   4.87337308e+03
    20.11494   4.88836316e+03
    20.07456   4.90335808e+03
    20.03434   4.91835784e+03
    19.99429   4.93336246e+03
