# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   1.12671611e+03
    27.92182   1.13417672e+03
    27.84407   1.13712622e+03
    27.76676   1.45148440e+03
    27.68987   1.18440409e+03
    27.61341   1.27728993e+03
    27.53737   1.16042390e+03
    27.46175   1.28469427e+03
    27.38654   1.43899513e+03
    27.31174   1.28318947e+03
    27.23735   1.36138164e+03
    27.16337   1.17864038e+03
    27.08978   1.18277710e+03
    27.01660   1.18694657e+03
    26.94380   1.19560276e+03
    26.87140   1.20231351e+03
    26.79939   1.20202671e+03
    26.72776   1.21680529e+03
    26.65651   1.21201016e+03
    26.58564   1.22310536e+03
    26.51515   1.22001406e+03
    26.44503   1.22650165e+03
    26.37528   1.52232641e+03
    26.30590   1.60261653e+03
    26.23688   1.23853246e+03
    26.16822   1.25943278e+03
    26.09993   1.29475869e+03
    26.03198   1.25363569e+03
    25.96439   1.25660410e+03
    25.89715   1.34353252e+03
    25.83026   1.44820932e+03
    25.76371   1.72679668e+03
    25.69750   1.27993471e+03
    25.63164   1.28223954e+03
    25.56611   1.28929524e+03
    25.50091   1.30203672e+03
    25.43605   1.34626489e+03
    25.37151   1.30932746e+03
    25.30730   1.30531124e+03
    25.24342   1.30757642e+03
    25.17986   1.31354363e+03
    25.11661   1.32133805e+03
    25.05369   1.33051203e+03
    24.99107   1.32816359e+03
    24.92877   1.33160349e+03
    24.86679   2.14041484e+03
    24.80510   1.54931699e+03
    24.74373   1.35485227e+03
    24.68265   1.35495903e+03
    24.62188   1.38917479e+03
    24.56140   1.37639645e+03
    24.50123   1.37789826e+03
    24.44134   1.37417685e+03
    24.38175   1.77853040e+03
    24.32245   1.49318611e+03
    24.26343   1.40711772e+03
    24.20470   1.79732250e+03
    24.14626   1.50753357e+03
    24.08809   1.40096567e+03
    24.03021   1.43622920e+03
    23.97260   1.42532834e+03
    23.91527   1.41392966e+03
    23.85821   1.42291697e+03
    23.80143   1.41886415e+03
    23.74491   1.42400073e+03
    23.68866   1.50405747e+03
    23.63268   1.43923019e+03
    23.57696   1.43984095e+03
    23.52151   1.44555895e+03
    23.46631   1.49533316e+03
    23.41137   1.80728021e+03
    23.35669   1.62252847e+03
    23.30226   1.47495883e+03
    23.24809   1.54347570e+03
    23.19417   1.47239993e+03
    23.14050   1.58924567e+03
    23.08707   2.02110001e+03
    23.03389   1.53250946e+03
    22.98096   1.48916838e+03
    22.92827   1.50000602e+03
    22.87582   1.84874250e+03
    22.82361   1.67536016e+03
    22.77163   1.57940000e+03
    22.71990   1.68778371e+03
    22.66839   1.56645840e+03
    22.61712   1.51974085e+03
    22.56609   1.68865004e+03
    22.51528   1.53510720e+03
    22.46470   1.55866119e+03
    22.41435   1.53860944e+03
    22.36422   1.54586489e+03
    22.31431   2.16246045e+03
    22.26463   1.56837587e+03
    22.21517   1.55696135e+03
    22.16593   2.72572987e+03
    22.11690   1.56484688e+03
    22.06810   1.57006015e+03
    22.01950   1.71530326e+03
    21.97112   1.57866915e+03
    21.92296   1.65995860e+03
    21.87500   1.58865567e+03
    21.82725   1.59342244e+03
    21.77971   1.64729835e+03
    21.73238   1.61204355e+03
    21.68525   1.61130027e+03
    21.63833   1.61839883e+03
    21.59161   1.61585213e+03
    21.54509   1.67939911e+03
    21.49877   1.77684832e+03
    21.45265   1.81622958e+03
    21.40673   1.66452037e+03
    21.36100   1.64131312e+03
    21.31547   1.64303909e+03
    21.27013   1.64574904e+03
    21.22498   1.65324486e+03
    21.18003   1.65418077e+03
    21.13527   1.65865023e+03
    21.09069   1.67298075e+03
    21.04630   1.76353812e+03
    21.00210   1.67735093e+03
    20.95808   2.19707732e+03
    20.91425   1.86863180e+03
    20.87060   1.84209440e+03
    20.82713   2.09939302e+03
    20.78385   1.69520123e+03
    20.74074   2.14893015e+03
    20.69781   1.88850038e+03
    20.65506   1.70812585e+03
    20.61249   2.84007945e+03
    20.57009   1.72060273e+03
    20.52786   1.94056621e+03
    20.48581   1.73158567e+03
    20.44393   1.72994943e+03
    20.40222   2.22542332e+03
    20.36067   1.74033415e+03
    20.31930   1.74307708e+03
    20.27810   1.86657777e+03
    20.23706   1.75251565e+03
    20.19619   1.77006216e+03
    20.15549   1.78789744e+03
    20.11494   1.90521172e+03
    20.07456   2.09351422e+03
    20.03434   1.93302636e+03
    19.99429   1.82464798e+03
    19.95439   1.78534180e+03
    19.91465   1.78667375e+03
    19.87507   1.81059871e+03
    19.83565   1.79515042e+03
    19.79638   2.03907632e+03
    19.75727   3.00746405e+03
    19.71831   1.80804703e+03
    19.67951   1.81267182e+03
    19.64085   2.59066543e+03
    19.60235   1.82372475e+03
    19.56400   2.44231051e+03
    19.52580   2.27357832e+03
    19.48775   1.85669974e+03
    19.44985   1.84047743e+03
    19.41209   1.84421251e+03
    19.37448   2.25260415e+03
    19.33702   1.85053663e+03
    19.29970   1.85479234e+03
    19.26252   1.85944394e+03
    19.22549   1.90830559e+03
    19.18860   2.89144024e+03
    19.15185   3.56189013e+03
    19.11524   1.88712117e+03
    19.07877   2.68477292e+03
    19.04244   2.55764164e+03
    19.00624   1.89166573e+03
    18.97019   2.05147911e+03
    18.93427   1.94796845e+03
    18.89849   2.10713464e+03
    18.86284   3.87618228e+03
    18.82733   3.07594114e+03
    18.79195   2.18374630e+03
    18.75670   1.92724670e+03
    18.72158   1.92368635e+03
    18.68660   2.26747824e+03
    18.65175   1.93746207e+03
    18.61702   1.93556524e+03
    18.58243   1.94167394e+03
    18.54796   1.94475615e+03
    18.51362   2.03636680e+03
    18.47941   2.01487538e+03
    18.44532   2.29057502e+03
    18.41136   2.08707183e+03
    18.37753   1.96523545e+03
    18.34382   1.98525667e+03
    18.31023   1.97648705e+03
    18.27676   2.63180012e+03
    18.24342   1.97996764e+03
    18.21020   2.94310072e+03
    18.17710   1.98965386e+03
    18.14412   1.99354899e+03
    18.11125   2.46456838e+03
    18.07851   2.10594066e+03
    18.04589   2.00590902e+03
    18.01338   2.14523826e+03
    17.98099   3.73026909e+03
    17.94872   2.01766253e+03
    17.91656   2.03756526e+03
    17.88452   3.39161175e+03
    17.85259   2.10305671e+03
    17.82077   2.03526642e+03
    17.78907   2.19517268e+03
    17.75748   2.21569140e+03
    17.72601   2.04605078e+03
    17.69464   2.09280589e+03
    17.66339   3.46177019e+03
    17.63224   2.06203574e+03
    17.60121   2.39769556e+03
    17.57028   2.06638156e+03
    17.53946   2.88941000e+03
    17.50875   2.07239208e+03
    17.47815   3.00767840e+03
    17.44766   2.13395202e+03
    17.41727   2.08591040e+03
    17.38698   2.09041101e+03
    17.35681   2.09165553e+03
    17.32673   2.10944015e+03
    17.29676   2.34102592e+03
    17.26690   3.12681134e+03
    17.23713   2.10838846e+03
    17.20747   2.11170383e+03
    17.17791   3.28606775e+03
    17.14846   2.17947588e+03
    17.11910   2.12749374e+03
    17.08984   2.12712264e+03
    17.06069   3.07429772e+03
    17.03163   3.78340209e+03
    17.00267   2.66235296e+03
    16.97381   2.14571737e+03
    16.94505   2.29844230e+03
    16.91638   2.92175031e+03
