# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.87183882e+03
    27.92182   2.88533888e+03
    27.84407   2.89885922e+03
    27.76676   2.91239626e+03
    27.68987   2.92595072e+03
    27.61341   2.93945027e+03
    27.53737   2.95304099e+03
    27.46175   2.96664898e+03
    27.38654   2.98027415e+03
    27.31174   2.99391633e+03
    27.23735   3.00757553e+03
    27.16337   3.02125143e+03
    27.08978   3.03494398e+03
    27.01660   3.04865364e+03
    26.94380   3.06237958e+03
    26.87140   3.07612202e+03
    26.79939   3.08988034e+03
    26.72776   3.10365081e+03
    26.65651   3.11744575e+03
    26.58564   3.13124997e+03
    26.51515   3.14507636e+03
    26.44503   3.15891526e+03
    26.37528   3.17276974e+03
    26.30590   3.18663972e+03
    26.23688   3.20052501e+03
    26.16822   3.21442594e+03
    26.09993   3.22834200e+03
    26.03198   3.24227222e+03
    25.96439   3.25621917e+03
    25.89715   3.27018031e+03
    25.83026   3.28415610e+03
    25.76371   3.29814656e+03
    25.69750   3.31215143e+03
    25.63164   3.32617061e+03
    25.56611   3.34020433e+03
    25.50091   3.35425239e+03
    25.43605   3.36831429e+03
    25.37151   3.38238540e+03
    25.30730   3.39647964e+03
    25.24342   3.41058304e+03
    25.17986   3.42469940e+03
    25.11661   3.43882846e+03
    25.05369   3.45297035e+03
    24.99107   3.46713023e+03
    24.92877   3.48130083e+03
    24.86679   3.49548451e+03
    24.80510   3.50968056e+03
    24.74373   3.52388936e+03
    24.68265   3.53811104e+03
    24.62188   3.55232595e+03
    24.56140   3.56657366e+03
    24.50123   3.58083367e+03
    24.44134   3.59510625e+03
    24.38175   3.60939094e+03
    24.32245   3.62368765e+03
    24.26343   3.63799642e+03
    24.20470   3.65231712e+03
    24.14626   3.66664961e+03
    24.08809   3.68099379e+03
    24.03021   3.69534975e+03
    23.97260   3.70971712e+03
    23.91527   3.72409404e+03
    23.85821   3.73848233e+03
    23.80143   3.75288747e+03
    23.74491   3.76730016e+03
    23.68866   3.78172420e+03
    23.63268   3.79615577e+03
    23.57696   3.81060427e+03
    23.52151   3.82505882e+03
    23.46631   3.83952787e+03
    23.41137   3.85400548e+03
    23.35669   3.86849354e+03
    23.30226   3.88299204e+03
    23.24809   3.89750077e+03
    23.19417   3.91201973e+03
    23.14050   3.92654876e+03
    23.08707   3.94108779e+03
    23.03389   3.95563667e+03
    22.98096   3.97019425e+03
    22.92827   3.98476001e+03
    22.87582   3.99934160e+03
    22.82361   4.01392901e+03
    22.77163   4.02852577e+03
    22.71990   4.04313178e+03
    22.66839   4.05774697e+03
    22.61712   4.07237109e+03
    22.56609   4.08700439e+03
    22.51528   4.10164321e+03
    22.46470   4.11629689e+03
    22.41435   4.13095525e+03
    22.36422   4.14562170e+03
    22.31431   4.16029953e+03
    22.26463   4.17498354e+03
    22.21517   4.18967537e+03
    22.16593   4.20437577e+03
    22.11690   4.21908328e+03
    22.06810   4.23379856e+03
    22.01950   4.24852238e+03
    21.97112   4.26325265e+03
    21.92296   4.27796034e+03
    21.87500   4.29270849e+03
    21.82725   4.30746288e+03
    21.77971   4.32222602e+03
    21.73238   4.33699516e+03
    21.68525   4.35176820e+03
    21.63833   4.36655371e+03
    21.59161   4.38134276e+03
    21.54509   4.39613907e+03
    21.49877   4.41094170e+03
    21.45265   4.42575085e+03
    21.40673   4.44056651e+03
    21.36100   4.45538630e+03
    21.31547   4.47021598e+03
    21.27013   4.48505172e+03
    21.22498   4.49989320e+03
    21.18003   4.51474082e+03
    21.13527   4.52959457e+03
    21.09069   4.54445463e+03
    21.04630   4.55932092e+03
    21.00210   4.57419068e+03
    20.95808   4.58907154e+03
    20.91425   4.60395584e+03
    20.87060   4.61884615e+03
    20.82713   4.63374233e+03
    20.78385   4.64864364e+03
    20.74074   4.66355221e+03
    20.69781   4.67846579e+03
    20.65506   4.69338500e+03
    20.61249   4.70830990e+03
    20.57009   4.72323814e+03
