# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.30491707e+03
    27.92182   1.37070963e+03
    27.84407   1.49967792e+03
    27.76676   1.76002280e+03
    27.68987   1.54153823e+03
    27.61341   1.89416172e+03
    27.53737   1.77557027e+03
    27.46175   1.51244288e+03
    27.38654   2.06696883e+03
    27.31174   1.73157606e+03
    27.23735   1.98056831e+03
    27.16337   1.80490811e+03
    27.08978   1.62317708e+03
    27.01660   2.35817306e+03
    26.94380   1.80246132e+03
    26.87140   1.99270964e+03
    26.79939   2.20805471e+03
    26.72776   2.08886466e+03
    26.65651   1.57716450e+03
    26.58564   1.90552854e+03
    26.51515   2.10514546e+03
    26.44503   1.96407375e+03
    26.37528   2.23792828e+03
    26.30590   2.23680532e+03
    26.23688   1.89340900e+03
    26.16822   2.39138784e+03
    26.09993   2.22263180e+03
    26.03198   2.45653426e+03
    25.96439   2.06777601e+03
    25.89715   1.87014016e+03
    25.83026   2.84737884e+03
    25.76371   2.12515409e+03
    25.69750   3.16491029e+03
    25.63164   2.07195800e+03
    25.56611   2.10961811e+03
    25.50091   1.91713061e+03
    25.43605   2.46151360e+03
    25.37151   2.78305026e+03
    25.30730   2.07922107e+03
    25.24342   2.55753386e+03
    25.17986   2.79413220e+03
    25.11661   2.28980829e+03
    25.05369   2.65077005e+03
    24.99107   2.89753114e+03
    24.92877   2.65200742e+03
    24.86679   2.30744793e+03
    24.80510   2.88378879e+03
    24.74373   2.78678377e+03
    24.68265   2.59248171e+03
    24.62188   2.73499710e+03
    24.56140   2.33536666e+03
    24.50123   2.45203700e+03
    24.44134   2.33410270e+03
    24.38175   2.94894142e+03
    24.32245   2.52799265e+03
    24.26343   3.10177563e+03
    24.20470   3.12108527e+03
    24.14626   2.69685737e+03
    24.08809   2.85065855e+03
    24.03021   3.29740473e+03
    23.97260   2.74194485e+03
    23.91527   2.79846784e+03
    23.85821   3.12247611e+03
    23.80143   3.08200932e+03
    23.74491   3.75448807e+03
