# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   1.12687372e+03
    27.92182   1.13590140e+03
    27.84407   1.13762341e+03
    27.76676   1.40840536e+03
    27.68987   1.18996786e+03
    27.61341   1.28709989e+03
    27.53737   1.16253847e+03
    27.46175   1.27249836e+03
    27.38654   1.43915696e+03
    27.31174   1.28498669e+03
    27.23735   1.36679121e+03
    27.16337   1.17907440e+03
    27.08978   1.18310275e+03
    27.01660   1.18705803e+03
    26.94380   1.19695804e+03
    26.87140   1.20446103e+03
    26.79939   1.20248009e+03
    26.72776   1.22316768e+03
    26.65651   1.21312449e+03
    26.58564   1.22771350e+03
    26.51515   1.22032199e+03
    26.44503   1.22746206e+03
    26.37528   1.52921501e+03
    26.30590   1.59765783e+03
    26.23688   1.23881923e+03
    26.16822   1.26475497e+03
    26.09993   1.30719694e+03
    26.03198   1.25458545e+03
    25.96439   1.25673893e+03
    25.89715   1.35132078e+03
    25.83026   1.47520930e+03
    25.76371   1.67411374e+03
    25.69750   1.28170835e+03
    25.63164   1.28313522e+03
    25.56611   1.29097933e+03
    25.50091   1.30598884e+03
    25.43605   1.35995456e+03
    25.37151   1.31551983e+03
    25.30730   1.30621485e+03
    25.24342   1.30770632e+03
    25.17986   1.31444290e+03
    25.11661   1.32393274e+03
    25.05369   1.33563598e+03
    24.99107   1.32941510e+03
    24.92877   1.33204180e+03
    24.86679   1.97013352e+03
    24.80510   1.57535958e+03
    24.74373   1.35824512e+03
    24.68265   1.35708464e+03
    24.62188   1.39810184e+03
    24.56140   1.38158857e+03
    24.50123   1.38216378e+03
    24.44134   1.37647571e+03
    24.38175   1.81020717e+03
    24.32245   1.50954668e+03
    24.26343   1.41519466e+03
    24.20470   1.83236685e+03
    24.14626   1.52774454e+03
    24.08809   1.40304327e+03
    24.03021   1.44792572e+03
    23.97260   1.43200180e+03
    23.91527   1.41667733e+03
    23.85821   1.42794149e+03
    23.80143   1.41929454e+03
    23.74491   1.42447563e+03
    23.68866   1.52392251e+03
    23.63268   1.44314175e+03
    23.57696   1.44100428e+03
    23.52151   1.44768787e+03
    23.46631   1.50991634e+03
    23.41137   1.84581426e+03
    23.35669   1.64891682e+03
    23.30226   1.48057780e+03
    23.24809   1.56080156e+03
    23.19417   1.47388320e+03
    23.14050   1.60981238e+03
    23.08707   2.07578811e+03
    23.03389   1.54664623e+03
    22.98096   1.49025547e+03
    22.92827   1.50448136e+03
    22.87582   1.88686143e+03
    22.82361   1.71301814e+03
    22.77163   1.59401336e+03
    22.71990   1.71928766e+03
    22.66839   1.58058325e+03
    22.61712   1.52008031e+03
    22.56609   1.72825460e+03
    22.51528   1.53887675e+03
    22.46470   1.56702636e+03
    22.41435   1.53938531e+03
    22.36422   1.54809306e+03
    22.31431   2.11381808e+03
    22.26463   1.57451079e+03
    22.21517   1.55768714e+03
    22.16593   2.78766811e+03
    22.11690   1.56521812e+03
    22.06810   1.57087106e+03
    22.01950   1.74409273e+03
    21.97112   1.57910585e+03
    21.92296   1.67965438e+03
    21.87500   1.58948409e+03
    21.82725   1.59470026e+03
    21.77971   1.65957997e+03
    21.73238   1.61595377e+03
    21.68525   1.61463090e+03
    21.63833   1.62194757e+03
    21.59161   1.61666408e+03
    21.54509   1.69566947e+03
    21.49877   1.81652612e+03
    21.45265   1.83681740e+03
    21.40673   1.67452525e+03
    21.36100   1.64394949e+03
    21.31547   1.64432246e+03
    21.27013   1.64618784e+03
    21.22498   1.65461274e+03
    21.18003   1.65439216e+03
    21.13527   1.65890181e+03
    21.09069   1.67652752e+03
    21.04630   1.77639379e+03
    21.00210   1.68007549e+03
    20.95808   2.19661763e+03
    20.91425   1.90413404e+03
    20.87060   1.88122579e+03
    20.82713   2.10911595e+03
    20.78385   1.69592662e+03
    20.74074   2.20635026e+03
    20.69781   1.93131230e+03
    20.65506   1.70866095e+03
    20.61249   2.34129406e+03
    20.57009   1.72292173e+03
    20.52786   1.98861172e+03
    20.48581   1.73395798e+03
    20.44393   1.73042982e+03
    20.40222   2.16366962e+03
    20.36067   1.74158100e+03
    20.31930   1.74360861e+03
    20.27810   1.89838925e+03
    20.23706   1.75332650e+03
    20.19619   1.77456315e+03
    20.15549   1.79666081e+03
    20.11494   1.93630054e+03
    20.07456   2.15579399e+03
    20.03434   1.93521343e+03
    19.99429   1.84041614e+03
    19.95439   1.78721780e+03
    19.91465   1.78736729e+03
    19.87507   1.81629330e+03
    19.83565   1.79567750e+03
    19.79638   2.05265535e+03
    19.75727   3.07573557e+03
    19.71831   1.80850761e+03
    19.67951   1.81325188e+03
    19.64085   2.65657474e+03
    19.60235   1.82543820e+03
    19.56400   2.40850270e+03
    19.52580   2.36938630e+03
    19.48775   1.86424514e+03
    19.44985   1.84194762e+03
    19.41209   1.84545640e+03
    19.37448   2.34030370e+03
    19.33702   1.85101689e+03
    19.29970   1.85517498e+03
    19.26252   1.86005073e+03
    19.22549   1.91782066e+03
