# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.86387926e+03
    27.92182   2.87583445e+03
    27.84407   2.89780653e+03
    27.76676   2.91264535e+03
    27.68987   2.82621164e+03
    27.61341   2.93627961e+03
    27.53737   2.95095484e+03
    27.46175   2.94242172e+03
    27.38654   2.92158418e+03
    27.31174   2.96253388e+03
    27.23735   2.95991034e+03
    27.16337   3.01253165e+03
    27.08978   3.01276445e+03
    27.01660   3.04673510e+03
    26.94380   3.06283754e+03
    26.87140   3.07256582e+03
    26.79939   3.05341847e+03
    26.72776   3.07030729e+03
    26.65651   3.11303096e+03
    26.58564   3.12778450e+03
    26.51515   3.14446302e+03
    26.44503   3.15520833e+03
    26.37528   3.06259522e+03
    26.30590   3.14841448e+03
    26.23688   3.18275852e+03
    26.16822   3.21292406e+03
    26.09993   3.19803323e+03
    26.03198   3.24014507e+03
    25.96439   3.20518724e+03
    25.89715   3.25589661e+03
    25.83026   3.28473199e+03
    25.76371   3.29584577e+03
    25.69750   3.31266050e+03
    25.63164   3.30998064e+03
    25.56611   3.31899579e+03
    25.50091   3.32081679e+03
    25.43605   3.31669291e+03
    25.37151   3.38275221e+03
    25.30730   3.38115602e+03
    25.24342   3.39474504e+03
    25.17986   3.34591513e+03
    25.11661   3.43929942e+03
    25.05369   3.45370400e+03
    24.99107   3.44204897e+03
    24.92877   3.48094436e+03
    24.86679   3.48188899e+03
    24.80510   3.49704659e+03
    24.74373   3.50652797e+03
    24.68265   3.53646660e+03
    24.62188   3.54005188e+03
    24.56140   3.56628368e+03
    24.50123   3.53867895e+03
    24.44134   3.59571262e+03
    24.38175   3.60028813e+03
    24.32245   3.61707010e+03
    24.26343   3.62902766e+03
    24.20470   3.65260602e+03
    24.14626   3.66691782e+03
    24.08809   3.64918416e+03
    24.03021   3.69578444e+03
    23.97260   3.71035881e+03
    23.91527   3.72414140e+03
    23.85821   3.72191847e+03
    23.80143   3.73775479e+03
    23.74491   3.76436172e+03
    23.68866   3.75922946e+03
    23.63268   3.79708126e+03
    23.57696   3.79488793e+03
    23.52151   3.79891795e+03
    23.46631   3.84020355e+03
    23.41137   3.85433952e+03
    23.35669   3.85381255e+03
    23.30226   3.88345012e+03
    23.24809   3.89812498e+03
    23.19417   3.91311808e+03
    23.14050   3.90688931e+03
    23.08707   3.93427560e+03
    23.03389   3.95513461e+03
    22.98096   3.97117544e+03
    22.92827   3.97752553e+03
    22.87582   3.99963796e+03
    22.82361   4.01492290e+03
    22.77163   4.02965540e+03
    22.71990   4.03310088e+03
    22.66839   4.05790434e+03
    22.61712   4.07326822e+03
    22.56609   4.07620502e+03
    22.51528   4.10166399e+03
    22.46470   4.11738944e+03
    22.41435   4.13205355e+03
    22.36422   4.14672577e+03
    22.31431   4.16140911e+03
    22.26463   4.17554767e+03
    22.21517   4.19069905e+03
    22.16593   4.20279304e+03
    22.11690   4.21857260e+03
    22.06810   4.23418576e+03
    22.01950   4.24522070e+03
    21.97112   4.26440128e+03
    21.92296   4.27907537e+03
    21.87500   4.29382592e+03
    21.82725   4.30865295e+03
    21.77971   4.32341859e+03
    21.73238   4.33819035e+03
    21.68525   4.35238252e+03
    21.63833   4.36775416e+03
    21.59161   4.38254587e+03
    21.54509   4.39734484e+03
    21.49877   4.41215016e+03
    21.45265   4.42696200e+03
    21.40673   4.43938020e+03
    21.36100   4.45651713e+03
    21.31547   4.47112481e+03
    21.27013   4.48279237e+03
    21.22498   4.50089352e+03
    21.18003   4.51209578e+03
    21.13527   4.53040125e+03
    21.09069   4.53026363e+03
    21.04630   4.56055690e+03
    21.00210   4.57542962e+03
    20.95808   4.58990308e+03
    20.91425   4.60496468e+03
    20.87060   4.62009348e+03
    20.82713   4.63499253e+03
    20.78385   4.64989676e+03
    20.74074   4.66480817e+03
    20.69781   4.67971190e+03
    20.65506   4.69463549e+03
    20.61249   4.70924923e+03
    20.57009   4.72189609e+03
    20.52786   4.73937222e+03
    20.48581   4.75430415e+03
    20.44393   4.76532223e+03
    20.40222   4.77961504e+03
    20.36067   4.79587608e+03
    20.31930   4.80442095e+03
    20.27810   4.82864735e+03
    20.23706   4.83715825e+03
    20.19619   4.85472693e+03
    20.15549   4.87413840e+03
    20.11494   4.88913043e+03
    20.07456   4.90412728e+03
    20.03434   4.91912895e+03
    19.99429   4.93413546e+03
    19.95439   4.94914494e+03
    19.91465   4.96416219e+03
    19.87507   4.97918320e+03
    19.83565   4.99420821e+03
    19.79638   5.00267457e+03
    19.75727   5.02427282e+03
    19.71831   5.03931208e+03
    19.67951   5.05234021e+03
    19.64085   5.06505800e+03
    19.60235   5.08302794e+03
    19.56400   5.08886288e+03
    19.52580   5.10657589e+03
    19.48775   5.12937735e+03
    19.44985   5.14439738e+03
    19.41209   5.14465268e+03
    19.37448   5.17486130e+03
    19.33702   5.18994330e+03
    19.29970   5.20502984e+03
    19.26252   5.21988687e+03
    19.22549   5.23521526e+03
    19.18860   5.25031400e+03
    19.15185   5.26541672e+03
    19.11524   5.27781715e+03
    19.07877   5.29339120e+03
    19.04244   5.31066042e+03
    19.00624   5.32577889e+03
    18.97019   5.34090441e+03
    18.93427   5.34295816e+03
    18.89849   5.37100367e+03
    18.86284   5.38079586e+03
    18.82733   5.40079453e+03
    18.79195   5.41137494e+03
    18.75670   5.42144588e+03
    18.72158   5.44679237e+03
    18.68660   5.46163053e+03
    18.65175   5.44089127e+03
    18.61702   5.49236244e+03
    18.58243   5.50753056e+03
    18.54796   5.52270159e+03
    18.51362   5.53787848e+03
    18.47941   5.55305848e+03
    18.44532   5.55886324e+03
    18.41136   5.58343083e+03
    18.37753   5.59862310e+03
    18.34382   5.61382031e+03
    18.31023   5.62902159e+03
    18.27676   5.63537171e+03
    18.24342   5.65943752e+03
    18.21020   5.67465278e+03
    18.17710   5.68152702e+03
    18.14412   5.70381594e+03
    18.11125   5.70927936e+03
    18.07851   5.72360349e+03
    18.04589   5.73865485e+03
    18.01338   5.76604461e+03
    17.98099   5.78086200e+03
    17.94872   5.77642808e+03
    17.91656   5.81180957e+03
    17.88452   5.82707547e+03
    17.85259   5.84234676e+03
    17.82077   5.85147353e+03
    17.78907   5.87290620e+03
    17.75748   5.88819448e+03
    17.72601   5.90348763e+03
    17.69464   5.91878784e+03
    17.66339   5.93099589e+03
    17.63224   5.93663982e+03
    17.60121   5.96472127e+03
    17.57028   5.98004399e+03
    17.53946   5.98963162e+03
    17.50875   6.00444362e+03
    17.47815   6.01456688e+03
    17.44766   6.03998836e+03
    17.41727   6.03973956e+03
    17.38698   6.07193783e+03
    17.35681   6.08746151e+03
    17.32673   6.10283339e+03
    17.29676   6.10756181e+03
    17.26690   6.12251949e+03
    17.23713   6.13845377e+03
