# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.87227093e+03
    27.92182   2.88577212e+03
    27.84407   2.89929437e+03
    27.76676   2.91283318e+03
    27.68987   2.92638953e+03
    27.61341   2.93996392e+03
    27.53737   2.95355522e+03
    27.46175   2.96716398e+03
    27.38654   2.98078973e+03
    27.31174   2.99442873e+03
    27.23735   3.00809254e+03
    27.16337   3.02176973e+03
    27.08978   3.03546251e+03
    27.01660   3.04917201e+03
    26.94380   3.06289700e+03
    26.87140   3.07664083e+03
    26.79939   3.09040095e+03
    26.72776   3.10417394e+03
    26.65651   3.11791748e+03
    26.58564   3.13172446e+03
    26.51515   3.14555037e+03
    26.44503   3.15939196e+03
    26.37528   3.17324851e+03
    26.30590   3.18710489e+03
    26.23688   3.20100675e+03
    26.16822   3.21490900e+03
    26.09993   3.22882622e+03
    26.03198   3.24275618e+03
    25.96439   3.25669812e+03
    25.89715   3.27066408e+03
    25.83026   3.28464086e+03
    25.76371   3.29863245e+03
    25.69750   3.31264078e+03
    25.63164   3.32665958e+03
    25.56611   3.34069490e+03
    25.50091   3.35474487e+03
    25.43605   3.36879909e+03
    25.37151   3.38287853e+03
    25.30730   3.39697737e+03
    25.24342   3.41108164e+03
    25.17986   3.42519800e+03
    25.11661   3.43932929e+03
    25.05369   3.45347220e+03
    24.99107   3.46762959e+03
    24.92877   3.48179891e+03
    24.86679   3.49598740e+03
    24.80510   3.51018292e+03
    24.74373   3.52439201e+03
    24.68265   3.53861349e+03
    24.62188   3.55284704e+03
    24.56140   3.56709478e+03
    24.50123   3.58132844e+03
    24.44134   3.59561347e+03
    24.38175   3.60989924e+03
    24.32245   3.62420029e+03
    24.26343   3.63850780e+03
    24.20470   3.65283703e+03
    24.14626   3.66716514e+03
    24.08809   3.68150922e+03
    24.03021   3.69587065e+03
    23.97260   3.71022328e+03
    23.91527   3.72459985e+03
    23.85821   3.73899244e+03
    23.80143   3.75336389e+03
    23.74491   3.76777391e+03
    23.68866   3.78222932e+03
    23.63268   3.79665983e+03
    23.57696   3.81111312e+03
    23.52151   3.82558015e+03
    23.46631   3.84004748e+03
    23.41137   3.85452100e+03
    23.35669   3.86901458e+03
    23.30226   3.88350716e+03
    23.24809   3.89802065e+03
    23.19417   3.91253151e+03
    23.14050   3.92703599e+03
    23.08707   3.94157942e+03
    23.03389   3.95615652e+03
    22.98096   3.97067570e+03
    22.92827   3.98521994e+03
    22.87582   3.99982379e+03
    22.82361   4.01441929e+03
    22.77163   4.02897495e+03
    22.71990   4.04358857e+03
    22.66839   4.05821575e+03
    22.61712   4.07284073e+03
    22.56609   4.08745502e+03
    22.51528   4.10207768e+03
    22.46470   4.11669993e+03
    22.41435   4.13137206e+03
    22.36422   4.14606827e+03
    22.31431   4.16071398e+03
    22.26463   4.17538952e+03
    22.21517   4.19011846e+03
    22.16593   4.20479964e+03
