# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.87250974e+03
    27.92182   2.88601347e+03
    27.84407   2.89953729e+03
    27.76676   2.91307790e+03
    27.68987   2.92663592e+03
    27.61341   2.94021147e+03
    27.53737   2.95380441e+03
    27.46175   2.96741466e+03
    27.38654   2.98104211e+03
    27.31174   2.99468659e+03
    27.23735   3.00834811e+03
    27.16337   3.02202636e+03
    27.08978   3.03572129e+03
    27.01660   3.04943333e+03
    26.94380   3.06316167e+03
    26.87140   3.07690653e+03
    26.79939   3.09066728e+03
    26.72776   3.10444060e+03
    26.65651   3.11818656e+03
    26.58564   3.13199439e+03
    26.51515   3.14582392e+03
    26.44503   3.15966619e+03
    26.37528   3.17352402e+03
    26.30590   3.18739734e+03
    26.23688   3.20128595e+03
    26.16822   3.21519018e+03
    26.09993   3.22910951e+03
    26.03198   3.24304305e+03
    25.96439   3.25699320e+03
    25.89715   3.27095756e+03
    25.83026   3.28493656e+03
    25.76371   3.29893021e+03
    25.69750   3.31293826e+03
    25.63164   3.32696059e+03
    25.56611   3.34099746e+03
    25.50091   3.35504865e+03
    25.43605   3.36911367e+03
    25.37151   3.38318826e+03
    25.30730   3.39728521e+03
    25.24342   3.41139170e+03
    25.17986   3.42551117e+03
    25.11661   3.43964338e+03
    25.05369   3.45378846e+03
    24.99107   3.46795112e+03
    24.92877   3.48212466e+03
    24.86679   3.49631132e+03
    24.80510   3.51051036e+03
    24.74373   3.52472214e+03
    24.68265   3.53894678e+03
    24.62188   3.55318399e+03
    24.56140   3.56743374e+03
    24.50123   3.58169583e+03
    24.44134   3.59596182e+03
    24.38175   3.61024994e+03
    24.32245   3.62455009e+03
    24.26343   3.63886231e+03
    24.20470   3.65318647e+03
    24.14626   3.66752242e+03
    24.08809   3.68187008e+03
    24.03021   3.69622952e+03
    23.97260   3.71060038e+03
    23.91527   3.72498097e+03
    23.85821   3.73937290e+03
    23.80143   3.75378130e+03
    23.74491   3.76819748e+03
    23.68866   3.78262505e+03
    23.63268   3.79706039e+03
    23.57696   3.81151220e+03
    23.52151   3.82597043e+03
    23.46631   3.84044293e+03
    23.41137   3.85492411e+03
    23.35669   3.86941576e+03
    23.30226   3.88391784e+03
    23.24809   3.89843017e+03
    23.19417   3.91295274e+03
    23.14050   3.92748537e+03
    23.08707   3.94202801e+03
    23.03389   3.95658052e+03
    22.98096   3.97114179e+03
    22.92827   3.98571139e+03
    22.87582   4.00029636e+03
    22.82361   4.01488742e+03
    22.77163   4.02948784e+03
    22.71990   4.04409751e+03
    22.66839   4.05871637e+03
    22.61712   4.07334417e+03
    22.56609   4.08798114e+03
    22.51528   4.10255469e+03
    22.46470   4.11721300e+03
    22.41435   4.13187624e+03
    22.36422   4.14654758e+03
    22.31431   4.16123006e+03
    22.26463   4.17591882e+03
    22.21517   4.19061539e+03
    22.16593   4.20532048e+03
    22.11690   4.22003270e+03
    22.06810   4.23475268e+03
    22.01950   4.24948108e+03
    21.97112   4.26421600e+03
    21.92296   4.27895899e+03
    21.87500   4.29370881e+03
    21.82725   4.30846497e+03
    21.77971   4.32322970e+03
    21.73238   4.33800055e+03
    21.68525   4.35277548e+03
    21.63833   4.36756253e+03
    21.59161   4.38235332e+03
    21.54509   4.39715137e+03
    21.49877   4.41195576e+03
    21.45265   4.42676667e+03
    21.40673   4.44158411e+03
    21.36100   4.45640583e+03
    21.31547   4.47123723e+03
    21.27013   4.48607474e+03
    21.22498   4.50091801e+03
    21.18003   4.51576746e+03
    21.13527   4.53062306e+03
    21.09069   4.54548494e+03
    21.04630   4.56035308e+03
    21.00210   4.57522484e+03
    20.95808   4.59010743e+03
    20.91425   4.60499361e+03
    20.87060   4.61988579e+03
    20.82713   4.63478387e+03
    20.78385   4.64968712e+03
    20.74074   4.66459755e+03
    20.69781   4.67950092e+03
    20.65506   4.69442350e+03
    20.61249   4.70935174e+03
    20.57009   4.72428341e+03
    20.52786   4.73922462e+03
    20.48581   4.75416897e+03
    20.44393   4.76911889e+03
    20.40222   4.78407439e+03
    20.36067   4.79903371e+03
    20.31930   4.81400006e+03
    20.27810   4.82897138e+03
    20.23706   4.84394649e+03
    20.19619   4.85892809e+03
    20.15549   4.87391408e+03
    20.11494   4.88890506e+03
    20.07456   4.90390086e+03
    20.03434   4.91890148e+03
    19.99429   4.93390693e+03
    19.95439   4.94891535e+03
    19.91465   4.96393153e+03
    19.87507   4.97895148e+03
    19.83565   4.99397543e+03
    19.79638   5.00900474e+03
    19.75727   5.02403817e+03
    19.71831   5.03907607e+03
    19.67951   5.05411807e+03
    19.64085   5.06916545e+03
    19.60235   5.08421517e+03
    19.56400   5.09927248e+03
    19.52580   5.11433253e+03
    19.48775   5.12939673e+03
    19.44985   5.14446401e+03
    19.41209   5.15953710e+03
    19.37448   5.17461545e+03
    19.33702   5.18969633e+03
    19.29970   5.20478176e+03
    19.26252   5.21987098e+03
    19.22549   5.23496494e+03
    19.18860   5.25006256e+03
    19.15185   5.26516415e+03
    19.11524   5.28026963e+03
    19.07877   5.29529022e+03
    19.04244   5.31040513e+03
    19.00624   5.32552244e+03
    18.97019   5.34064683e+03
    18.93427   5.35577352e+03
    18.89849   5.37090440e+03
    18.86284   5.38603915e+03
    18.82733   5.40117785e+03
    18.79195   5.41632052e+03
    18.75670   5.43146702e+03
    18.72158   5.44661682e+03
    18.68660   5.46177245e+03
    18.65175   5.47693101e+03
    18.61702   5.49209313e+03
    18.58243   5.50726005e+03
    18.54796   5.52242990e+03
    18.51362   5.53760560e+03
    18.47941   5.55278441e+03
    18.44532   5.56796732e+03
    18.41136   5.58315437e+03
    18.37753   5.59834543e+03
    18.34382   5.61354145e+03
    18.31023   5.62874152e+03
    18.27676   5.64394614e+03
    18.24342   5.65915518e+03
    18.21020   5.67436909e+03
    18.17710   5.68958660e+03
    18.14412   5.70481004e+03
    18.11125   5.72003910e+03
    18.07851   5.73527215e+03
    18.04589   5.75051020e+03
    18.01338   5.76575363e+03
    17.98099   5.78100216e+03
    17.94872   5.79625516e+03
    17.91656   5.81151492e+03
    17.88452   5.82677959e+03
    17.85259   5.84204964e+03
    17.82077   5.85732504e+03
    17.78907   5.87260662e+03
    17.75748   5.88789366e+03
    17.72601   5.90318557e+03
    17.69464   5.91848454e+03
    17.66339   5.93378877e+03
    17.63224   5.94909858e+03
    17.60121   5.96441424e+03
    17.57028   5.97973571e+03
    17.53946   5.99504792e+03
    17.50875   6.01038239e+03
    17.47815   6.02572334e+03
    17.44766   6.04106984e+03
    17.41727   6.05642183e+03
    17.38698   6.07178025e+03
    17.35681   6.08714519e+03
    17.32673   6.10251580e+03
    17.29676   6.11789262e+03
    17.26690   6.13327548e+03
    17.23713   6.14866397e+03
    17.20747   6.16405951e+03
    17.17791   6.17946109e+03
    17.14846   6.19486866e+03
    17.11910   6.21028211e+03
    17.08984   6.22570228e+03
    17.06069   6.24112901e+03
    17.03163   6.25656159e+03
    17.00267   6.27200038e+03
    16.97381   6.28744501e+03
    16.94505   6.30289678e+03
    16.91638   6.31835446e+03
    16.88782   6.33381821e+03
    16.85934   6.34928863e+03
    16.83097   6.36476513e+03
    16.80269   6.38024803e+03
    16.77450   6.39573725e+03
    16.74641   6.41123282e+03
    16.71841   6.42673437e+03
    16.69051   6.44224307e+03
    16.66270   6.45775706e+03
    16.63498   6.47327887e+03
    16.60735   6.48880637e+03
    16.57982   6.50434081e+03
    16.55238   6.51988174e+03
    16.52502   6.53542945e+03
    16.49776   6.55098383e+03
    16.47059   6.56654511e+03
    16.44350   6.58211361e+03
    16.41651   6.59768910e+03
    16.38960   6.61327134e+03
    16.36279   6.62886145e+03
    16.33606   6.64445829e+03
    16.30941   6.66006296e+03
    16.28286   6.67567479e+03
    16.25639   6.69129441e+03
