# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   1.12687124e+03
    27.92182   1.13587081e+03
    27.84407   1.13763678e+03
    27.76676   1.50305271e+03
    27.68987   1.19663444e+03
    27.61341   1.30297097e+03
    27.53737   1.16271155e+03
    27.46175   1.30831547e+03
    27.38654   1.48102350e+03
    27.31174   1.30318979e+03
    27.23735   1.39325691e+03
    27.16337   1.17907666e+03
    27.08978   1.18309312e+03
    27.01660   1.18705548e+03
    26.94380   1.19706986e+03
    26.87140   1.20462433e+03
    26.79939   1.20246283e+03
    26.72776   1.22306530e+03
    26.65651   1.21310299e+03
    26.58564   1.22762662e+03
    26.51515   1.22031086e+03
    26.44503   1.22747602e+03
    26.37528   1.55953737e+03
    26.30590   1.64845139e+03
    26.23688   1.23881343e+03
    26.16822   1.26497308e+03
    26.09993   1.31002539e+03
    26.03198   1.25454907e+03
    25.96439   1.25673559e+03
    25.89715   1.36318147e+03
    25.83026   1.47625838e+03
    25.76371   1.77406679e+03
    25.69750   1.28166952e+03
    25.63164   1.28314577e+03
    25.56611   1.29099685e+03
    25.50091   1.30669920e+03
    25.43605   1.36140393e+03
    25.37151   1.31541279e+03
    25.30730   1.30622610e+03
    25.24342   1.30770335e+03
    25.17986   1.31442976e+03
    25.11661   1.32388434e+03
    25.05369   1.33554623e+03
    24.99107   1.32939114e+03
    24.92877   1.33202119e+03
    24.86679   2.19250787e+03
    24.80510   1.58175461e+03
    24.74373   1.35825002e+03
    24.68265   1.35711228e+03
    24.62188   1.39853994e+03
    24.56140   1.38195958e+03
    24.50123   1.38239477e+03
    24.44134   1.37654010e+03
    24.38175   1.82614110e+03
    24.32245   1.51567267e+03
    24.26343   1.41515895e+03
    24.20470   1.84307279e+03
    24.14626   1.53233756e+03
    24.08809   1.40305296e+03
    24.03021   1.44785829e+03
    23.97260   1.43236882e+03
    23.91527   1.41662767e+03
    23.85821   1.42784065e+03
    23.80143   1.41928842e+03
    23.74491   1.42445698e+03
    23.68866   1.52546613e+03
    23.63268   1.44306114e+03
    23.57696   1.44099307e+03
    23.52151   1.44762755e+03
    23.46631   1.51263647e+03
    23.41137   1.86097548e+03
    23.35669   1.65120268e+03
    23.30226   1.48046155e+03
    23.24809   1.56254948e+03
    23.19417   1.47385921e+03
    23.14050   1.61618079e+03
    23.08707   2.08205152e+03
    23.03389   1.54808337e+03
    22.98096   1.49022164e+03
    22.92827   1.50437965e+03
    22.87582   1.89288097e+03
    22.82361   1.71480498e+03
    22.77163   1.60071301e+03
    22.71990   1.71887590e+03
    22.66839   1.58142098e+03
    22.61712   1.52006810e+03
    22.56609   1.72750904e+03
    22.51528   1.53878888e+03
    22.46470   1.56685508e+03
    22.41435   1.53935773e+03
    22.36422   1.54803525e+03
    22.31431   2.22693144e+03
    22.26463   1.57438307e+03
    22.21517   1.55766138e+03
    22.16593   2.78682737e+03
    22.11690   1.56520513e+03
    22.06810   1.57085317e+03
