# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.87227183e+03
    27.92182   2.88577407e+03
    27.84407   2.89929639e+03
    27.76676   2.91283549e+03
    27.68987   2.92639201e+03
    27.61341   2.93996605e+03
    27.53737   2.95355747e+03
    27.46175   2.96716619e+03
    27.38654   2.98079211e+03
    27.31174   2.99443506e+03
    27.23735   3.00809503e+03
    27.16337   3.02177173e+03
    27.08978   3.03546511e+03
    27.01660   3.04917558e+03
    26.94380   3.06290235e+03
    26.87140   3.07664563e+03
    26.79939   3.09040480e+03
    26.72776   3.10417653e+03
    26.65651   3.11792130e+03
    26.58564   3.13172752e+03
    26.51515   3.14555542e+03
    26.44503   3.15939607e+03
    26.37528   3.17325227e+03
    26.30590   3.18712395e+03
    26.23688   3.20101091e+03
    26.16822   3.21491348e+03
    26.09993   3.22883116e+03
    26.03198   3.24276303e+03
    25.96439   3.25671151e+03
    25.89715   3.27067418e+03
    25.83026   3.28465150e+03
    25.76371   3.29864345e+03
    25.69750   3.31264980e+03
    25.63164   3.32667043e+03
    25.56611   3.34070558e+03
    25.50091   3.35475506e+03
    25.43605   3.36881835e+03
    25.37151   3.38289120e+03
    25.30730   3.39698641e+03
    25.24342   3.41109114e+03
    25.17986   3.42520886e+03
    25.11661   3.43933931e+03
    25.05369   3.45348261e+03
    24.99107   3.46764350e+03
    24.92877   3.48181526e+03
    24.86679   3.49600013e+03
    24.80510   3.51019737e+03
    24.74373   3.52440734e+03
    24.68265   3.53863016e+03
    24.62188   3.55286556e+03
    24.56140   3.56711347e+03
    24.50123   3.58136420e+03
    24.44134   3.59563834e+03
    24.38175   3.60992460e+03
    24.32245   3.62422287e+03
    24.26343   3.63853321e+03
    24.20470   3.65285548e+03
    24.14626   3.66718954e+03
    24.08809   3.68153530e+03
    24.03021   3.69589283e+03
    23.97260   3.71026177e+03
    23.91527   3.72464044e+03
    23.85821   3.73903043e+03
    23.80143   3.75343689e+03
    23.74491   3.76785112e+03
    23.68866   3.78227673e+03
    23.63268   3.79671011e+03
    23.57696   3.81115995e+03
    23.52151   3.82561619e+03
    23.46631   3.84008670e+03
    23.41137   3.85456589e+03
    23.35669   3.86905553e+03
    23.30226   3.88355559e+03
    23.24809   3.89806590e+03
    23.19417   3.91258643e+03
    23.14050   3.92711703e+03
    23.08707   3.94165762e+03
    23.03389   3.95620807e+03
    22.98096   3.97076727e+03
    22.92827   3.98533478e+03
    22.87582   3.99991768e+03
    22.82361   4.01450663e+03
    22.77163   4.02910495e+03
    22.71990   4.04371251e+03
    22.66839   4.05832924e+03
    22.61712   4.07295490e+03
    22.56609   4.08758974e+03
    22.51528   4.10216171e+03
    22.46470   4.11681785e+03
    22.41435   4.13147890e+03
    22.36422   4.14614804e+03
    22.31431   4.16082831e+03
    22.26463   4.17551486e+03
    22.21517   4.19020920e+03
    22.16593   4.20491206e+03
    22.11690   4.21962204e+03
    22.06810   4.23433976e+03
    22.01950   4.24906591e+03
    21.97112   4.26379855e+03
    21.92296   4.27853927e+03
    21.87500   4.29328680e+03
    21.82725   4.30804066e+03
    21.77971   4.32280309e+03
    21.73238   4.33757163e+03
    21.68525   4.35234424e+03
    21.63833   4.36712896e+03
    21.59161   4.38191740e+03
    21.54509   4.39671311e+03
    21.49877   4.41151514e+03
    21.45265   4.42632369e+03
    21.40673   4.44113875e+03
    21.36100   4.45595809e+03
    21.31547   4.47078710e+03
    21.27013   4.48562220e+03
    21.22498   4.50046305e+03
    21.18003   4.51531008e+03
    21.13527   4.53016324e+03
    21.09069   4.54502268e+03
    21.04630   4.55988837e+03
    21.00210   4.57475767e+03
    20.95808   4.58963778e+03
    20.91425   4.60452147e+03
    20.87060   4.61941116e+03
    20.82713   4.63430673e+03
    20.78385   4.64920746e+03
    20.74074   4.66410242e+03
    20.69781   4.67901684e+03
    20.65506   4.69393686e+03
    20.61249   4.70886252e+03
    20.57009   4.72379160e+03
    20.52786   4.73873021e+03
    20.48581   4.75367196e+03
    20.44393   4.76861927e+03
    20.40222   4.78357214e+03
    20.36067   4.79852882e+03
    20.31930   4.81349253e+03
    20.27810   4.82846119e+03
    20.23706   4.84343364e+03
    20.19619   4.85841257e+03
    20.15549   4.87339587e+03
    20.11494   4.88838416e+03
    20.07456   4.90337726e+03
    20.03434   4.91837517e+03
    19.99429   4.93337790e+03
    19.95439   4.94838359e+03
    19.91465   4.96339704e+03
    19.87507   4.97841424e+03
    19.83565   4.99343544e+03
    19.79638   5.00846199e+03
    19.75727   5.02349264e+03
    19.71831   5.03852776e+03
    19.67951   5.05356697e+03
    19.64085   5.06861155e+03
    19.60235   5.08365847e+03
    19.56400   5.09871296e+03
    19.52580   5.11377018e+03
    19.48775   5.12883154e+03
    19.44985   5.14389542e+03
    19.41209   5.15896622e+03
    19.37448   5.17404171e+03
    19.33702   5.18911971e+03
    19.29970   5.20420145e+03
    19.26252   5.21928860e+03
    19.22549   5.23437966e+03
    19.18860   5.24947437e+03
    19.15185   5.26457188e+03
    19.11524   5.27958593e+03
    19.07877   5.29469403e+03
    19.04244   5.30980597e+03
    19.00624   5.32491866e+03
    18.97019   5.34004172e+03
    18.93427   5.35516543e+03
    18.89849   5.37029332e+03
    18.86284   5.38542272e+03
    18.82733   5.40056076e+03
    18.79195   5.41570041e+03
    18.75670   5.43084388e+03
    18.72158   5.44598733e+03
    18.68660   5.46114325e+03
    18.65175   5.47629876e+03
    18.61702   5.49145782e+03
    18.58243   5.50661700e+03
    18.54796   5.52178846e+03
    18.51362   5.53696110e+03
    18.47941   5.55213683e+03
    18.44532   5.56731008e+03
    18.41136   5.58250060e+03
    18.37753   5.59768858e+03
    18.34382   5.61288149e+03
    18.31023   5.62806924e+03
    18.27676   5.64327995e+03
    18.24342   5.65848587e+03
