# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.11814113e+03
    27.92182   1.40750481e+03
    27.84407   1.51953946e+03
    27.76676   1.71793230e+03
    27.68987   1.55507962e+03
    27.61341   1.81900304e+03
    27.53737   1.73519228e+03
    27.46175   1.53510745e+03
    27.38654   1.95303060e+03
    27.31174   1.70776978e+03
    27.23735   1.89247651e+03
    27.16337   1.76525328e+03
    27.08978   1.62982742e+03
    27.01660   2.17454585e+03
    26.94380   1.76889082e+03
    26.87140   1.91296736e+03
    26.79939   2.07999284e+03
    26.72776   1.98306087e+03
    26.65651   1.60369578e+03
    26.58564   1.85576938e+03
    26.51515   2.00136855e+03
    26.44503   1.90145394e+03
    26.37528   2.10236133e+03
    26.30590   2.10362688e+03
    26.23688   1.85619388e+03
    26.16822   2.22587022e+03
    26.09993   2.09979188e+03
    26.03198   2.28135471e+03
    25.96439   1.99076572e+03
    25.89715   1.84768018e+03
    25.83026   2.60529601e+03
    25.76371   2.03977285e+03
    25.69750   2.99908279e+03
    25.63164   2.00357369e+03
    25.56611   2.03430194e+03
    25.50091   1.89465193e+03
    25.43605   2.29283974e+03
    25.37151   2.55224117e+03
    25.30730   2.02036036e+03
    25.24342   2.37188816e+03
    25.17986   2.56898530e+03
    25.11661   2.17664604e+03
    25.05369   2.44924507e+03
    24.99107   2.66189733e+03
    24.92877   2.46643522e+03
    24.86679   2.19766968e+03
    24.80510   2.65336811e+03
    24.74373   2.56715069e+03
    24.68265   2.42164411e+03
    24.62188   2.52857320e+03
    24.56140   2.23001341e+03
    24.50123   2.31589630e+03
    24.44134   2.23424326e+03
    24.38175   2.70047176e+03
    24.32245   2.37858110e+03
    24.26343   2.83807630e+03
    24.20470   2.85703668e+03
    24.14626   2.50836956e+03
    24.08809   2.64491912e+03
    24.03021   3.03689584e+03
    23.97260   2.55191673e+03
    23.91527   2.60414973e+03
    23.85821   2.86311894e+03
    23.80143   2.82768821e+03
    23.74491   3.73309619e+03
    23.68866   2.77334314e+03
    23.63268   2.79923499e+03
    23.57696   2.85911080e+03
    23.52151   2.86568385e+03
    23.46631   2.62888649e+03
    23.41137   2.98847079e+03
    23.35669   3.13636855e+03
    23.30226   3.88276215e+03
    23.24809   2.87683820e+03
    23.19417   3.23469219e+03
    23.14050   2.84703636e+03
    23.08707   3.61947677e+03
    23.03389   2.85373045e+03
    22.98096   3.96832950e+03
    22.92827   3.65637720e+03
    22.87582   3.40454739e+03
    22.82361   3.47892682e+03
    22.77163   2.57397222e+03
    22.71990   3.81147521e+03
    22.66839   3.30290167e+03
    22.61712   3.36248069e+03
    22.56609   4.08662997e+03
    22.51528   3.51554358e+03
    22.46470   4.11627342e+03
    22.41435   4.13123629e+03
    22.36422   2.72857066e+03
    22.31431   2.77801104e+03
    22.26463   4.17549300e+03
    22.21517   4.19017488e+03
    22.16593   4.20381222e+03
    22.11690   4.21824347e+03
    22.06810   2.55315091e+03
    22.01950   3.96653086e+03
    21.97112   4.26289053e+03
    21.92296   3.35865872e+03
    21.87500   4.29049938e+03
    21.82725   4.30719237e+03
    21.77971   2.97413752e+03
    21.73238   3.23830315e+03
    21.68525   4.35204957e+03
    21.63833   4.36604989e+03
    21.59161   3.13350924e+03
    21.54509   4.39622010e+03
    21.49877   4.41069202e+03
    21.45265   2.94493632e+03
    21.40673   2.99347756e+03
    21.36100   4.45555342e+03
    21.31547   3.02980096e+03
    21.27013   4.48460708e+03
    21.22498   2.88574157e+03
    21.18003   4.51402725e+03
    21.13527   4.52826545e+03
    21.09069   4.54469277e+03
    21.04630   2.90072723e+03
    21.00210   4.56360294e+03
    20.95808   3.31336848e+03
    20.91425   4.55864741e+03
    20.87060   4.61625867e+03
    20.82713   3.32527628e+03
    20.78385   4.58587383e+03
    20.74074   4.43347943e+03
    20.69781   4.67804097e+03
    20.65506   4.69393966e+03
    20.61249   2.56251782e+03
    20.57009   4.67319951e+03
    20.52786   4.73745203e+03
    20.48581   3.29767800e+03
    20.44393   4.76862530e+03
    20.40222   2.89527818e+03
    20.36067   2.80370177e+03
    20.31930   4.68269442e+03
    20.27810   4.82737691e+03
    20.23706   4.84041117e+03
    20.19619   3.37881901e+03
    20.15549   4.87301221e+03
    20.11494   4.88824357e+03
    20.07456   4.90259863e+03
    20.03434   2.78742331e+03
    19.99429   4.62404188e+03
    19.95439   4.91533043e+03
    19.91465   4.81380319e+03
    19.87507   3.27566068e+03
    19.83565   4.93604457e+03
    19.79638   3.25694297e+03
    19.75727   5.02300125e+03
    19.71831   3.89754422e+03
    19.67951   4.99466216e+03
    19.64085   5.03794742e+03
    19.60235   5.08142041e+03
    19.56400   3.50437688e+03
    19.52580   5.08081501e+03
    19.48775   5.07051293e+03
    19.44985   5.14335508e+03
    19.41209   2.80953661e+03
    19.37448   5.17243820e+03
    19.33702   5.18812580e+03
    19.29970   3.27912951e+03
    19.26252   5.18869817e+03
    19.22549   3.23663895e+03
    19.18860   2.69655555e+03
    19.15185   5.13179827e+03
    19.11524   5.27926876e+03
    19.07877   5.24406380e+03
    19.04244   5.25918477e+03
    19.00624   5.10699745e+03
    18.97019   5.33991427e+03
    18.93427   3.92625332e+03
    18.89849   5.36669228e+03
    18.86284   5.38483005e+03
    18.82733   5.32760801e+03
    18.79195   2.94610430e+03
    18.75670   5.42892396e+03
    18.72158   5.25241852e+03
    18.68660   3.33245135e+03
    18.65175   3.24577314e+03
    18.61702   5.41662771e+03
    18.58243   5.34847167e+03
    18.54796   5.39784129e+03
    18.51362   5.48188855e+03
    18.47941   5.49159054e+03
    18.44532   5.44296443e+03
    18.41136   5.44383074e+03
    18.37753   5.54071650e+03
    18.34382   5.55577984e+03
    18.31023   5.55823473e+03
    18.27676   5.58996393e+03
    18.24342   5.29866734e+03
    18.21020   3.29713803e+03
    18.17710   5.55395789e+03
    18.14412   5.62711309e+03
    18.11125   3.50682805e+03
    18.07851   3.34434631e+03
    18.04589   2.73114321e+03
    18.01338   5.63339331e+03
    17.98099   5.58144741e+03
    17.94872   5.72812516e+03
    17.91656   5.60773370e+03
    17.88452   5.73895131e+03
    17.85259   5.35426590e+03
    17.82077   5.38872654e+03
    17.78907   5.73742055e+03
    17.75748   5.62402477e+03
    17.72601   5.87905542e+03
    17.69464   5.85437282e+03
    17.66339   5.66811833e+03
    17.63224   5.94837510e+03
    17.60121   5.88431793e+03
    17.57028   5.37798736e+03
    17.53946   3.98072710e+03
    17.50875   3.52752098e+03
    17.47815   5.82064932e+03
    17.44766   5.30775893e+03
    17.41727   4.92544828e+03
    17.38698   4.79944101e+03
    17.35681   5.77319510e+03
    17.32673   5.72872241e+03
    17.29676   5.78824515e+03
    17.26690   5.74009466e+03
    17.23713   4.88466704e+03
    17.20747   5.73568652e+03
    17.17791   4.28980814e+03
    17.14846   5.65414980e+03
    17.11910   5.93067237e+03
    17.08984   4.20620576e+03
    17.06069   5.95791988e+03
    17.03163   6.12245817e+03
    17.00267   6.13281971e+03
    16.97381   4.63614947e+03
    16.94505   2.62511866e+03
    16.91638   5.76989678e+03
    16.88782   6.00621423e+03
    16.85934   5.78849613e+03
    16.83097   3.83172786e+03
    16.80269   6.12518737e+03
    16.77450   4.40596216e+03
    16.74641   5.81852639e+03
    16.71841   5.31013731e+03
    16.69051   3.99084130e+03
    16.66270   5.76693784e+03
    16.63498   6.47227924e+03
    16.60735   3.35248849e+03
    16.57982   3.07241339e+03
    16.55238   6.03222924e+03
    16.52502   5.61327766e+03
    16.49776   5.37513222e+03
    16.47059   3.56559579e+03
    16.44350   4.08274322e+03
    16.41651   4.46865539e+03
    16.38960   5.93103947e+03
    16.36279   3.40895048e+03
    16.33606   4.55864872e+03
    16.30941   3.95844297e+03
    16.28286   6.67388550e+03
    16.25639   2.70413137e+03
    16.23000   5.91251859e+03
    16.20370   3.13971611e+03
    16.17749   3.11068206e+03
    16.15136   4.88860259e+03
    16.12532   3.69162024e+03
    16.09936   2.80471897e+03
    16.07348   6.79930591e+03
    16.04768   2.63710295e+03
    16.02197   2.97597225e+03
    15.99634   3.11361906e+03
    15.97080   2.87340267e+03
    15.94533   3.19546349e+03
    15.91995   2.57513216e+03
    15.89464   3.16382864e+03
    15.86942   2.59299252e+03
    15.84427   3.90295297e+03
    15.81921   3.68753240e+03
    15.79422   2.86450939e+03
    15.76932   5.95779674e+03
    15.74449   3.50872062e+03
    15.71974   5.08357089e+03
    15.69507   3.11537303e+03
    15.67047   5.51316821e+03
    15.64595   4.89174616e+03
    15.62151   5.45150340e+03
    15.59715   3.91820089e+03
    15.57286   3.44869206e+03
    15.54865   6.24758116e+03
    15.52451   4.80608793e+03
    15.50044   5.49391353e+03
    15.47645   5.36073266e+03
    15.45254   4.73785660e+03
    15.42870   4.26713528e+03
    15.40493   5.00477136e+03
    15.38123   5.45167274e+03
    15.35761   5.08766105e+03
    15.33406   6.64619394e+03
    15.31059   4.94276097e+03
    15.28718   4.80419015e+03
    15.26385   4.70903424e+03
    15.24058   5.17541619e+03
    15.21739   4.95869021e+03
    15.19427   6.02281699e+03
    15.17122   4.28310353e+03
    15.14824   5.81301455e+03
    15.12532   5.28633597e+03
    15.10248   6.20961249e+03
    15.07971   4.59445472e+03
    15.05700   6.30988218e+03
    15.03436   6.19725142e+03
