# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.84238966e+03
    27.92182   2.84985990e+03
    27.84407   2.89308447e+03
    27.76676   2.91122635e+03
    27.68987   2.63411194e+03
    27.61341   2.92442015e+03
    27.53737   2.94292940e+03
    27.46175   2.88843992e+03
    27.38654   2.80132780e+03
    27.31174   2.89805804e+03
    27.23735   2.85706421e+03
    27.16337   2.99347803e+03
    27.08978   2.96218125e+03
    27.01660   3.03906245e+03
    26.94380   3.06167424e+03
    26.87140   3.05996937e+03
    26.79939   2.97268921e+03
    26.72776   2.99635899e+03
    26.65651   3.09795970e+03
    26.58564   3.11582476e+03
    26.51515   3.14075665e+03
    26.44503   3.14381894e+03
    26.37528   2.86106559e+03
    26.30590   3.06952428e+03
    26.23688   3.14300296e+03
    26.16822   3.20718598e+03
    26.09993   3.13287630e+03
    26.03198   3.23229700e+03
    25.96439   3.09681106e+03
    25.89715   3.22296172e+03
    25.83026   3.28391151e+03
    25.76371   3.28696753e+03
    25.69750   3.31160439e+03
    25.63164   3.27318627e+03
    25.56611   3.27182077e+03
    25.50091   3.25726014e+03
    25.43605   3.21677996e+03
    25.37151   3.38124379e+03
    25.30730   3.34756435e+03
    25.24342   3.35753509e+03
    25.17986   3.19551109e+03
    25.11661   3.43810191e+03
    25.05369   3.45369227e+03
    24.99107   3.38886642e+03
    24.92877   3.47746891e+03
    24.86679   3.45159616e+03
    24.80510   3.46885781e+03
    24.74373   3.46675370e+03
    24.68265   3.52938464e+03
    24.62188   3.51439131e+03
    24.56140   3.56297662e+03
    24.50123   3.45162448e+03
    24.44134   3.59479333e+03
    24.38175   3.58083637e+03
    24.32245   3.60045805e+03
    24.26343   3.60849578e+03
    24.20470   3.65082294e+03
    24.14626   3.66500395e+03
    24.08809   3.58316621e+03
    24.03021   3.69440735e+03
    23.97260   3.70951696e+03
    23.91527   3.72175634e+03
    23.85821   3.68637722e+03
    23.80143   3.70541848e+03
    23.74491   3.75600298e+03
    23.68866   3.71014320e+03
    23.63268   3.79692373e+03
    23.57696   3.76223161e+03
    23.52151   3.74588404e+03
    23.46631   3.83938362e+03
    23.41137   3.85264247e+03
    23.35669   3.82310440e+03
    23.30226   3.88205427e+03
    23.24809   3.89709448e+03
    23.19417   3.91335903e+03
    23.14050   3.86216227e+03
    23.08707   3.92023913e+03
    23.03389   3.95043921e+03
    22.98096   3.97103615e+03
    22.92827   3.96122675e+03
    22.87582   3.99769391e+03
    22.82361   4.01490761e+03
    22.77163   4.02992813e+03
    22.71990   4.01036553e+03
    22.66839   4.05574516e+03
    22.61712   4.07340338e+03
    22.56609   4.05294996e+03
    22.51528   4.09885653e+03
    22.46470   4.11776122e+03
    22.41435   4.13242692e+03
    22.36422   4.14709982e+03
    22.31431   4.16179213e+03
    22.26463   4.17426861e+03
    22.21517   4.19083091e+03
    22.16593   4.19500397e+03
    22.11690   4.21401567e+03
    22.06810   4.23256651e+03
    22.01950   4.23228946e+03
    21.97112   4.26481180e+03
    21.92296   4.27928480e+03
    21.87500   4.29403902e+03
    21.82725   4.30904586e+03
    21.77971   4.32382143e+03
    21.73238   4.33860071e+03
    21.68525   4.35123707e+03
    21.63833   4.36817964e+03
    21.59161   4.38297828e+03
    21.54509   4.39778575e+03
    21.49877   4.41259890e+03
    21.45265   4.42741850e+03
    21.40673   4.43273046e+03
