# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.87371384e+03
    27.92182   2.88722061e+03
    27.84407   2.90075421e+03
    27.76676   2.91430172e+03
    27.68987   2.92786620e+03
    27.61341   2.94144830e+03
    27.53737   2.95504778e+03
    27.46175   2.96866463e+03
    27.38654   2.98222405e+03
    27.31174   2.99587646e+03
    27.23735   3.00954605e+03
    27.16337   3.02323197e+03
    27.08978   3.03693431e+03
    27.01660   3.05065500e+03
    26.94380   3.06439141e+03
    26.87140   3.07814446e+03
    26.79939   3.09191233e+03
    26.72776   3.10568138e+03
    26.65651   3.11949729e+03
    26.58564   3.13330468e+03
    26.51515   3.14715078e+03
    26.44503   3.16100074e+03
    26.37528   3.17486603e+03
    26.30590   3.18874667e+03
    26.23688   3.20264222e+03
    26.16822   3.21655417e+03
    26.09993   3.23048101e+03
    26.03198   3.24441956e+03
    25.96439   3.25837933e+03
    25.89715   3.27235158e+03
    25.83026   3.28633819e+03
    25.76371   3.30033953e+03
    25.69750   3.31435503e+03
    25.63164   3.32838464e+03
    25.56611   3.34242942e+03
    25.50091   3.35648895e+03
    25.43605   3.37056184e+03
    25.37151   3.38463139e+03
    25.30730   3.39874887e+03
    25.24342   3.41286337e+03
    25.17986   3.42698925e+03
    25.11661   3.44112588e+03
    25.05369   3.45527391e+03
    24.99107   3.46945258e+03
    24.92877   3.48363575e+03
    24.86679   3.49783197e+03
    24.80510   3.51203921e+03
    24.74373   3.52625905e+03
    24.68265   3.54049209e+03
    24.62188   3.55473764e+03
    24.56140   3.56899572e+03
    24.50123   3.58326600e+03
    24.44134   3.59754952e+03
    24.38175   3.61182580e+03
    24.32245   3.62613412e+03
    24.26343   3.64045461e+03
    24.20470   3.65478708e+03
    24.14626   3.66913128e+03
    24.08809   3.68348706e+03
    24.03021   3.69785500e+03
    23.97260   3.71223405e+03
    23.91527   3.72661753e+03
    23.85821   3.74101266e+03
    23.80143   3.75543924e+03
    23.74491   3.76986401e+03
    23.68866   3.78430076e+03
    23.63268   3.79873605e+03
    23.57696   3.81320427e+03
    23.52151   3.82766618e+03
    23.46631   3.84215247e+03
    23.41137   3.85664217e+03
    23.35669   3.87114226e+03
    23.30226   3.88565292e+03
    23.24809   3.90017377e+03
    23.19417   3.91470496e+03
    23.14050   3.92924624e+03
    23.08707   3.94379755e+03
    23.03389   3.95835870e+03
    22.98096   3.97292578e+03
    22.92827   3.98749707e+03
    22.87582   4.00210066e+03
    22.82361   4.01670049e+03
    22.77163   4.03130970e+03
    22.71990   4.04592812e+03
    22.66839   4.06055580e+03
    22.61712   4.07519218e+03
    22.56609   4.08983843e+03
    22.51528   4.10448171e+03
    22.46470   4.11915606e+03
    22.41435   4.13382508e+03
    22.36422   4.14850127e+03
    22.31431   4.16319692e+03
    22.26463   4.17789357e+03
    22.21517   4.19259750e+03
    22.16593   4.20731154e+03
    22.11690   4.22203094e+03
    22.06810   4.23675823e+03
    22.01950   4.25149667e+03
    21.97112   4.26623892e+03
    21.92296   4.28099127e+03
    21.87500   4.29574940e+03
    21.82725   4.31051151e+03
    21.77971   4.32528718e+03
    21.73238   4.34006654e+03
    21.68525   4.35481291e+03
    21.63833   4.36961913e+03
    21.59161   4.38442076e+03
    21.54509   4.39923120e+03
    21.49877   4.41404729e+03
    21.45265   4.42886980e+03
    21.40673   4.44369882e+03
    21.36100   4.45852594e+03
    21.31547   4.47337198e+03
    21.27013   4.48822327e+03
    21.22498   4.50307877e+03
    21.18003   4.51793999e+03
    21.13527   4.53280712e+03
    21.09069   4.54768094e+03
    21.04630   4.56256115e+03
    21.00210   4.57743806e+03
    20.95808   4.59233916e+03
    20.91425   4.60723710e+03
    20.87060   4.62214117e+03
    20.82713   4.63705111e+03
    20.78385   4.65196430e+03
    20.74074   4.66688859e+03
    20.69781   4.68181602e+03
