# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.87181220e+03
    27.92182   2.88528123e+03
    27.84407   2.89880128e+03
    27.76676   2.91233133e+03
    27.68987   2.92588140e+03
    27.61341   2.93938936e+03
    27.53737   2.95297845e+03
    27.46175   2.96658708e+03
    27.38654   2.98020580e+03
    27.31174   2.99374498e+03
    27.23735   3.00750600e+03
    27.16337   3.02119335e+03
    27.08978   3.03487147e+03
    27.01660   3.04855487e+03
    26.94380   3.06222971e+03
    26.87140   3.07598817e+03
    26.79939   3.08977162e+03
    26.72776   3.10356314e+03
    26.65651   3.11733668e+03
    26.58564   3.13115287e+03
    26.51515   3.14493424e+03
    26.44503   3.15879975e+03
    26.37528   3.17266081e+03
    26.30590   3.18614652e+03
    26.23688   3.20040703e+03
    26.16822   3.21430026e+03
    26.09993   3.22820306e+03
    26.03198   3.24209032e+03
    25.96439   3.25588124e+03
    25.89715   3.26991662e+03
    25.83026   3.28387512e+03
    25.76371   3.29785242e+03
    25.69750   3.31189728e+03
    25.63164   3.32587360e+03
    25.56611   3.33990824e+03
    25.50091   3.35396904e+03
    25.43605   3.36778819e+03
    25.37151   3.38202457e+03
    25.30730   3.39622619e+03
    25.24342   3.41031994e+03
    25.17986   3.42440147e+03
    25.11661   3.43854775e+03
    25.05369   3.45267419e+03
    24.99107   3.46674754e+03
    24.92877   3.48084687e+03
    24.86679   3.49513287e+03
    24.80510   3.50928751e+03
    24.74373   3.52346406e+03
    24.68265   3.53764845e+03
    24.62188   3.55182064e+03
    24.56140   3.56605182e+03
    24.50123   3.57987816e+03
    24.44134   3.59442762e+03
    24.38175   3.60869898e+03
    24.32245   3.62307076e+03
    24.26343   3.63730171e+03
    24.20470   3.65180838e+03
    24.14626   3.66598763e+03
    24.08809   3.68028177e+03
    24.03021   3.69473942e+03
    23.97260   3.70867825e+03
    23.91527   3.72299099e+03
    23.85821   3.73745471e+03
    23.80143   3.75106415e+03
    23.74491   3.76539945e+03
    23.68866   3.78047687e+03
    23.63268   3.79480223e+03
    23.57696   3.80934639e+03
    23.52151   3.82406742e+03
    23.46631   3.83847400e+03
    23.41137   3.85282081e+03
    23.35669   3.86739404e+03
    23.30226   3.88172335e+03
    23.24809   3.89631211e+03
    23.19417   3.91055353e+03
    23.14050   3.92442488e+03
    23.08707   3.93904881e+03
    23.03389   3.95421632e+03
    22.98096   3.96782425e+03
    22.92827   3.98179907e+03
    22.87582   3.99692764e+03
    22.82361   4.01161449e+03
    22.77163   4.02519103e+03
    22.71990   4.03998265e+03
    22.66839   4.05477908e+03
    22.61712   4.06946231e+03
    22.56609   4.08357994e+03
    22.51528   4.09934939e+03
    22.46470   4.11333685e+03
    22.41435   4.12829338e+03
    22.36422   4.14348909e+03
    22.31431   4.15746662e+03
    22.26463   4.17190122e+03
    22.21517   4.18727153e+03
    22.16593   4.20162019e+03
    22.11690   4.21551296e+03
    22.06810   4.22906623e+03
    22.01950   4.24014336e+03
    21.97112   4.26046384e+03
    21.92296   4.27132703e+03
    21.87500   4.28455546e+03
    21.82725   4.30173379e+03
    21.77971   4.31559254e+03
    21.73238   4.32927766e+03
    21.68525   4.34544762e+03
    21.63833   4.36087278e+03
    21.59161   4.37507411e+03
    21.54509   4.39091905e+03
    21.49877   4.40611904e+03
    21.45265   4.41856511e+03
    21.40673   4.43385007e+03
    21.36100   4.44976924e+03
    21.31547   4.46414028e+03
    21.27013   4.47444793e+03
    21.22498   4.47311532e+03
    21.18003   4.50751925e+03
    21.13527   4.52120113e+03
    21.09069   4.53639081e+03
    21.04630   4.54968900e+03
    21.00210   4.56408676e+03
    20.95808   4.58099913e+03
    20.91425   4.59568481e+03
    20.87060   4.60740984e+03
    20.82713   4.60685486e+03
    20.78385   4.62427192e+03
    20.74074   4.64611245e+03
    20.69781   4.65500160e+03
    20.65506   4.67045081e+03
    20.61249   4.69011861e+03
    20.57009   4.70815250e+03
    20.52786   4.71828709e+03
    20.48581   4.73571877e+03
    20.44393   4.74949514e+03
    20.40222   4.76788019e+03
    20.36067   4.77860696e+03
    20.31930   4.79030783e+03
    20.27810   4.80515641e+03
    20.23706   4.82237330e+03
    20.19619   4.83382995e+03
    20.15549   4.85027653e+03
    20.11494   4.85993187e+03
    20.07456   4.87628072e+03
    20.03434   4.88954674e+03
    19.99429   4.89887492e+03
    19.95439   4.92041377e+03
    19.91465   4.92988141e+03
    19.87507   4.94072529e+03
    19.83565   4.96587320e+03
    19.79638   4.96514618e+03
    19.75727   4.98071881e+03
    19.71831   4.98066716e+03
    19.67951   4.96208239e+03
    19.64085   4.96516450e+03
    19.60235   5.00150758e+03
    19.56400   5.00794990e+03
    19.52580   5.02825501e+03
    19.48775   5.05798844e+03
    19.44985   5.07034878e+03
    19.41209   5.07973202e+03
    19.37448   5.10193848e+03
    19.33702   5.11182211e+03
    19.29970   5.11262757e+03
    19.26252   5.14503426e+03
    19.22549   5.14680387e+03
    19.18860   5.14750178e+03
    19.15185   5.18575269e+03
    19.11524   5.16412558e+03
    19.07877   5.18582928e+03
    19.04244   5.20735031e+03
    19.00624   5.20252301e+03
    18.97019   5.20707814e+03
    18.93427   5.20320439e+03
    18.89849   5.21473631e+03
    18.86284   5.23219723e+03
    18.82733   5.24933090e+03
    18.79195   5.27506219e+03
    18.75670   5.25562663e+03
    18.72158   5.27964955e+03
    18.68660   5.29488916e+03
    18.65175   5.27211274e+03
    18.61702   5.31314542e+03
    18.58243   5.26579967e+03
    18.54796   5.30570683e+03
    18.51362   5.34433243e+03
    18.47941   5.31961144e+03
    18.44532   5.28692096e+03
    18.41136   5.22502633e+03
    18.37753   5.27109490e+03
    18.34382   5.16502109e+03
    18.31023   5.19296989e+03
    18.27676   5.21627159e+03
    18.24342   5.26547125e+03
    18.21020   5.31620647e+03
    18.17710   5.31709943e+03
    18.14412   5.35588500e+03
    18.11125   5.40342589e+03
    18.07851   5.37166480e+03
    18.04589   5.26835539e+03
    18.01338   5.41931754e+03
    17.98099   5.27959738e+03
    17.94872   5.17342637e+03
    17.91656   5.33187192e+03
    17.88452   5.35330295e+03
    17.85259   5.35570802e+03
    17.82077   5.40259986e+03
    17.78907   5.39330984e+03
    17.75748   5.30531577e+03
    17.72601   5.40284197e+03
    17.69464   5.29496905e+03
    17.66339   5.32583598e+03
    17.63224   5.33316766e+03
    17.60121   4.99156638e+03
    17.57028   5.20036058e+03
    17.53946   5.43463035e+03
    17.50875   5.26842489e+03
    17.47815   5.51756203e+03
    17.44766   5.34959098e+03
    17.41727   5.33257661e+03
    17.38698   5.43303462e+03
    17.35681   5.32844989e+03
    17.32673   5.45137874e+03
    17.29676   5.10094230e+03
    17.26690   5.31991984e+03
    17.23713   5.14897637e+03
    17.20747   4.72622659e+03
    17.17791   5.16256220e+03
    17.14846   5.46540815e+03
    17.11910   5.29266238e+03
    17.08984   5.55470290e+03
    17.06069   5.30539083e+03
    17.03163   5.25781632e+03
    17.00267   5.50734312e+03
    16.97381   5.26702348e+03
    16.94505   5.22995612e+03
    16.91638   5.51089920e+03
    16.88782   5.11367757e+03
    16.85934   5.29880439e+03
    16.83097   5.06881901e+03
    16.80269   5.00526894e+03
    16.77450   4.93056419e+03
    16.74641   4.49985192e+03
    16.71841   5.25560665e+03
    16.69051   5.59068839e+03
    16.66270   5.33278414e+03
    16.63498   5.26818802e+03
    16.60735   5.60440335e+03
    16.57982   5.24523264e+03
    16.55238   5.49409298e+03
    16.52502   5.31547841e+03
    16.49776   5.18195812e+03
    16.47059   5.46236254e+03
    16.44350   5.27873557e+03
    16.41651   5.16401397e+03
    16.38960   5.27795906e+03
    16.36279   5.20087771e+03
    16.33606   5.16659699e+03
    16.30941   5.18919800e+03
    16.28286   5.07905203e+03
    16.25639   4.72452117e+03
    16.23000   4.62739487e+03
    16.20370   4.35144216e+03
    16.17749   4.48155436e+03
    16.15136   5.16705840e+03
    16.12532   5.53474073e+03
    16.09936   5.13229785e+03
    16.07348   5.07355082e+03
    16.04768   5.26787768e+03
    16.02197   5.17432831e+03
    15.99634   5.01104503e+03
    15.97080   5.13291680e+03
    15.94533   5.21240973e+03
    15.91995   4.97635913e+03
    15.89464   5.06193086e+03
    15.86942   5.13818218e+03
    15.84427   4.96520714e+03
    15.81921   4.96726849e+03
    15.79422   4.99164788e+03
    15.76932   4.89341444e+03
    15.74449   4.80682576e+03
    15.71974   5.17290411e+03
    15.69507   4.84350960e+03
    15.67047   4.84684629e+03
    15.64595   5.26138429e+03
    15.62151   4.79501184e+03
    15.59715   4.77107730e+03
    15.57286   5.31575503e+03
    15.54865   4.80500175e+03
    15.52451   4.80993869e+03
    15.50044   5.33336745e+03
    15.47645   4.79733196e+03
    15.45254   4.50858889e+03
    15.42870   4.74486415e+03
    15.40493   4.43418245e+03
    15.38123   4.64535753e+03
    15.35761   5.15119543e+03
    15.33406   4.70788712e+03
    15.31059   4.59992287e+03
    15.28718   5.17796320e+03
    15.26385   4.80138495e+03
    15.24058   4.71635395e+03
    15.21739   5.20511011e+03
    15.19427   4.92042101e+03
    15.17122   5.00833700e+03
    15.14824   5.46660509e+03
    15.12532   5.20595700e+03
    15.10248   5.48540461e+03
    15.07971   5.30438459e+03
    15.05700   5.46220383e+03
    15.03436   5.50364990e+03
    15.01179   5.80657326e+03
    14.98929   3.78235217e+03
    14.96686   2.72962868e+03
    14.94449   3.37431781e+03
    14.92219   4.10870417e+03
    14.89996   4.47652273e+03
    14.87779   4.99868951e+03
    14.85569   5.00433869e+03
    14.83365   5.12894158e+03
    14.81168   5.40782907e+03
    14.78977   5.08913092e+03
    14.76793   5.13258035e+03
    14.74616   5.51323578e+03
    14.72444   5.00068290e+03
    14.70279   5.48246715e+03
    14.68121   5.03023270e+03
    14.65969   4.96662163e+03
    14.63823   5.44975047e+03
    14.61683   4.74412589e+03
    14.59550   5.01384046e+03
    14.57422   5.43551259e+03
    14.55301   4.99933894e+03
    14.53187   5.77930806e+03
    14.51078   4.65564758e+03
    14.48975   4.86734525e+03
    14.46879   5.35226044e+03
    14.44788   5.01960487e+03
    14.42704   5.22265282e+03
    14.40626   5.47734330e+03
    14.38553   5.14236108e+03
    14.36487   5.76137436e+03
    14.34426   5.19597902e+03
    14.32372   5.42146388e+03
    14.30323   5.57815946e+03
    14.28280   5.34555014e+03
    14.26243   5.87980332e+03
    14.24212   5.32431944e+03
    14.22186   5.57825393e+03
    14.20166   5.66384367e+03
    14.18152   5.47971810e+03
    14.16144   5.58663782e+03
    14.14141   5.76135114e+03
    14.12144   5.73704574e+03
    14.10153   5.94589796e+03
    14.08167   5.66581742e+03
    14.06187   5.76999328e+03
    14.04213   6.16099118e+03
    14.02244   5.79729807e+03
    14.00280   6.22638373e+03
    13.98322   5.80799293e+03
    13.96369   5.90153926e+03
    13.94422   5.90037930e+03
    13.92481   5.58159825e+03
    13.90544   5.44817167e+03
    13.88613   4.97518395e+03
    13.86688   5.86548038e+03
    13.84768   6.33343410e+03
    13.82853   6.26615853e+03
    13.80943   6.42644721e+03
    13.79039   6.38755198e+03
    13.77139   6.58182626e+03
    13.75246   6.48948282e+03
    13.73357   6.61607249e+03
    13.71473   6.74636296e+03
    13.69595   6.46797349e+03
    13.67722   6.70887049e+03
    13.65854   6.77071284e+03
    13.63991   6.61412857e+03
    13.62133   6.83224035e+03
    13.60280   6.60519229e+03
    13.58432   6.61779580e+03
    13.56589   6.74249912e+03
    13.54751   6.43552566e+03
    13.52918   6.58377167e+03
    13.51091   6.42519650e+03
    13.49268   5.93759848e+03
    13.47449   6.67076169e+03
    13.45636   7.42595346e+03
    13.43828   7.10810644e+03
    13.42025   6.92619765e+03
    13.40226   7.61282731e+03
    13.38432   7.15622641e+03
    13.36643   7.19710928e+03
    13.34859   7.54694083e+03
    13.33079   7.22910501e+03
    13.31305   7.21702294e+03
    13.29535   7.45402057e+03
