# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   1.12784114e+03
    27.92182   1.14316289e+03
    27.84407   1.13696249e+03
    27.76676   1.19851516e+03
    27.68987   1.14965687e+03
    27.61341   1.17366051e+03
    27.53737   1.15489974e+03
    27.46175   1.18204162e+03
    27.38654   1.22942502e+03
    27.31174   1.19260407e+03
    27.23735   1.21383176e+03
    27.16337   1.17847784e+03
    27.08978   1.18503784e+03
    27.01660   1.18770753e+03
    26.94380   1.19256380e+03
    26.87140   1.19673618e+03
    26.79939   1.20355190e+03
    26.72776   1.24739073e+03
    26.65651   1.21824570e+03
    26.58564   1.24643487e+03
    26.51515   1.22119024e+03
    26.44503   1.22464445e+03
    26.37528   1.31795499e+03
    26.30590   1.34236992e+03
    26.23688   1.23899905e+03
    26.16822   1.24449342e+03
    26.09993   1.25266766e+03
    26.03198   1.25952382e+03
    25.96439   1.25754162e+03
    25.89715   1.27382320e+03
    25.83026   1.31498416e+03
    25.76371   1.41375753e+03
    25.69750   1.27603227e+03
    25.63164   1.28179497e+03
    25.56611   1.28628997e+03
    25.50091   1.29027911e+03
    25.43605   1.30049091e+03
    25.37151   1.33963263e+03
    25.30730   1.30392761e+03
    25.24342   1.30833902e+03
    25.17986   1.31846315e+03
    25.11661   1.33487697e+03
    25.05369   1.35589757e+03
    24.99107   1.33514506e+03
    24.92877   1.33451623e+03
    24.86679   1.63967166e+03
    24.80510   1.39553638e+03
    24.74373   1.34611474e+03
    24.68265   1.35011499e+03
    24.62188   1.35912825e+03
    24.56140   1.36107226e+03
    24.50123   1.36613689e+03
    24.44134   1.36854260e+03
    24.38175   1.51528902e+03
    24.32245   1.40032336e+03
    24.26343   1.38452100e+03
    24.20470   1.54080270e+03
    24.14626   1.41201269e+03
    24.08809   1.39629335e+03
    24.03021   1.40415300e+03
    23.97260   1.40668585e+03
    23.91527   1.42826758e+03
    23.85821   1.44888351e+03
    23.80143   1.42151929e+03
    23.74491   1.42511466e+03
    23.68866   1.43785866e+03
    23.63268   1.45986477e+03
    23.57696   1.43847662e+03
    23.52151   1.45862164e+03
    23.46631   1.45103536e+03
    23.41137   1.54617733e+03
    23.35669   1.49468565e+03
    23.30226   1.46112216e+03
    23.24809   1.47688247e+03
    23.19417   1.46900445e+03
    23.14050   1.49232089e+03
    23.08707   1.67856633e+03
    23.03389   1.48844088e+03
    22.98096   1.49632037e+03
    22.92827   1.52419183e+03
    22.87582   1.61334644e+03
    22.82361   1.53051574e+03
    22.77163   1.51480918e+03
    22.71990   1.55121325e+03
    22.66839   1.52133714e+03
    22.61712   1.52004740e+03
    22.56609   1.55090808e+03
    22.51528   1.55582726e+03
    22.46470   1.53581634e+03
    22.41435   1.54402854e+03
    22.36422   1.55891171e+03
    22.31431   1.74041362e+03
    22.26463   1.55277546e+03
    22.21517   1.55768511e+03
    22.16593   2.26053529e+03
    22.11690   1.56719793e+03
    22.06810   1.57494507e+03
    22.01950   1.60107647e+03
    21.97112   1.58104188e+03
    21.92296   1.59312580e+03
    21.87500   1.58695434e+03
    21.82725   1.60064823e+03
    21.77971   1.60287292e+03
    21.73238   1.60180939e+03
    21.68525   1.63065847e+03
    21.63833   1.61097128e+03
    21.59161   1.61665490e+03
    21.54509   1.62732033e+03
    21.49877   1.64662166e+03
    21.45265   1.65596883e+03
    21.40673   1.63501436e+03
    21.36100   1.65713625e+03
    21.31547   1.65129620e+03
    21.27013   1.64842401e+03
    21.22498   1.65135295e+03
    21.18003   1.65527174e+03
    21.13527   1.66029326e+03
    21.09069   1.66512250e+03
    21.04630   1.68292852e+03
    21.00210   1.69448254e+03
    20.95808   1.84218015e+03
    20.91425   1.72203594e+03
    20.87060   1.71015089e+03
