# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.87183731e+03
    27.92182   2.88533405e+03
    27.84407   2.89885759e+03
    27.76676   2.91239503e+03
    27.68987   2.92594940e+03
    27.61341   2.93944893e+03
    27.53737   2.95303957e+03
    27.46175   2.96664751e+03
    27.38654   2.98027266e+03
    27.31174   2.99391471e+03
    27.23735   3.00757391e+03
    27.16337   3.02124942e+03
    27.08978   3.03494133e+03
    27.01660   3.04865157e+03
    26.94380   3.06237750e+03
    26.87140   3.07612006e+03
    26.79939   3.08987739e+03
    26.72776   3.10363589e+03
    26.65651   3.11744123e+03
    26.58564   3.13123801e+03
    26.51515   3.14507350e+03
    26.44503   3.15891281e+03
    26.37528   3.17276743e+03
    26.30590   3.18663737e+03
    26.23688   3.20052219e+03
    26.16822   3.21442339e+03
    26.09993   3.22833945e+03
    26.03198   3.24226719e+03
    25.96439   3.25621614e+03
    25.89715   3.27017753e+03
    25.83026   3.28415326e+03
    25.76371   3.29814370e+03
    25.69750   3.31214826e+03
    25.63164   3.32616691e+03
    25.56611   3.34020070e+03
    25.50091   3.35424922e+03
    25.43605   3.36831107e+03
    25.37151   3.38236955e+03
    25.30730   3.39647594e+03
    25.24342   3.41057933e+03
    25.17986   3.42469406e+03
    25.11661   3.43881952e+03
    25.05369   3.45295636e+03
    24.99107   3.46712381e+03
    24.92877   3.48129573e+03
    24.86679   3.49548068e+03
    24.80510   3.50967662e+03
    24.74373   3.52388513e+03
    24.68265   3.53810681e+03
    24.62188   3.55232164e+03
    24.56140   3.56656921e+03
    24.50123   3.58082889e+03
    24.44134   3.59510173e+03
    24.38175   3.60938650e+03
    24.32245   3.62368306e+03
    24.26343   3.63799177e+03
    24.20470   3.65231245e+03
    24.14626   3.66664481e+03
    24.08809   3.68098874e+03
    24.03021   3.69534481e+03
    23.97260   3.70971196e+03
    23.91527   3.72408352e+03
    23.85821   3.73846669e+03
    23.80143   3.75288131e+03
    23.74491   3.76729408e+03
    23.68866   3.78171880e+03
    23.63268   3.79614203e+03
    23.57696   3.81059817e+03
    23.52151   3.82504798e+03
    23.46631   3.83952214e+03
    23.41137   3.85399967e+03
    23.35669   3.86848758e+03
    23.30226   3.88298602e+03
    23.24809   3.89749462e+03
    23.19417   3.91201354e+03
    23.14050   3.92654251e+03
    23.08707   3.94108148e+03
    23.03389   3.95563027e+03
    22.98096   3.97018494e+03
    22.92827   3.98474380e+03
    22.87582   3.99933493e+03
    22.82361   4.01392226e+03
    22.77163   4.02851895e+03
    22.71990   4.04312481e+03
    22.66839   4.05773989e+03
    22.61712   4.07236365e+03
    22.56609   4.08699723e+03
    22.51528   4.10162782e+03
    22.46470   4.11628945e+03
    22.41435   4.13094572e+03
    22.36422   4.14560911e+03
    22.31431   4.16029195e+03
    22.26463   4.17497576e+03
    22.21517   4.18966681e+03
    22.16593   4.20436795e+03
    22.11690   4.21907441e+03
    22.06810   4.23378874e+03
    22.01950   4.24851419e+03
    21.97112   4.26324342e+03
    21.92296   4.27795208e+03
    21.87500   4.29270007e+03
    21.82725   4.30745197e+03
    21.77971   4.32221740e+03
    21.73238   4.33698646e+03
    21.68525   4.35175192e+03
    21.63833   4.36654479e+03
    21.59161   4.38133304e+03
    21.54509   4.39613008e+03
    21.49877   4.41093275e+03
    21.45265   4.42574181e+03
    21.40673   4.44055737e+03
    21.36100   4.45537099e+03
    21.31547   4.47020351e+03
    21.27013   4.48504126e+03
    21.22498   4.49988319e+03
    21.18003   4.51473081e+03
    21.13527   4.52958432e+03
    21.09069   4.54444448e+03
    21.04630   4.55931102e+03
    21.00210   4.57417421e+03
    20.95808   4.58906157e+03
    20.91425   4.60394574e+03
    20.87060   4.61883601e+03
    20.82713   4.63373211e+03
    20.78385   4.64863143e+03
    20.74074   4.66354182e+03
    20.69781   4.67845532e+03
    20.65506   4.69337435e+03
    20.61249   4.70829931e+03
    20.57009   4.72322186e+03
    20.52786   4.73816543e+03
    20.48581   4.75310587e+03
    20.44393   4.76805238e+03
    20.40222   4.78300534e+03
    20.36067   4.79795814e+03
    20.31930   4.81292317e+03
    20.27810   4.82789271e+03
    20.23706   4.84286244e+03
    20.19619   4.85784276e+03
    20.15549   4.87282575e+03
    20.11494   4.88781387e+03
    20.07456   4.90280666e+03
    20.03434   4.91780420e+03
    19.99429   4.93280666e+03
    19.95439   4.94780717e+03
    19.91465   4.96282371e+03
    19.87507   4.97784188e+03
    19.83565   4.99286198e+03
    19.79638   5.00788968e+03
    19.75727   5.02292023e+03
    19.71831   5.03795508e+03
    19.67951   5.05282491e+03
    19.64085   5.06787048e+03
    19.60235   5.08291262e+03
    19.56400   5.09797120e+03
    19.52580   5.11302802e+03
    19.48775   5.12808856e+03
    19.44985   5.14314832e+03
    19.41209   5.15821919e+03
    19.37448   5.17329763e+03
    19.33702   5.18837399e+03
    19.29970   5.20345552e+03
    19.26252   5.21854127e+03
    19.22549   5.23363304e+03
    19.18860   5.24872730e+03
    19.15185   5.26382429e+03
    19.11524   5.27892689e+03
    19.07877   5.29403325e+03
    19.04244   5.30914318e+03
    19.00624   5.32424973e+03
    18.97019   5.33937493e+03
    18.93427   5.35449641e+03
    18.89849   5.36962262e+03
    18.86284   5.38475051e+03
    18.82733   5.39988624e+03
    18.79195   5.41502396e+03
    18.75670   5.43016512e+03
    18.72158   5.44530502e+03
    18.68660   5.46046119e+03
    18.65175   5.47561465e+03
    18.61702   5.49077052e+03
    18.58243   5.50592962e+03
    18.54796   5.52109606e+03
    18.51362   5.53626959e+03
    18.47941   5.55144363e+03
    18.44532   5.56661668e+03
    18.41136   5.58180379e+03
    18.37753   5.59698925e+03
    18.34382   5.61218124e+03
    18.31023   5.62736945e+03
    18.27676   5.64257618e+03
    18.24342   5.65777998e+03
    18.21020   5.67298939e+03
    18.17710   5.68818995e+03
    18.14412   5.70341824e+03
    18.11125   5.71864480e+03
