# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.06596463e+03
    27.92182   1.25406886e+03
    27.84407   1.32756060e+03
    27.76676   1.50443808e+03
    27.68987   1.35261255e+03
    27.61341   1.60671770e+03
    27.53737   1.51627921e+03
    27.46175   1.33667861e+03
    27.38654   1.75944286e+03
    27.31174   1.47834040e+03
    27.23735   1.67711280e+03
    27.16337   1.52550656e+03
    27.08978   1.40559636e+03
    27.01660   2.10466481e+03
    26.94380   1.51983738e+03
    26.87140   1.67027197e+03
    26.79939   1.87130447e+03
    26.72776   1.79972260e+03
    26.65651   1.39991139e+03
    26.58564   1.63776644e+03
    26.51515   1.80122791e+03
    26.44503   1.67970738e+03
    26.37528   1.92947695e+03
    26.30590   1.92251383e+03
    26.23688   1.62139929e+03
    26.16822   2.06919488e+03
    26.09993   1.89274232e+03
    26.03198   2.12810716e+03
    25.96439   1.74668200e+03
    25.89715   1.59865538e+03
    25.83026   2.63844391e+03
    25.76371   1.80321463e+03
    25.69750   3.05743169e+03
    25.63164   1.73924473e+03
    25.56611   1.82443379e+03
    25.50091   1.64146667e+03
    25.43605   2.13985209e+03
    25.37151   2.49746795e+03
    25.30730   1.77525802e+03
    25.24342   2.23008707e+03
    25.17986   2.49098666e+03
    25.11661   1.96156945e+03
    25.05369   2.31821194e+03
    24.99107   2.60521910e+03
    24.92877   2.29054296e+03
    24.86679   1.96364647e+03
    24.80510   2.57200424e+03
    24.74373   2.46176757e+03
    24.68265   2.22153777e+03
    24.62188   2.39451961e+03
    24.56140   2.00060893e+03
    24.50123   2.09889426e+03
    24.44134   1.99184376e+03
    24.38175   2.65370762e+03
    24.32245   2.16670704e+03
    24.26343   2.83104545e+03
    24.20470   2.84981134e+03
    24.14626   2.33795192e+03
    24.08809   2.46915365e+03
    24.03021   3.06533959e+03
    23.97260   2.36235303e+03
    23.91527   2.40784254e+03
    23.85821   2.80774500e+03
    23.80143   2.75268546e+03
    23.74491   3.74424259e+03
    23.68866   2.66492697e+03
    23.63268   2.69098660e+03
    23.57696   2.65649113e+03
    23.52151   2.76159900e+03
    23.46631   2.38028892e+03
    23.41137   2.91478585e+03
    23.35669   3.10068498e+03
    23.30226   3.88243094e+03
    23.24809   2.73231880e+03
    23.19417   3.17163109e+03
    23.14050   2.61627953e+03
    23.08707   3.63591929e+03
    23.03389   2.65671657e+03
    22.98096   3.96843317e+03
    22.92827   3.67324493e+03
    22.87582   3.39294318e+03
    22.82361   3.47120391e+03
    22.77163   2.24554237e+03
    22.71990   3.87204421e+03
    22.66839   3.14885444e+03
    22.61712   3.23499005e+03
    22.56609   4.08628891e+03
