# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   1.12875198e+03
    27.92182   1.15037300e+03
    27.84407   1.13760057e+03
    27.76676   1.16170247e+03
    27.68987   1.14829723e+03
    27.61341   1.16542028e+03
    27.53737   1.15507229e+03
    27.46175   1.16557649e+03
    27.38654   1.19855532e+03
    27.31174   1.17974731e+03
    27.23735   1.19567548e+03
    27.16337   1.17901280e+03
    27.08978   1.18676208e+03
    27.01660   1.18832383e+03
    26.94380   1.19304672e+03
    26.87140   1.19694263e+03
    26.79939   1.20500511e+03
    26.72776   1.27062963e+03
    26.65651   1.22323994e+03
    26.58564   1.26434013e+03
    26.51515   1.22224422e+03
    26.44503   1.22502929e+03
    26.37528   1.28404313e+03
    26.30590   1.29178392e+03
    26.23688   1.23965783e+03
    26.16822   1.24515187e+03
    26.09993   1.25333168e+03
    26.03198   1.26403327e+03
    25.96439   1.25828668e+03
    25.89715   1.26929641e+03
    25.83026   1.32568467e+03
    25.76371   1.31454138e+03
    25.69750   1.27658974e+03
    25.63164   1.28287276e+03
    25.56611   1.28728468e+03
    25.50091   1.29049021e+03
    25.43605   1.30212090e+03
    25.37151   1.36275235e+03
    25.30730   1.30452206e+03
    25.24342   1.30896144e+03
    25.17986   1.32250970e+03
    25.11661   1.34553487e+03
    25.05369   1.37552681e+03
    24.99107   1.34070428e+03
    24.92877   1.33662932e+03
    24.86679   1.40892667e+03
    24.80510   1.39596449e+03
    24.74373   1.34686939e+03
    24.68265   1.35061681e+03
    24.62188   1.36077590e+03
    24.56140   1.36195538e+03
    24.50123   1.36735678e+03
    24.44134   1.36899588e+03
    24.38175   1.50448066e+03
    24.32245   1.39861028e+03
    24.26343   1.38586641e+03
    24.20470   1.53812025e+03
    24.14626   1.41326365e+03
    24.08809   1.39683676e+03
    24.03021   1.40604802e+03
    23.97260   1.40746693e+03
    23.91527   1.43960268e+03
    23.85821   1.46879911e+03
    23.80143   1.42368968e+03
    23.74491   1.42636082e+03
    23.68866   1.44069655e+03
    23.63268   1.47576617e+03
    23.57696   1.43943770e+03
    23.52151   1.46850104e+03
    23.46631   1.45183113e+03
    23.41137   1.54310243e+03
    23.35669   1.50114254e+03
    23.30226   1.46193416e+03
    23.24809   1.47943206e+03
    23.19417   1.46924111e+03
    23.14050   1.49160388e+03
    23.08707   1.69685959e+03
    23.03389   1.48982345e+03
    22.98096   1.50165616e+03
    22.92827   1.54255003e+03
    22.87582   1.61926030e+03
    22.82361   1.53919732e+03
    22.77163   1.51382091e+03
    22.71990   1.56449725e+03
    22.66839   1.52333661e+03
    22.61712   1.52072983e+03
    22.56609   1.56215848e+03
    22.51528   1.57161988e+03
    22.46470   1.53738954e+03
    22.41435   1.54800294e+03
    22.36422   1.56884575e+03
    22.31431   1.61127737e+03
    22.26463   1.55385900e+03
    22.21517   1.55907505e+03
    22.16593   2.33556765e+03
    22.11690   1.56896453e+03
    22.06810   1.57878140e+03
    22.01950   1.61065309e+03
    21.97112   1.58288560e+03
    21.92296   1.59591318e+03
    21.87500   1.58718226e+03
    21.82725   1.60647649e+03
    21.77971   1.60362359e+03
    21.73238   1.60249009e+03
    21.68525   1.64527441e+03
    21.63833   1.61197774e+03
    21.59161   1.61822710e+03
    21.54509   1.63123681e+03
    21.49877   1.65666879e+03
    21.45265   1.64679142e+03
    21.40673   1.63559573e+03
    21.36100   1.66902733e+03
    21.31547   1.65746087e+03
    21.27013   1.65041574e+03
    21.22498   1.65235413e+03
    21.18003   1.65618045e+03
    21.13527   1.66158340e+03
    21.09069   1.66634861e+03
    21.04630   1.67880493e+03
    21.00210   1.70715594e+03
    20.95808   1.75382241e+03
    20.91425   1.73606321e+03
    20.87060   1.72059159e+03
    20.82713   1.73925316e+03
    20.78385   1.70383431e+03
    20.74074   1.87977266e+03
    20.69781   1.74795318e+03
    20.65506   1.70747744e+03
    20.61249   1.72845832e+03
    20.57009   1.74622509e+03
    20.52786   1.77717749e+03
    20.48581   1.72842482e+03
    20.44393   1.73247260e+03
    20.40222   1.75915909e+03
    20.36067   1.75515374e+03
    20.31930   1.74943812e+03
    20.27810   1.77210957e+03
    20.23706   1.76244328e+03
    20.19619   1.75894730e+03
    20.15549   1.76581149e+03
    20.11494   1.80005661e+03
    20.07456   1.86370649e+03
    20.03434   1.78297713e+03
    19.99429   1.78489968e+03
    19.95439   1.80754991e+03
    19.91465   1.79456005e+03
    19.87507   1.79458047e+03
    19.83565   1.80104915e+03
    19.79638   1.82020894e+03
    19.75727   2.61921197e+03
    19.71831   1.80774227e+03
    19.67951   1.81814159e+03
    19.64085   2.24089524e+03
    19.60235   1.84409074e+03
    19.56400   1.86831135e+03
    19.52580   1.93629385e+03
    19.48775   1.83869992e+03
    19.44985   1.85892390e+03
    19.41209   1.85999680e+03
    19.37448   1.94829412e+03
    19.33702   1.85589846e+03
    19.29970   1.85818551e+03
    19.26252   1.86686113e+03
    19.22549   1.86851953e+03
    19.18860   1.88041977e+03
    19.15185   3.03798949e+03
    19.11524   1.87831343e+03
    19.07877   2.18632418e+03
    19.04244   2.10984635e+03
    19.00624   1.91226345e+03
    18.97019   1.92818483e+03
    18.93427   1.90529391e+03
    18.89849   1.94833304e+03
    18.86284   3.28829746e+03
    18.82733   2.57738096e+03
    18.79195   1.92434922e+03
    18.75670   1.92080945e+03
    18.72158   1.93612329e+03
    18.68660   1.94445629e+03
    18.65175   1.93125757e+03
    18.61702   1.94214144e+03
    18.58243   1.94236373e+03
    18.54796   1.95843006e+03
    18.51362   1.96782489e+03
    18.47941   1.96291417e+03
    18.44532   2.06988699e+03
    18.41136   1.99024356e+03
    18.37753   1.96753640e+03
    18.34382   1.96938823e+03
    18.31023   1.97187877e+03
    18.27676   2.25664873e+03
    18.24342   1.98091262e+03
    18.21020   2.00920117e+03
    18.17710   2.00249378e+03
    18.14412   2.00430942e+03
    18.11125   2.01655942e+03
    18.07851   2.00967464e+03
    18.04589   2.00732709e+03
    18.01338   2.05819990e+03
    17.98099   3.13352330e+03
    17.94872   2.02686201e+03
    17.91656   2.02372687e+03
    17.88452   2.85036241e+03
    17.85259   2.04141471e+03
    17.82077   2.03686490e+03
    17.78907   2.07820036e+03
    17.75748   2.07128888e+03
    17.72601   2.05470079e+03
    17.69464   2.05788191e+03
    17.66339   2.92586325e+03
    17.63224   2.05702853e+03
    17.60121   2.17680581e+03
    17.57028   2.06436357e+03
    17.53946   2.11871678e+03
    17.50875   2.07626894e+03
    17.47815   2.44010994e+03
    17.44766   2.08973495e+03
    17.41727   2.09196457e+03
    17.38698   2.09701370e+03
    17.35681   2.09517827e+03
    17.32673   2.09998207e+03
    17.29676   2.17012159e+03
    17.26690   2.52355790e+03
    17.23713   2.11437010e+03
    17.20747   2.11328380e+03
    17.17791   2.25602692e+03
