# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.84334386e+03
    27.92182   2.85143868e+03
    27.84407   2.89401123e+03
    27.76676   2.91212561e+03
    27.68987   2.64418576e+03
    27.61341   2.92694850e+03
    27.53737   2.94436172e+03
    27.46175   2.88543221e+03
    27.38654   2.80023980e+03
    27.31174   2.89167571e+03
    27.23735   2.85678891e+03
    27.16337   2.99016416e+03
    27.08978   2.96002529e+03
    27.01660   3.04054259e+03
    26.94380   3.06263714e+03
    26.87140   3.06226721e+03
    26.79939   2.97113894e+03
    26.72776   2.99424195e+03
    26.65651   3.10075505e+03
    26.58564   3.11787397e+03
    26.51515   3.14172062e+03
    26.44503   3.14475263e+03
    26.37528   2.86598366e+03
    26.30590   3.06334494e+03
    26.23688   3.13961014e+03
    26.16822   3.20789426e+03
    26.09993   3.12822526e+03
    26.03198   3.23352200e+03
    25.96439   3.09495055e+03
    25.89715   3.22045175e+03
    25.83026   3.28490775e+03
    25.76371   3.28875454e+03
    25.69750   3.31265809e+03
    25.63164   3.27019040e+03
    25.56611   3.26809389e+03
    25.50091   3.24578389e+03
    25.43605   3.20702290e+03
    25.37151   3.38235918e+03
    25.30730   3.34340342e+03
    25.24342   3.35556876e+03
    25.17986   3.19024414e+03
    25.11661   3.43916722e+03
    25.05369   3.45426032e+03
    24.99107   3.38281008e+03
    24.92877   3.47871050e+03
    24.86679   3.44796844e+03
    24.80510   3.46533923e+03
    24.74373   3.46388724e+03
    24.68265   3.53097211e+03
    24.62188   3.50928189e+03
    24.56140   3.56415950e+03
    24.50123   3.44458999e+03
    24.44134   3.59589134e+03
    24.38175   3.57684736e+03
    24.32245   3.59940969e+03
    24.26343   3.60578690e+03
    24.20470   3.65195930e+03
    24.14626   3.66621150e+03
    24.08809   3.57560167e+03
    24.03021   3.69549475e+03
    23.97260   3.71056723e+03
    23.91527   3.72283399e+03
    23.85821   3.68110634e+03
    23.80143   3.70021386e+03
    23.74491   3.75562885e+03
    23.68866   3.70502637e+03
    23.63268   3.79798143e+03
    23.57696   3.75606706e+03
    23.52151   3.73721163e+03
    23.46631   3.84046704e+03
    23.41137   3.85373307e+03
    23.35669   3.81729175e+03
    23.30226   3.88315094e+03
    23.24809   3.89824208e+03
    23.19417   3.91443839e+03
    23.14050   3.85867454e+03
    23.08707   3.91615904e+03
    23.03389   3.95236362e+03
    22.98096   3.97218011e+03
    22.92827   3.95831516e+03
    22.87582   3.99889778e+03
    22.82361   4.01595482e+03
    22.77163   4.03102828e+03
    22.71990   4.00716632e+03
    22.66839   4.05680333e+03
    22.61712   4.07405684e+03
    22.56609   4.04870317e+03
    22.51528   4.10019022e+03
    22.46470   4.11888890e+03
    22.41435   4.13355794e+03
    22.36422   4.14823431e+03
    22.31431   4.16292983e+03
    22.26463   4.17566713e+03
    22.21517   4.19198574e+03
    22.16593   4.19744023e+03
    22.11690   4.21592879e+03
    22.06810   4.23383116e+03
    22.01950   4.23544585e+03
    21.97112   4.26591553e+03
    21.92296   4.28042111e+03
    21.87500   4.29517994e+03
    21.82725   4.31019240e+03
    21.77971   4.32496906e+03
    21.73238   4.33974972e+03
    21.68525   4.35245785e+03
    21.63833   4.36933133e+03
    21.59161   4.38413119e+03
    21.54509   4.39894005e+03
    21.49877   4.41375451e+03
    21.45265   4.42857538e+03
    21.40673   4.43489346e+03
    21.36100   4.45792321e+03
    21.31547   4.47197101e+03
    21.27013   4.47559774e+03
    21.22498   4.50197887e+03
    21.18003   4.50392918e+03
    21.13527   4.53099594e+03
    21.09069   4.49354516e+03
    21.04630   4.56225272e+03
    21.00210   4.57712824e+03
    20.95808   4.59057406e+03
    20.91425   4.60608863e+03
    20.87060   4.62182693e+03
    20.82713   4.63673542e+03
    20.78385   4.65164722e+03
    20.74074   4.66657008e+03
    20.69781   4.68149612e+03
    20.65506   4.69642775e+03
    20.61249   4.71024444e+03
    20.57009   4.71707967e+03
    20.52786   4.74101646e+03
    20.48581   4.75592257e+03
    20.44393   4.75696522e+03
    20.40222   4.76959499e+03
    20.36067   4.78911140e+03
    20.31930   4.78161051e+03
    20.27810   4.82909064e+03
    20.23706   4.82129674e+03
    20.19619   4.84535994e+03
    20.15549   4.87601014e+03
    20.11494   4.89101275e+03
    20.07456   4.90602002e+03
    20.03434   4.92103200e+03
    19.99429   4.93604897e+03
    19.95439   4.95106393e+03
    19.91465   4.96609513e+03
    19.87507   4.98112757e+03
    19.83565   4.99616227e+03
    19.79638   4.98805349e+03
    19.75727   5.02624854e+03
    19.71831   5.04129894e+03
    19.67951   5.04920416e+03
    19.64085   5.05604354e+03
    19.60235   5.08141065e+03
    19.56400   5.06412474e+03
    19.52580   5.08844069e+03
    19.48775   5.13075711e+03
    19.44985   5.14566238e+03
    19.41209   5.10897678e+03
    19.37448   5.17694462e+03
    19.33702   5.19203647e+03
    19.29970   5.20713406e+03
    19.26252   5.22140628e+03
    19.22549   5.23734185e+03
    19.18860   5.25245173e+03
    19.15185   5.26756546e+03
    19.11524   5.27309653e+03
    19.07877   5.29016899e+03
    19.04244   5.31293073e+03
    19.00624   5.32805467e+03
    18.97019   5.34319428e+03
    18.93427   5.31253601e+03
    18.89849   5.37290308e+03
    18.86284   5.36917189e+03
    18.82733   5.40147886e+03
    18.79195   5.40050874e+03
    18.75670   5.39785761e+03
    18.72158   5.44891727e+03
    18.68660   5.46288026e+03
    18.65175   5.35539894e+03
    18.61702   5.49467820e+03
    18.58243   5.50985891e+03
    18.54796   5.52503947e+03
    18.51362   5.54023098e+03
    18.47941   5.55542295e+03
    18.44532   5.53764907e+03
    18.41136   5.58581902e+03
    18.37753   5.60102239e+03
    18.34382   5.61623241e+03
    18.31023   5.63144553e+03
    18.27676   5.61550662e+03
    18.24342   5.66188473e+03
    18.21020   5.67711259e+03
    18.17710   5.66295284e+03
    18.14412   5.70303658e+03
    18.11125   5.68403755e+03
    18.07851   5.69612677e+03
    18.04589   5.71072439e+03
    18.01338   5.76857626e+03
    17.98099   5.78230232e+03
    17.94872   5.72911497e+03
    17.91656   5.81437723e+03
    17.88452   5.82965554e+03
    17.85259   5.84493881e+03
    17.82077   5.83853287e+03
    17.78907   5.87552238e+03
    17.75748   5.89082298e+03
    17.72601   5.90612620e+03
    17.69464   5.92144025e+03
    17.66339   5.92579341e+03
    17.63224   5.90736395e+03
    17.60121   5.96741045e+03
    17.57028   5.98274535e+03
    17.53946   5.97787041e+03
    17.50875   5.99137627e+03
    17.47815   5.98853512e+03
    17.44766   6.03919948e+03
    17.41727   6.00013575e+03
    17.38698   6.07431916e+03
    17.35681   6.09025494e+03
    17.32673   6.10563779e+03
    17.29676   6.08357469e+03
    17.26690   6.09747934e+03
    17.23713   6.11481942e+03
    17.20747   6.16723057e+03
    17.17791   6.18264495e+03
    17.14846   6.19803014e+03
    17.11910   6.21345634e+03
    17.08984   6.22889055e+03
    17.06069   6.21129848e+03
    17.03163   6.25977877e+03
    17.00267   6.27523134e+03
    16.97381   6.26352844e+03
    16.94505   6.26771450e+03
    16.91638   6.31890994e+03
    16.88782   6.31420708e+03
    16.85934   6.35258875e+03
    16.83097   6.34551747e+03
    16.80269   6.34432303e+03
    16.77450   6.39857801e+03
    16.74641   6.41458845e+03
    16.71841   6.40579759e+03
    16.69051   6.44562590e+03
    16.66270   6.31666824e+03
    16.63498   6.47668947e+03
    16.60735   6.49223030e+03
    16.57982   6.50777901e+03
    16.55238   6.52333379e+03
    16.52502   6.48655571e+03
    16.49776   6.55446325e+03
    16.47059   6.57003800e+03
    16.44350   6.58562062e+03
    16.41651   6.58310656e+03
    16.38960   6.59721337e+03
    16.36279   6.63240981e+03
    16.33606   6.64801923e+03
    16.30941   6.62633369e+03
    16.28286   6.67924587e+03
    16.25639   6.65407583e+03
    16.23000   6.67373335e+03
    16.20370   6.65115959e+03
    16.17749   6.74184325e+03
    16.15136   6.75750746e+03
    16.12532   6.77317866e+03
    16.09936   6.78856817e+03
    16.07348   6.73767243e+03
    16.04768   6.82024313e+03
    16.02197   6.80626762e+03
    15.99634   6.85165363e+03
    15.97080   6.86737440e+03
    15.94533   6.88309987e+03
    15.91995   6.89883159e+03
    15.89464   6.88825498e+03
    15.86942   6.89699455e+03
    15.84427   6.94606644e+03
    15.81921   6.96182468e+03
    15.79422   6.94764982e+03
    15.76932   6.99334875e+03
    15.74449   6.97052539e+03
    15.71974   7.02491481e+03
    15.69507   7.02796055e+03
    15.67047   7.02296470e+03
    15.64595   7.07229159e+03
    15.62151   7.08809306e+03
    15.59715   7.10390116e+03
    15.57286   7.11971244e+03
    15.54865   7.07776230e+03
    15.52451   7.12850470e+03
    15.50044   7.16707586e+03
    15.47645   7.18290943e+03
    15.45254   7.19874802e+03
    15.42870   7.21459209e+03
    15.40493   7.23044234e+03
    15.38123   7.24629747e+03
    15.35761   7.26215789e+03
    15.33406   7.25369699e+03
    15.31059   7.29389654e+03
    15.28718   7.30977430e+03
    15.26385   7.32565784e+03
    15.24058   7.34154735e+03
    15.21739   7.35744280e+03
    15.19427   7.37334428e+03
    15.17122   7.38925058e+03
    15.14824   7.40516555e+03
    15.12532   7.42108553e+03
    15.10248   7.43701146e+03
    15.07971   7.45294330e+03
    15.05700   7.46888047e+03
    15.03436   7.41414306e+03
    15.01179   7.50077170e+03
    14.98929   7.51672484e+03
    14.96686   7.53268330e+03
    14.94449   7.54864635e+03
    14.92219   7.56461316e+03
    14.89996   7.58058490e+03
    14.87779   7.59656130e+03
    14.85569   7.61254140e+03
    14.83365   7.62852523e+03
    14.81168   7.64451263e+03
    14.78977   7.66050313e+03
    14.76793   7.67649731e+03
    14.74616   7.69249421e+03
    14.72444   7.70849386e+03
    14.70279   7.72449620e+03
    14.68121   7.74050069e+03
    14.65969   7.75650788e+03
    14.63823   7.77251701e+03
    14.61683   7.78852860e+03
    14.59550   7.80454167e+03
    14.57422   7.82055706e+03
    14.55301   7.83657394e+03
    14.53187   7.85259224e+03
    14.51078   7.86861194e+03
    14.48975   7.88463368e+03
    14.46879   7.90065639e+03
    14.44788   7.91668045e+03
    14.42704   7.93270482e+03
    14.40626   7.94873082e+03
    14.38553   7.96475781e+03
    14.36487   7.98078507e+03
    14.34426   7.99681248e+03
    14.32372   8.01284089e+03
    14.30323   8.02886974e+03
    14.28280   8.04489850e+03
    14.26243   8.06092731e+03
    14.24212   8.07695587e+03
    14.22186   8.09298494e+03
    14.20166   8.10901259e+03
    14.18152   8.12504199e+03
    14.16144   8.14107046e+03
    14.14141   8.15709869e+03
    14.12144   8.17312652e+03
    14.10153   8.18915411e+03
    14.08167   8.20518111e+03
    14.06187   8.22120781e+03
    14.04213   8.23723390e+03
    14.02244   8.25325935e+03
    14.00280   8.26928408e+03
    13.98322   8.28530841e+03
    13.96369   8.30133184e+03
    13.94422   8.31735466e+03
    13.92481   8.33337642e+03
    13.90544   8.34939708e+03
    13.88613   8.36541716e+03
    13.86688   8.38143587e+03
    13.84768   8.39745344e+03
    13.82853   8.41342823e+03
    13.80943   8.42944416e+03
    13.79039   8.44545828e+03
    13.77139   8.46147027e+03
    13.75246   8.47748048e+03
    13.73357   8.49348817e+03
    13.71473   8.50949361e+03
    13.69595   8.52549621e+03
    13.67722   8.54149651e+03
    13.65854   8.55749347e+03
    13.63991   8.57348746e+03
    13.62133   8.58947810e+03
    13.60280   8.60546494e+03
    13.58432   8.62144867e+03
    13.56589   8.63742832e+03
    13.54751   8.65340388e+03
    13.52918   8.66937549e+03
    13.51091   8.68534249e+03
    13.49268   8.70130524e+03
    13.47449   8.71726281e+03
    13.45636   8.73321655e+03
    13.43828   8.74916524e+03
    13.42025   8.76510876e+03
    13.40226   8.78104846e+03
    13.38432   8.79698274e+03
    13.36643   8.81291194e+03
    13.34859   8.82883624e+03
    13.33079   8.84475541e+03
    13.31305   8.86066937e+03
    13.29535   8.87657789e+03
    13.27769   8.89248190e+03
    13.26009   8.90838018e+03
    13.24253   8.92427300e+03
    13.22501   8.94016024e+03
    13.20755   8.95604234e+03
    13.19013   8.97191858e+03
    13.17275   8.98778912e+03
    13.15542   9.00365398e+03
    13.13814   9.01951282e+03
    13.12090   9.03536621e+03
    13.10371   9.05121347e+03
    13.08656   9.06705455e+03
    13.06945   9.08288940e+03
    13.05240   9.09871803e+03
    13.03538   9.11453969e+03
    13.01841   9.13035590e+03
    13.00149   9.14616526e+03
    12.98460   9.16196768e+03
    12.96777   9.17776339e+03
    12.95097   9.19355235e+03
    12.93422   9.20933429e+03
    12.91751   9.22510907e+03
    12.90085   9.24087677e+03
    12.88423   9.25663725e+03
    12.86765   9.27239034e+03
    12.85111   9.28813593e+03
    12.83462   9.30387404e+03
    12.81817   9.31960448e+03
    12.80176   9.33532749e+03
    12.78539   9.35104252e+03
    12.76906   9.36674982e+03
    12.75278   9.38244922e+03
    12.73654   9.39814090e+03
    12.72033   9.41382496e+03
    12.70417   9.42950094e+03
    12.68806   9.44516902e+03
    12.67198   9.46082977e+03
    12.65594   9.47648224e+03
    12.63994   9.49212681e+03
    12.62399   9.50776342e+03
    12.60807   9.52339221e+03
    12.59219   9.53901260e+03
    12.57636   9.55462575e+03
    12.56056   9.57023025e+03
    12.54480   9.58582714e+03
    12.52909   9.60141586e+03
    12.51341   9.61699619e+03
    12.49777   9.63256920e+03
    12.48217   9.64813368e+03
    12.46661   9.66368993e+03
    12.45109   9.67923750e+03
    12.43560   9.69477723e+03
    12.42016   9.71030817e+03
    12.40475   9.72583014e+03
    12.38938   9.74134327e+03
    12.37405   9.75684779e+03
    12.35876   9.77234387e+03
    12.34350   9.78783016e+03
    12.32828   9.80330736e+03
    12.31310   9.81877501e+03
    12.29796   9.83423343e+03
    12.28286   9.84968178e+03
    12.26779   9.86512088e+03
    12.25276   9.88055006e+03
    12.23776   9.89596934e+03
    12.22280   9.91137875e+03
    12.20788   9.92677776e+03
    12.19300   9.94200279e+03
    12.17815   9.95738230e+03
    12.16334   9.97275141e+03
    12.14856   9.98810999e+03
    12.13382   1.00034581e+04
    12.11911   1.00187956e+04
    12.10444   1.00341224e+04
    12.08981   1.00494384e+04
    12.07521   1.00647436e+04
    12.06065   1.00800390e+04
    12.04612   1.00953229e+04
    12.03163   1.01105960e+04
    12.01717   1.01258581e+04
    12.00274   1.01411095e+04
    11.98835   1.01563496e+04
    11.97400   1.01715788e+04
    11.95968   1.01867971e+04
    11.94539   1.02020041e+04
    11.93114   1.02172000e+04
    11.91692   1.02323846e+04
    11.90274   1.02475579e+04
    11.88859   1.02627200e+04
    11.87447   1.02778705e+04
    11.86039   1.02930096e+04
    11.84634   1.03081371e+04
    11.83232   1.03232528e+04
    11.81834   1.03383567e+04
    11.80438   1.03534484e+04
    11.79047   1.03685285e+04
    11.77658   1.03835966e+04
    11.76273   1.03986523e+04
    11.74891   1.04136953e+04
    11.73512   1.04287265e+04
    11.72137   1.04437445e+04
    11.70764   1.04587505e+04
    11.69395   1.04737440e+04
    11.68029   1.04878455e+04
    11.66667   1.05036917e+04
    11.65307   1.05186459e+04
    11.63951   1.05335874e+04
    11.62598   1.05485154e+04
    11.61248   1.05634303e+04
    11.59901   1.05783318e+04
    11.58557   1.05932198e+04
    11.57216   1.06073004e+04
    11.55878   1.06229495e+04
    11.54544   1.06355819e+04
    11.53213   1.06514934e+04
    11.51884   1.06674566e+04
    11.50559   1.06822642e+04
    11.49237   1.06970571e+04
    11.47917   1.07118362e+04
    11.46601   1.07266013e+04
    11.45288   1.07408151e+04
    11.43978   1.07538065e+04
    11.42671   1.07703816e+04
    11.41366   1.07847280e+04
    11.40065   1.07989819e+04
    11.38767   1.08149005e+04
    11.37472   1.08295677e+04
    11.36179   1.08442207e+04
    11.34890   1.08588593e+04
    11.33603   1.08142280e+04
    11.32320   1.07797940e+04
    11.31039   1.09012507e+04
    11.29761   1.09171897e+04
    11.28486   1.09304438e+04
    11.27214   1.09437813e+04
    11.25945   1.09005457e+04
    11.24679   1.09754443e+04
    11.23415   1.09899504e+04
    11.22155   1.10030796e+04
    11.20897   1.10189166e+04
    11.19642   1.10319253e+04
    11.18390   1.10461477e+04
    11.17140   1.10622488e+04
    11.15894   1.09324687e+04
    11.14650   1.08433593e+04
    11.13409   1.09431045e+04
    11.12170   1.09918935e+04
    11.10935   1.09655950e+04
    11.09702   1.11472080e+04
    11.08472   1.11628116e+04
    11.07245   1.10594205e+04
    11.06020   1.11876982e+04
    11.04798   1.12056690e+04
    11.03579   1.12182871e+04
    11.02362   1.11010928e+04
    11.01148   1.12483838e+04
    10.99937   1.12625916e+04
    10.98729   1.12759421e+04
    10.97523   1.11407413e+04
    10.96319   1.08964348e+04
    10.95119   1.08922221e+04
    10.93921   1.11445166e+04
    10.92726   1.12359544e+04
    10.91533   1.12020401e+04
    10.90343   1.13732538e+04
    10.89155   1.10949864e+04
    10.87970   1.14037778e+04
    10.86788   1.14162525e+04
    10.85608   1.14318473e+04
    10.84431   1.13096396e+04
    10.83256   1.14285481e+04
    10.82084   1.14542325e+04
    10.80914   1.14858111e+04
    10.79747   1.14768600e+04
    10.78582   1.10066534e+04
    10.77420   1.10592028e+04
    10.76261   1.08429938e+04
    10.75104   1.13214366e+04
    10.73949   1.10181273e+04
    10.72797   1.14808643e+04
    10.71647   1.12290214e+04
    10.70500   1.15429591e+04
    10.69355   1.16011302e+04
    10.68213   1.12931355e+04
    10.67073   1.13299331e+04
    10.65936   1.16204990e+04
    10.64801   1.15952877e+04
    10.63668   1.16848787e+04
    10.62538   1.16783763e+04
    10.61410   1.16253912e+04
    10.60285   1.12731947e+04
    10.59162   1.09132938e+04
    10.58041   1.07581098e+04
    10.56923   1.14258132e+04
    10.55807   1.14457030e+04
    10.54693   1.17518110e+04
    10.53582   1.10699580e+04
    10.52473   1.18181648e+04
    10.51367   1.09662472e+04
    10.50263   1.17715904e+04
    10.49161   1.02509805e+04
    10.48061   1.17060808e+04
    10.46964   1.18930817e+04
