# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.87349412e+03
    27.92182   2.88700088e+03
    27.84407   2.90053409e+03
    27.76676   2.91408151e+03
    27.68987   2.92764580e+03
    27.61341   2.94122773e+03
    27.53737   2.95482701e+03
    27.46175   2.96844362e+03
    27.38654   2.98207752e+03
    27.31174   2.99572831e+03
    27.23735   3.00939634e+03
    27.16337   3.02308068e+03
    27.08978   3.03678153e+03
    27.01660   3.05050073e+03
    26.94380   3.06423556e+03
    26.87140   3.07798715e+03
    26.79939   3.09175340e+03
    26.72776   3.10552207e+03
    26.65651   3.11933572e+03
    26.58564   3.13314202e+03
    26.51515   3.14698619e+03
    26.44503   3.16083476e+03
    26.37528   3.17469868e+03
    26.30590   3.18857792e+03
    26.23688   3.20247207e+03
    26.16822   3.21638267e+03
    26.09993   3.23026541e+03
    26.03198   3.24420365e+03
    25.96439   3.25816304e+03
    25.89715   3.27213484e+03
    25.83026   3.28612104e+03
    25.76371   3.30012194e+03
    25.69750   3.31413696e+03
    25.63164   3.32816597e+03
    25.56611   3.34221023e+03
    25.50091   3.35626933e+03
    25.43605   3.37034168e+03
    25.37151   3.38441153e+03
    25.30730   3.39852749e+03
    25.24342   3.41264148e+03
    25.17986   3.42676687e+03
    25.11661   3.44090300e+03
    25.05369   3.45505074e+03
    24.99107   3.46922821e+03
    24.92877   3.48341039e+03
    24.86679   3.49760600e+03
    24.80510   3.51181251e+03
    24.74373   3.52603158e+03
    24.68265   3.54026388e+03
    24.62188   3.55450865e+03
    24.56140   3.56876593e+03
    24.50123   3.58303536e+03
    24.44134   3.59731816e+03
    24.38175   3.61161289e+03
    24.32245   3.62591945e+03
    24.26343   3.64023828e+03
    24.20470   3.65456911e+03
    24.14626   3.66891168e+03
    24.08809   3.68326589e+03
    24.03021   3.69763236e+03
    23.97260   3.71200989e+03
    23.91527   3.72637133e+03
    23.85821   3.74076646e+03
    23.80143   3.75519246e+03
    23.74491   3.76961691e+03
    23.68866   3.78405359e+03
    23.63268   3.79848920e+03
    23.57696   3.81295680e+03
    23.52151   3.82741872e+03
    23.46631   3.84190485e+03
    23.41137   3.85639445e+03
    23.35669   3.87089443e+03
    23.30226   3.88540503e+03
    23.24809   3.89992576e+03
    23.19417   3.91445690e+03
    23.14050   3.92899809e+03
    23.08707   3.94354934e+03
    23.03389   3.95811043e+03
    22.98096   3.97267747e+03
    22.92827   3.98724910e+03
    22.87582   4.00185222e+03
    22.82361   4.01645201e+03
    22.77163   4.03106118e+03
    22.71990   4.04567957e+03
    22.66839   4.06030721e+03
    22.61712   4.07494356e+03
    22.56609   4.08958984e+03
    22.51528   4.10423346e+03
    22.46470   4.11890747e+03
    22.41435   4.13357651e+03
    22.36422   4.14825288e+03
    22.31431   4.16294841e+03
    22.26463   4.17764510e+03
    22.21517   4.19234903e+03
    22.16593   4.20706323e+03
    22.11690   4.22178273e+03
    22.06810   4.23651024e+03
    22.01950   4.25119047e+03
    21.97112   4.26593405e+03
    21.92296   4.28068776e+03
    21.87500   4.29544722e+03
    21.82725   4.31021089e+03
    21.77971   4.32498754e+03
    21.73238   4.33976820e+03
    21.68525   4.35454547e+03
    21.63833   4.36934978e+03
    21.59161   4.38414963e+03
    21.54509   4.39895847e+03
    21.49877   4.41377292e+03
    21.45265   4.42859377e+03
