# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.87224116e+03
    27.92182   2.88572042e+03
    27.84407   2.89924457e+03
    27.76676   2.91277881e+03
    27.68987   2.92633240e+03
    27.61341   2.93991342e+03
    27.53737   2.95350289e+03
    27.46175   2.96711250e+03
    27.38654   2.98073546e+03
    27.31174   2.99430310e+03
    27.23735   3.00803673e+03
    27.16337   3.02172269e+03
    27.08978   3.03540441e+03
    27.01660   3.04909722e+03
    26.94380   3.06278983e+03
    26.87140   3.07654393e+03
    26.79939   3.09032060e+03
    26.72776   3.10410547e+03
    26.65651   3.11788753e+03
    26.58564   3.13170041e+03
    26.51515   3.14549836e+03
    26.44503   3.15935698e+03
    26.37528   3.17321936e+03
    26.30590   3.18679917e+03
    26.23688   3.20092699e+03
    26.16822   3.21482422e+03
    26.09993   3.22873352e+03
    26.03198   3.24262753e+03
    25.96439   3.25645437e+03
    25.89715   3.27047987e+03
    25.83026   3.28444723e+03
    25.76371   3.29843257e+03
    25.69750   3.31247600e+03
    25.63164   3.32646208e+03
    25.56611   3.34050069e+03
    25.50091   3.35456071e+03
    25.43605   3.36845084e+03
    25.37151   3.38263810e+03
    25.30730   3.39681468e+03
    25.24342   3.41091134e+03
    25.17986   3.42500215e+03
    25.11661   3.43914549e+03
    25.05369   3.45327689e+03
    24.99107   3.46737848e+03
    24.92877   3.48150484e+03
    24.86679   3.49576109e+03
    24.80510   3.50992600e+03
    24.74373   3.52411882e+03
    24.68265   3.53831628e+03
    24.62188   3.55251718e+03
    24.56140   3.56676120e+03
    24.50123   3.58069700e+03
    24.44134   3.59517763e+03
    24.38175   3.60945397e+03
    24.32245   3.62380428e+03
    24.26343   3.63805984e+03
    24.20470   3.65251433e+03
    24.14626   3.66673426e+03
    24.08809   3.68102530e+03
    24.03021   3.69545805e+03
    23.97260   3.70951654e+03
    23.91527   3.72385066e+03
    23.85821   3.73828620e+03
    23.80143   3.75204200e+03
    23.74491   3.76637832e+03
    23.68866   3.78136595e+03
    23.63268   3.79573605e+03
    23.57696   3.81025929e+03
    23.52151   3.82491590e+03
    23.46631   3.83933264e+03
    23.41137   3.85370558e+03
    23.35669   3.86826962e+03
    23.30226   3.88262931e+03
    23.24809   3.89720021e+03
    23.19417   3.91153626e+03
    23.14050   3.92557196e+03
    23.08707   3.94016740e+03
