# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   1.12876970e+03
    27.92182   1.15041603e+03
    27.84407   1.13759200e+03
    27.76676   1.23616821e+03
    27.68987   1.15188974e+03
    27.61341   1.18411704e+03
    27.53737   1.15520027e+03
    27.46175   1.19543138e+03
    27.38654   1.25938248e+03
    27.31174   1.20335234e+03
    27.23735   1.23223053e+03
    27.16337   1.17900549e+03
    27.08978   1.18675820e+03
    27.01660   1.18833381e+03
    26.94380   1.19313406e+03
    26.87140   1.19707089e+03
    26.79939   1.20496209e+03
    26.72776   1.27078034e+03
    26.65651   1.22326596e+03
    26.58564   1.26443068e+03
    26.51515   1.22222726e+03
    26.44503   1.22503369e+03
    26.37528   1.34953975e+03
    26.30590   1.38615787e+03
    26.23688   1.23964650e+03
    26.16822   1.24538298e+03
    26.09993   1.25515094e+03
    26.03198   1.26404117e+03
    25.96439   1.25827825e+03
    25.89715   1.27971136e+03
    25.83026   1.32868130e+03
    25.76371   1.48893627e+03
    25.69750   1.27656558e+03
    25.63164   1.28285086e+03
    25.56611   1.28727942e+03
    25.50091   1.29093482e+03
    25.43605   1.30344137e+03
    25.37151   1.36288790e+03
    25.30730   1.30451927e+03
    25.24342   1.30897097e+03
    25.17986   1.32255355e+03
    25.11661   1.34560259e+03
    25.05369   1.37564834e+03
    24.99107   1.34074662e+03
    24.92877   1.33659448e+03
    24.86679   1.82959757e+03
    24.80510   1.41237413e+03
    24.74373   1.34688533e+03
    24.68265   1.35063797e+03
    24.62188   1.36136841e+03
    24.56140   1.36229064e+03
    24.50123   1.36757274e+03
    24.44134   1.36904382e+03
    24.38175   1.55127020e+03
    24.32245   1.40896592e+03
    24.26343   1.38587834e+03
    24.20470   1.57538299e+03
    24.14626   1.42018604e+03
    24.08809   1.39684377e+03
    24.03021   1.40604108e+03
    23.97260   1.40773425e+03
    23.91527   1.43968048e+03
    23.85821   1.46887661e+03
    23.80143   1.42372314e+03
    23.74491   1.42633473e+03
    23.68866   1.44224794e+03
    23.63268   1.47582910e+03
    23.57696   1.43941348e+03
    23.52151   1.46848180e+03
    23.46631   1.45346023e+03
    23.41137   1.57662694e+03
    23.35669   1.50716971e+03
    23.30226   1.46187664e+03
    23.24809   1.48193295e+03
    23.19417   1.46923257e+03
    23.14050   1.50015175e+03
    23.08707   1.72304858e+03
    23.03389   1.49111090e+03
    22.98096   1.50164767e+03
    22.92827   1.54258471e+03
    22.87582   1.64213551e+03
    22.82361   1.54207175e+03
    22.77163   1.51918283e+03
    22.71990   1.56400810e+03
    22.66839   1.52435704e+03
    22.61712   1.52070730e+03
    22.56609   1.56134388e+03
    22.51528   1.57164934e+03
    22.46470   1.53728302e+03
    22.41435   1.54798656e+03
    22.36422   1.56884995e+03
    22.31431   1.83565057e+03
    22.26463   1.55378610e+03
    22.21517   1.55903864e+03
    22.16593   2.33189917e+03
    22.11690   1.56896316e+03
    22.06810   1.57878817e+03
    22.01950   1.61079954e+03
    21.97112   1.58286187e+03
    21.92296   1.59768418e+03
    21.87500   1.58717620e+03
    21.82725   1.60652227e+03
    21.77971   1.60597302e+03
    21.73238   1.60260202e+03
    21.68525   1.64524946e+03
    21.63833   1.61193069e+03
    21.59161   1.61818516e+03
    21.54509   1.63096759e+03
    21.49877   1.65598514e+03
    21.45265   1.66965835e+03
    21.40673   1.63663660e+03
    21.36100   1.66900213e+03
    21.31547   1.65744026e+03
    21.27013   1.65041049e+03
    21.22498   1.65235489e+03
    21.18003   1.65617623e+03
    21.13527   1.66159578e+03
    21.09069   1.66628434e+03
    21.04630   1.68966660e+03
    21.00210   1.70710017e+03
    20.95808   1.90541727e+03
    20.91425   1.73523862e+03
    20.87060   1.71989732e+03
    20.82713   1.83212948e+03
    20.78385   1.70381877e+03
    20.74074   1.88147568e+03
    20.69781   1.74708666e+03
    20.65506   1.70747662e+03
    20.61249   2.29787952e+03
    20.57009   1.74617735e+03
    20.52786   1.77604563e+03
    20.48581   1.72845789e+03
    20.44393   1.73245723e+03
    20.40222   1.91521034e+03
    20.36067   1.75510727e+03
    20.31930   1.74943063e+03
    20.27810   1.77158656e+03
    20.23706   1.76240833e+03
    20.19619   1.75924432e+03
    20.15549   1.76567989e+03
    20.11494   1.79938528e+03
    20.07456   1.86208273e+03
    20.03434   1.81090585e+03
    19.99429   1.78476013e+03
    19.95439   1.80747685e+03
    19.91465   1.79458977e+03
    19.87507   1.79528968e+03
    19.83565   1.80104025e+03
    19.79638   1.85965270e+03
    19.75727   2.61516922e+03
    19.71831   1.80774233e+03
    19.67951   1.81810590e+03
    19.64085   2.24055672e+03
    19.60235   1.84402625e+03
    19.56400   2.02585829e+03
    19.52580   1.93459165e+03
    19.48775   1.83858383e+03
    19.44985   1.85883305e+03
    19.41209   1.85990225e+03
    19.37448   1.94639057e+03
    19.33702   1.85592216e+03
    19.29970   1.85816805e+03
    19.26252   1.86686803e+03
    19.22549   1.87166979e+03
    19.18860   2.50466772e+03
    19.15185   3.10473696e+03
