# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   2.87225857e+03
    27.92182   2.88575783e+03
    27.84407   2.89928356e+03
    27.76676   2.91282346e+03
    27.68987   2.92638019e+03
    27.61341   2.93995453e+03
    27.53737   2.95354620e+03
    27.46175   2.96715516e+03
    27.38654   2.98078139e+03
    27.31174   2.99442448e+03
    27.23735   3.00808478e+03
    27.16337   3.02176136e+03
    27.08978   3.03545441e+03
    27.01660   3.04916580e+03
    26.94380   3.06289278e+03
    26.87140   3.07663649e+03
    26.79939   3.09039483e+03
    26.72776   3.10415550e+03
    26.65651   3.11796124e+03
    26.58564   3.13175950e+03
    26.51515   3.14559568e+03
    26.44503   3.15943619e+03
    26.37528   3.17329201e+03
    26.30590   3.18716313e+03
    26.23688   3.20100712e+03
    26.16822   3.21491053e+03
    26.09993   3.22882874e+03
    26.03198   3.24275863e+03
    25.96439   3.25670966e+03
    25.89715   3.27067306e+03
    25.83026   3.28465083e+03
    25.76371   3.29864327e+03
    25.69750   3.31264979e+03
    25.63164   3.32667027e+03
    25.56611   3.34070599e+03
    25.50091   3.35475650e+03
    25.43605   3.36882023e+03
    25.37151   3.38288135e+03
    25.30730   3.39698870e+03
    25.24342   3.41109397e+03
    25.17986   3.42521061e+03
    25.11661   3.43933794e+03
    25.05369   3.45347684e+03
    24.99107   3.46764550e+03
    24.92877   3.48181881e+03
    24.86679   3.49600551e+03
    24.80510   3.51020308e+03
    24.74373   3.52441316e+03
    24.68265   3.53863645e+03
    24.62188   3.55287217e+03
    24.56140   3.56712037e+03
    24.50123   3.58138068e+03
    24.44134   3.59565432e+03
    24.38175   3.60993986e+03
    24.32245   3.62423720e+03
    24.26343   3.63854676e+03
    24.20470   3.65286829e+03
    24.14626   3.66720153e+03
    24.08809   3.68152471e+03
    24.03021   3.69588303e+03
    23.97260   3.71025234e+03
    23.91527   3.72462656e+03
    23.85821   3.73901204e+03
    23.80143   3.75342845e+03
    23.74491   3.76784321e+03
    23.68866   3.78227017e+03
    23.63268   3.79669597e+03
    23.57696   3.81115382e+03
    23.52151   3.82560588e+03
    23.46631   3.84008216e+03
    23.41137   3.85456185e+03
    23.35669   3.86905188e+03
    23.30226   3.88355248e+03
    23.24809   3.89806318e+03
    23.19417   3.91258425e+03
    23.14050   3.92711533e+03
    23.08707   3.94165642e+03
    23.03389   3.95620731e+03
    22.98096   3.97076410e+03
    22.92827   3.98532540e+03
    22.87582   3.99991825e+03
    22.82361   4.01450767e+03
    22.77163   4.02910642e+03
    22.71990   4.04371434e+03
    22.66839   4.05833148e+03
    22.61712   4.07295727e+03
    22.56609   4.08759295e+03
    22.51528   4.10222589e+03
    22.46470   4.11688925e+03
    22.41435   4.13154755e+03
    22.36422   4.14621312e+03
    22.31431   4.16089785e+03
    22.26463   4.17558368e+03
    22.21517   4.19027669e+03
    22.16593   4.20497994e+03
    22.11690   4.21963156e+03
    22.06810   4.23434921e+03
    22.01950   4.24907769e+03
    21.97112   4.26381003e+03
    21.92296   4.27855248e+03
    21.87500   4.29330063e+03
    21.82725   4.30805293e+03
    21.77971   4.32281821e+03
    21.73238   4.33758743e+03
    21.68525   4.35235319e+03
    21.63833   4.36714603e+03
    21.59161   4.38193433e+03
    21.54509   4.39673158e+03
    21.49877   4.41153439e+03
    21.45265   4.42634357e+03
    21.40673   4.44115924e+03
    21.36100   4.45597310e+03
    21.31547   4.47080565e+03
    21.27013   4.48564348e+03
    21.22498   4.50048543e+03
    21.18003   4.51533324e+03
    21.13527   4.53018687e+03
    21.09069   4.54504699e+03
    21.04630   4.55991364e+03
    21.00210   4.57477696e+03
    20.95808   4.58966434e+03
    20.91425   4.60454857e+03
    20.87060   4.61943890e+03
    20.82713   4.63433504e+03
    20.78385   4.64923442e+03
    20.74074   4.66414482e+03
    20.69781   4.67905835e+03
    20.65506   4.69397741e+03
    20.61249   4.70890236e+03
    20.57009   4.72382497e+03
    20.52786   4.73876849e+03
    20.48581   4.75370883e+03
    20.44393   4.76865541e+03
    20.40222   4.78358082e+03
    20.36067   4.79853505e+03
    20.31930   4.81350148e+03
    20.27810   4.82847234e+03
    20.23706   4.84344333e+03
    20.19619   4.85842487e+03
    20.15549   4.87340908e+03
    20.11494   4.88839840e+03
    20.07456   4.90339233e+03
    20.03434   4.91839093e+03
    19.99429   4.93339448e+03
    19.95439   4.94839597e+03
    19.91465   4.96341368e+03
    19.87507   4.97843258e+03
    19.83565   4.99345370e+03
    19.79638   5.00848224e+03
    19.75727   5.02351365e+03
    19.71831   5.03854934e+03
    19.67951   5.05358804e+03
    19.64085   5.06863466e+03
    19.60235   5.08367783e+03
    19.56400   5.09873749e+03
    19.52580   5.11379542e+03
    19.48775   5.12885702e+03
    19.44985   5.14390160e+03
