# Wavenumber   Flux
#       [um]   [erg/s/cm]
    28.00000   1.39544727e+03
    27.92182   1.13789487e+03
    27.84407   1.14960375e+03
    27.76676   1.17606088e+03
    27.68987   1.15972464e+03
    27.61341   1.19667390e+03
    27.53737   1.18827052e+03
    27.46175   1.16963056e+03
    27.38654   1.23346431e+03
    27.31174   1.19241820e+03
    27.23735   1.22481205e+03
    27.16337   1.20359863e+03
    27.08978   1.19585171e+03
    27.01660   1.42410742e+03
    26.94380   1.21340942e+03
    26.87140   1.23437018e+03
    26.79939   1.27081370e+03
    26.72776   1.29564246e+03
    26.65651   1.22230038e+03
    26.58564   1.26464717e+03
    26.51515   1.29639239e+03
    26.44503   1.27660334e+03
    26.37528   1.33740362e+03
    26.30590   1.33479286e+03
    26.23688   1.27598168e+03
    26.16822   1.37239936e+03
    26.09993   1.32789802e+03
    26.03198   1.38913367e+03
    25.96439   1.30352805e+03
    25.89715   1.28869604e+03
    25.83026   1.77376412e+03
    25.76371   1.32677631e+03
    25.69750   2.14362335e+03
    25.63164   1.31753318e+03
    25.56611   1.36634932e+03
    25.50091   1.31847871e+03
    25.43605   1.44685806e+03
    25.37151   1.59740268e+03
    25.30730   1.35307935e+03
    25.24342   1.47841600e+03
    25.17986   1.57462192e+03
    25.11661   1.40847354e+03
    25.05369   1.51080930e+03
    24.99107   1.63410928e+03
    24.92877   1.46667094e+03
    24.86679   1.41444608e+03
    24.80510   1.60894352e+03
    24.74373   1.57675572e+03
    24.68265   1.46719471e+03
    24.62188   1.54791231e+03
    24.56140   1.44661376e+03
    24.50123   1.46122004e+03
    24.44134   1.44856889e+03
    24.38175   1.72104006e+03
    24.32245   1.49033910e+03
    24.26343   1.82214864e+03
    24.20470   1.82893968e+03
    24.14626   1.55552830e+03
    24.08809   1.55515538e+03
    24.03021   1.97168653e+03
    23.97260   1.55010302e+03
    23.91527   1.54809558e+03
    23.85821   1.76177581e+03
    23.80143   1.73103777e+03
    23.74491   3.55625125e+03
    23.68866   1.68894786e+03
    23.63268   1.69528093e+03
    23.57696   1.59657700e+03
    23.52151   1.71617379e+03
    23.46631   1.55048597e+03
    23.41137   1.78912694e+03
    23.35669   1.88742620e+03
    23.30226   3.86997140e+03
    23.24809   1.69020229e+03
    23.19417   1.89386121e+03
    23.14050   1.60637312e+03
    23.08707   2.39214771e+03
    23.03389   1.65125710e+03
    22.98096   3.93487976e+03
    22.92827   2.41291778e+03
    22.87582   2.06975889e+03
    22.82361   2.12688392e+03
    22.77163   1.56539649e+03
    22.71990   2.89730417e+03
    22.66839   1.79622010e+03
    22.61712   1.85311701e+03
    22.56609   4.06975826e+03
    22.51528   2.02377813e+03
    22.46470   4.10676070e+03
    22.41435   4.12715909e+03
    22.36422   1.61467399e+03
    22.31431   1.63451182e+03
    22.26463   4.17518726e+03
    22.21517   4.18963494e+03
    22.16593   4.18457901e+03
    22.11690   4.19346590e+03
    22.06810   1.60418928e+03
    22.01950   2.76664679e+03
    21.97112   4.24982277e+03
    21.92296   1.88484533e+03
    21.87500   4.24106399e+03
    21.82725   4.29233969e+03
    21.77971   1.68900339e+03
    21.73238   1.75450558e+03
    21.68525   4.34635352e+03
    21.63833   4.34693438e+03
    21.59161   1.72278032e+03
    21.54509   4.38739165e+03
    21.49877   4.39642524e+03
    21.45265   1.69945216e+03
    21.40673   1.72133864e+03
    21.36100   4.44819178e+03
    21.31547   1.70636434e+03
